PROP_NAME,AGE,PROP_HEADING,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,CITY,LATITUDE,LONGITUDE,url
Suryoday Complex,,"2 BHK Flat for sale in Chinchwad, Pune",57.0 L,"MIDC, Chinchwad,Pune",840,6790,"2 BHK Apartment for sale in Chinchwad, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Chinchwad which is a promising investment destination in Pune. This might be your chance to grab the best 2 BHK property for sale in Chinchwad. The property is on floor 2 and the total number of floors is 7. This 2 BHK Apartment is available at a reasonable price of Rs 57.0 L. Residents also need to pay maintenance charges of Rs 780. It is a very spacious property, spread over 650 Square feet. The built-up area is 840 Square feet. ...",2.0,Pune,18.6298,73.7997,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEvcjWX9CvhOfBspzaLbqRtC1ffyzJPy_vOA&s
ARV Newtown,,"2 BHK Flat for sale in Pisoli, Pune",48.0 L,"Pisoli, Pune",1100,4360,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Pune's top location, Pisoli. It is situated on floor 4. The total number of floors in this Apartment is 11. The property price of this unit is Rs 49.5 L. Monthly maintenance costs Rs 3129. The carpet area of this unit is 735 Square feet. The built-up area is 1000 Square feet. There are 2 bedrooms and 2 bathroom. This property enjoys a good view and is East-facing. This property in Pisoli, Pune has lift facility as well. It is a safe premis...",2.0,Pune,18.4547,73.9016,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcKKXF6xtJsA_ckbJDxOlhSCYCSLcUH09pKy6N3BWNu8rcAb8o37DISto&s
Neeti Galaxy,,"1 BHK Flat for sale in Undri, Pune",32.5 L,"Undri, Pune",699,4650,"Looking for a 1 BHK Apartment for sale in Pune? Your search ends here. Buy this 1 BHK property in Pune's finest location, Undri. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 3 floors. Maintenance charges in this property is Rs 1250. The built up area of this property is 699 Square feet. It is spacious for a family and this property has a carpet area of 579 Square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as Hare Krishna Motor Driving School, Delhi Public School, and Vibgyor High School. M...",1.0,Pune,18.4467,73.9135,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHt04SBAFAUclp76AURqPMi4uixUx8zGVDNA&s
Mantra Majestica Apartment,,"2 BHK Flat for sale in Hadapsar, Pune",42.0 L,"Sasane Nagar, Hadapsar,Pune",810,5180,"Great location, best flat in the society, 3 sides awesome view More About This Property Check out this 2 BHK Apartment for sale in Hadapsar, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Hadapsar is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 8. The total number of floors in this project is 9. The property's price is Rs 42.0 L. Residents in this property pay Rs 1500 towards maintenance. This prope...",2.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaYVpaZGn8odKSp7EX8d9Tb-vMbb5lkKp5AA&s
"Jyoti Society, Parvati Darshan,Pune",,"2 BHK Flat for sale in Parvati Darshan, Pune",1.68 Cr,"Jyoti Society, Parvati Darshan,Pune",1500,11200,"Jayesh Nigade Plot No 36 Padmadarshan Housing Society Satara Road Pune 9 Near Walwaker Lawns More About This Property Property for sale in Satar Nagar, Pune. This 2 BHK Apartment is located in Pune's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 6. This Apartment's price is Rs 1.68 Cr. Homebuyers will also need to pay Rs 2000 towards maintenance. The built-up area is 1500 Square feet. The property has 2 bedrooms and 2 bathroom. This unit enjoys a good view and is a East facing prope...",2.0,Pune,18.4949,73.848,https://images.pexels.com/photos/1428348/pexels-photo-1428348.jpeg?auto=compress&cs=tinysrgb&w=800
Gayatrree Legacy,,"2 BHK Flat for sale in Moshi, Pune",57.0 L,"MIDC, Moshi,Pune",1009,5650,"Looking for a 2 BHK Apartment for sale in Pune? Your search ends here. Buy this 2 BHK property in Pune's finest location, Pimpri Chinchwad. This is an owner listed property and there is no brokerage involved. It is on floor 0 out of 8 floors. This Apartment is available at a reasonable price of Rs 57.0 L. Maintenance charges in this property is Rs 2000. The built up area of this property is 1009 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Disney Kids Pre-School, SNBP INTERNATIONAL SCHOOL & COLLEGE, CHIKHALI, and Priyadarshani ...",2.0,Pune,18.618,73.8036,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNOI6gFWooV1HQBqdG0NMlkWohCWPDtxSyiA&s
"Dream City Chinchwad,Chinchwad Gaon, Chinchwad,Pune",,"1 BHK Flat for sale in Chinchwad, Pune",47.0 L,"Dream City Chinchwad,Chinchwad Gaon, Chinchwad,Pune",648,7250,"1 BHK Apartment for sale in Chinchwad, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Chinchwad which is a promising investment destination in Pune. This might be your chance to grab the best 1 BHK property for sale in Chinchwad. The property is on floor 3 and the total number of floors is 6. This 1 BHK Apartment is available at a reasonable price of Rs 47.0 L. Residents also need to pay maintenance charges of Rs 2667. It is a very spacious property, spread over 471 Square feet. The built-up area is 648 Square feet....",1.0,Pune,18.6298,73.7997,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFyfi0uf1t-u3cXQDcluS_bcl8FFO8OHHarQ&s
"Bellagio, Undri,Pune",,"3 BHK Independent House for sale in Undri, Pune",1.85 Cr,"Bellagio, Undri,Pune",2725,6790,"3 BHK Independent House for sale in Undri, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Undri which is a promising investment destination in Pune. This might be your chance to grab the best 3 BHK property for sale in Undri. This 3 BHK Independent House is available at a reasonable price of Rs 1.85 Cr. The built-up area is 2725 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like PBMA's H. V. Desai Eye Hospital, D...",3.0,Pune,18.4467,73.9135,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8MjvnbSc6liQnQkA4CxF3EUwZ9u_tAZ1zFw&s
Shiv Kunj,,"2 BHK Flat for sale in Hadapsar, Pune",41.0 L,"Sasane Nagar, Hadapsar,Pune",792,5180,"Check out this 2 BHK Apartment for sale in Sasane Nagar, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Sasane Nagar is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 3. The property's price is Rs 41.0 L. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 792 Square feet built-up area. The unit has 2 bedro...",2.0,Pune,18.5089,73.924,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHww
"Amarsrushti Soceity,Unnatinagar, Hadapsar,Pune",,"6 BHK Villa for sale in Hadapsar, Pune",3.75 Cr,"Amarsrushti Soceity,Unnatinagar, Hadapsar,Pune",3150,11900,"6 BHK Villa for sale in Hadapsar, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Villa is in Hadapsar which is a promising investment destination in Pune. This might be your chance to grab the best 6 BHK property for sale in Hadapsar. This 6 BHK Villa is available at a reasonable price of Rs 3.75 Cr. The built-up area is 3150 Square feet. This property has provision for 6 bathroom. Lift is provided in this property. Other provisions include Gym, Garden, Sports Facility, Swimming Pool, Intercom, Clubhouse, Community Hall. This prope...",6.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0Q6epPR-WeT-riL_bMbYnzKh5SBnKpHRw7Q&s
Sonigara Nilay Apartment,,"2 BHK Flat for sale in Chinchwad, Pune",67.0 L,"Chinchwad Gaon, Chinchwad,Pune",720,9300,"Check out this 2 BHK Apartment for sale in Chinchwad, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Chinchwad is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 5. The total number of floors in this project is 7. The property's price is Rs 67.0 L. Residents in this property pay Rs 1500 towards maintenance. This property is a modern-day abode, with 720 Square feet built-up area. The unit has 2 bedrooms...",2.0,Pune,18.6298,73.7997,https://images.pexels.com/photos/323780/pexels-photo-323780.jpeg?auto=compress&cs=tinysrgb&w=1200
Sukhwani Sukhwani Campus,,"3 BHK Flat for sale in Pimpri, Pune",1.1 Cr,"MIDC, Pimpri,Pune",999,11010,"Sukhwani Campus Vallabhnagar Pimpri  A1/1,Tulips,2nd floor 
Opposite ST stand  More About This Property Looking for a 3 BHK Apartment for sale in Pune? Your search ends here. Buy this 3 BHK property in Pune's finest location, Pimpri Chinchwad. This is an owner listed property and there is no brokerage involved. It is on floor 2 out of 6 floors. This Apartment is available at a reasonable price of Rs 1.1 Cr. Maintenance charges in this property is Rs 1500. The built up area of this property is 999 Square feet. There are 3 bedrooms and 3 bathroom. The Apartment has lift facility. It is a thoroug...",3.0,Pune,18.618,73.8036,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbGTZSL1OiofYCjJvDIL40aAzI8iTWv6erpw&s
ARV Imperia C D And E Building,,"2 BHK Flat for sale in Pisoli, Pune",50.0 L,"Pisoli, Pune",1030,4850,"A 2 BHK Apartment for sale in Pisoli, Pune. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Pisoli's most desired properties. Contact now for more information. This 2 BHK unit is on floor 8. There are 14 floors in this property. The price of this Apartment is Rs 42.0 L. Maintenance charges come to Rs 2750. Each unit has a built-up area of 1030 Square feet. The carpet area is 722 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. This residential property is near Hare Krishna Motor Driving School, Vibgyor...",2.0,Pune,18.4547,73.9016,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0WQqK3erZrT8CVJGb0GYtcdsFtswqB00eYw&s
Mantra Majestica Apartment,,"2 BHK Flat for sale in Hadapsar, Pune",48.0 L,"Sasane Nagar, Hadapsar,Pune",930,5160,"A 2 BHK Apartment for sale in Hadapsar, Pune. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Hadapsar's most desired properties. Contact now for more information. This 2 BHK unit is on floor 7. There are 9 floors in this property. The price of this Apartment is Rs 48.0 L. Each unit has a built-up area of 930 Square feet. The carpet area is 660 Square feet. There are 2 bedrooms. There is provision for 2 bathroom. The Apartment in Hadapsar, Pune has lift facility. It is a thoroughly secure premise with cctv facility. Other ...",2.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSAocrl9gU05bXdZ8SHdVl63XZqJJLIlHCien30uNsL4HZvjRt8UGJUyg&s
Gagan Lawish Phase 2,,"3 BHK Flat for sale in Undri, Pune",65.0 L,"Shree Siddhivinayak Meera, Undri,Pune",1400,4640,"Property for sale in Undri, Pune. This 3 BHK Apartment is located in Pune's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 9. The total number of floors in this building is 11. This Apartment's price is Rs 65.0 L. Homebuyers will also need to pay Rs 2500 towards maintenance. This Apartment is a spacious unit, with carpet area of 1075 Square feet and is ideal for families. The built-up area is 1400 Square feet. The property has 3 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthca...",3.0,Pune,18.4467,73.9135,https://images.unsplash.com/photo-1649083048381-520a5b3d91ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU4fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
"Siddhi Anand Park,Krushna Nagar, Chinchwad,Pune",,"2 BHK Flat for sale in Chinchwad, Pune",35.0 L,"Siddhi Anand Park,Krushna Nagar, Chinchwad,Pune",694,5040,"2 BHK Apartment for sale in Pune. This property is in Chinchwad, which is a coveted investment location. This tastefully designed 2 BHK unit is among Pune's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Pune is on floor 2. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 34.0 L. Monthly maintenance charges come to Rs 1000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 694 Square feet. It has 1 ...",2.0,Pune,18.6298,73.7997,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEvcjWX9CvhOfBspzaLbqRtC1ffyzJPy_vOA&s
"Chinchwad Gaon, Chinchwad,Pune",,"1 BHK Flat for sale in Chinchwad, Pune",37.0 L,"Chinchwad Gaon, Chinchwad,Pune",620,5970,"Looking for a good 1 BHK Apartment in Chinchwad, Pune? This property is in one of Pune's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 4. Maintenance charges of this property is Rs 500. This Apartment is available for Rs 36.0 L. This modern unit has a built-up area of 620 Square feet. There are 1 bedroom and 1 bathroom. It is very close to some of city's best hospitals, such as, Aditya Birla Memorial Hospital, Kamat Hospital, and Ankur Hospital. Established schools, such as City Pride School, S N B P School & Jr College, and U En...",1.0,Pune,18.6298,73.7997,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0Q6epPR-WeT-riL_bMbYnzKh5SBnKpHRw7Q&s
"Ravi Park Society,Unnatinagar, Hadapsar,Pune",,"3 BHK Independent House for sale in Hadapsar, Pune",75.0 L,"Ravi Park Society,Unnatinagar, Hadapsar,Pune",1230,6100,"3 BHK Independent House for sale in Hadapsar, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Hadapsar which is a promising investment destination in Pune. This might be your chance to grab the best 3 BHK property for sale in Hadapsar. This 3 BHK Independent House is available at a reasonable price of Rs 75.0 L. Residents also need to pay maintenance charges of Rs 1200. The built-up area is 1230 Square feet. This property has provision for 3 bathroom. This property is auspiciously built and is East-facing. Ot...",3.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNKpNBASdiLZdhZBo7TnqnUHUXaIm6xFNTkwaZZVGwMXfDdsZbQX9XxgQ&s
"Prince Plaza,Hadapsar, Pune",,"2 BHK Flat for sale in Hadapsar, Pune",30.0 L,"Prince Plaza,Hadapsar, Pune",750,4000,"Looking for a good 2 BHK Apartment in Gopalpatti, Pune? This property is in one of Pune's most popular locations. This is a no brokerage property. The property is on floor 2. Total number of floors is 4. Maintenance charges of this property is Rs 1000. This Apartment is available for Rs 30.0 L. This modern unit has a built-up area of 750 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Sanjeevani Hospital, Yog Multispeciality Hospital and Research Center, and नवजीवन नर्सिंग होम. Established schools, such as The Lexicon School, Tree H...",2.0,Pune,18.5089,73.924,https://images.unsplash.com/photo-1649083048381-520a5b3d91ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU4fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Amanora Adreno Towers,,"4 BHK Flat for sale in Hadapsar, Pune",2.15 Cr,"Amanora Park Town, Hadapsar,Pune",1700,12650,"Check out this 4 BHK Apartment for sale in Hadapsar, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 4 BHK Apartment is perfect for a modern-day lifestyle. Hadapsar is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 13. The total number of floors in this project is 32. The property's price is Rs 2.2 Cr. This property is a modern-day abode, with 1700 Square feet built-up area. The carpet-area is 1410 Square feet. The unit has 4 bedrooms and 3 bathroom. Serva...",4.0,Pune,18.5089,73.924,https://images.pexels.com/photos/323780/pexels-photo-323780.jpeg?auto=compress&cs=tinysrgb&w=1200
"Sahakar Nagar, Parvati Darshan,Pune",,"2 BHK Independent House for sale in Parvati Darshan, Pune",1.1 Cr,"Sahakar Nagar, Parvati Darshan,Pune",1280,8590,"Looking for a good 2 BHK Independent House in Bibwewadi, Pune? This property is in one of Pune's most popular locations. This is a no brokerage property. Maintenance charges of this property is Rs 150. This Independent House is available for Rs 1.1 Cr. This modern unit has a built-up area of 1280 Square feet. The carpet area of this Independent House is 980 Square feet. This property has a good view and is East-facing. There are 2 bedrooms and 1 bathroom. This is a gated community. Sports enthusiasts have multiple options such as Garden. Regular water supply is provided. For young families wit...",2.0,Pune,18.4949,73.848,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUMEKlzQimuIoPkRM6xG9YQu812i_zhbrX6Q&s
Ahura Pearl Tower ,,"3 BHK Flat for sale in Hadapsar, Pune",98.0 L,"Malwadi, Hadapsar,Pune",1373,7140,"3 BHK Apartment for sale in Hadapsar, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Hadapsar which is a promising investment destination in Pune. This might be your chance to grab the best 3 BHK property for sale in Hadapsar. The property is on floor 11 and the total number of floors is 11. This 3 BHK Apartment is available at a reasonable price of Rs 98.0 L. Residents also need to pay maintenance charges of Rs 3000. It is a very spacious property, spread over 1175 Square feet. The built-up area is 1373 Square feet...",3.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdhMXLoV9rJzMhY4e9PTGZtKF5pj5nLgNfVg&s
Kalpataru Serenity Bldg 5,,"2 BHK Flat for sale in Hadapsar, Pune",62.0 L,"Mahadeonagar, Hadapsar,Pune",1150,5390,"2 BHK Apartment for sale in Hadapsar, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Hadapsar which is a promising investment destination in Pune. This might be your chance to grab the best 2 BHK property for sale in Hadapsar. The property is on floor 7 and the total number of floors is 16. This 2 BHK Apartment is available at a reasonable price of Rs 62.0 L. Residents also need to pay maintenance charges of Rs 2500. It is a very spacious property, spread over 750 Square feet. The built-up area is 1150 Square feet. ...",2.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEvcjWX9CvhOfBspzaLbqRtC1ffyzJPy_vOA&s
Prithvi Presidio Buiding B Phase 1,,"2 BHK Flat for sale in Hadapsar, Pune",1.1 Cr,"Keshav Nagar, Hadapsar,Pune",1350,8150,"2 BHK Apartment for sale in Hadapsar, Pune with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Hadapsar which is a promising investment destination in Pune. This might be your chance to grab the best 2 BHK property for sale in Hadapsar. The property is on floor 9 and the total number of floors is 14. This 2 BHK Apartment is available at a reasonable price of Rs 1.1 Cr. Residents also need to pay maintenance charges of Rs 4000. It is a very spacious property, spread over 1003 Square feet. The built-up area is 1350 Square feet....",2.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwdhUHf0ReCSvejBYku3E4epGSgIM63UXVrg&s
ARV Newtown,,"2 BHK Flat for sale in Pisoli, Pune",52.0 L,"Pisoli, Pune",1061,4900,"Check out this 2 BHK Apartment for sale in Pisoli, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Pisoli is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 4. The total number of floors in this project is 11. Residents in this property pay Rs 3029 towards maintenance. This property is a modern-day abode, with 1061 Square feet built-up area. The carpet-area is 757 Square feet. The unit has 2 bedrooms an...",2.0,Pune,18.4547,73.9016,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmnANnncOBGJj9-VH5E6utNFsFLjkyr7cvQg&s
Naren Bliss,,"3 BHK Flat for sale in Hadapsar, Pune",1.6 Cr,"Amanora Park Town, Hadapsar,Pune",1105,14480,"Property for sale in Hadapsar, Pune. This 3 BHK Apartment is located in Pune's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 11. The total number of floors in this building is 11. This Apartment's price is Rs 1.6 Cr. Homebuyers will also need to pay Rs 6000 towards maintenance. This Apartment is a spacious unit, with carpet area of 950 Square feet and is ideal for families. The built-up area is 1105 Square feet. The property has 3 bedrooms and 3 bathroom. This Apartment is strategically located within close distance of famous healt...",3.0,Pune,18.5089,73.924,https://images.unsplash.com/photo-1649083048381-520a5b3d91ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU4fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Rahul Eastview I,,"2 BHK Flat for sale in Hadapsar, Pune",55.0 L,"Satav Nagar, Hadapsar,Pune",1125,4890,"Check out this 2 BHK Apartment for sale in Hadapsar, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Hadapsar is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 6. The total number of floors in this project is 9. The property's price is Rs 55.0 L. This property is a modern-day abode, with 1125 Square feet built-up area. The carpet-area is 900 Square feet. It is a East-facing property. The unit has 2 bed...",2.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZz_6-2IasnsMuCQK8DJpyBXRyt9JlDNid5w&s
ARV Newtown,,"2 BHK Flat for sale in Pisoli, Pune",47.0 L,"Pisoli, Pune",890,5280,"Property for sale in Pisoli, Pune. This 2 BHK Apartment is located in Pune's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 7. The total number of floors in this building is 11. This Apartment's price is Rs 48.0 L. Homebuyers will also need to pay Rs 2500 towards maintenance. The built-up area is 890 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Dr. Masal hospital, Chandra Nursing Home, and Aadarsh Hospital. Schools like Vib...",2.0,Pune,18.4547,73.9016,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMYopneXydH1Tj-HVI4vtdHy-PKAw_HOIggg&s
Mantra Moments,,"2 BHK Flat for sale in Moshi, Pune",40.0 L,"MIDC, Moshi,Pune",750,5330,"2 BHK Apartment for sale in Pimpri Chinchwad, Pune. This 2 BHK unit is available in Pimpri Chinchwad and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Pimpri Chinchwad. It is on floor 4. The total number of floors is 11. The price of this Apartment is Rs 40.0 L. It is a good, spacious Apartment unit with carpet area of 605 Square feet. The built-up area is 750 Square feet. There are 2 bedrooms and 2 bathroom. This property is at a walking distance from Sh...",2.0,Pune,18.618,73.8036,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT5XKuF2kHCEDX4hbLtLhV6ETkyjvZNmck23N3EgF9jeaVt7ZKga9lRXYo&s
Magnus Manjri Green Annexe B1 B2 B3,,"2 BHK Flat for sale in Hadapsar, Pune",52.0 L,"Hadapsar, Pune",700,7430,"Looking for a good 2 BHK Apartment in Gopalpatti, Pune? This property is in one of Pune's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 4. This Apartment is available for Rs 52.0 L. This modern unit has a built-up area of 700 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Dr.Swetha's Sanjeevani Hospital, Best Gynecologist, Infertility Expert, Dr. Mhaske Hospital -Best Laparoscopic Surgeon in Pune | Gallbladder,Hernia & Laparoscopic Surgeon in Hadapsar,Pune, and Yog Mu...",2.0,Pune,18.5089,73.924,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHww
Aspire Towers,,"3 BHK Flat for sale in Hadapsar, Pune",2.3 Cr,"Amanora Park Town, Hadapsar,Pune",2067,11130,"3 BHK Apartment for sale in Hadapsar, Pune. This 3 BHK unit is available in Hadapsar and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Hadapsar. It is on floor 2. The total number of floors is 20. The price of this Apartment is Rs 2.3 Cr. The built-up area is 2067 Square feet. There are 3 bedrooms and 3 bathroom. This property is at a walking distance from Dr.Swetha's Sanjeevani Hospital, Best Gynecologist, Infertility Expert, Sahyadri Super Speciality Ho...",3.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDraQ5G3s2YOBtmzqzFlkkpdwGrflfHHsf2Q&s
Amanora Park Town,,"1 BHK Flat for sale in Hadapsar, Pune",60.0 L,"Vetal Nagar, Hadapsar,Pune",570,10530,"A 1 BHK Apartment for sale in Hadapsar, Pune. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Hadapsar's most desired properties. Contact now for more information. This 1 BHK unit is on floor 6. There are 11 floors in this property. The price of this Apartment is Rs 58.0 L. Maintenance charges come to Rs 2000. Each unit has a built-up area of 570 Square feet. There are 1 bedroom. There is provision for 1 bathroom. This residential property is near The Lexicon School, Maruti Driving School - Magarpatta City ( The Kothari Wh...",1.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPqFi7EUuUAdPJU6LwxL0MFerMNGOl7q3wfA&s
Karan Bella Vista Villas,,"3 BHK Flat for sale in Hadapsar, Pune",95.0 L,"Hadapsar, Pune",1350,7040,"3rd floor 3 BHK apartment facing East, 1350 sqft area, Fully Vaastu Friendly, Covered Car Parking, Fully Furnished (including Sofa, Cupboards, Modular Kitchen, Geyser, AC, Dining Table), Big Terrace, Blessed with loads of Sunlight and Fresh Air throughout the day

Gated Community + All Amenities, Good Connectivity to Magarpatta/Kharadi IT Park, Nearby International Schools/Malls/Hospitals More About This Property 3 BHK Apartment for sale in Pune. This property is in Hadapsar, which is a coveted investment location. This tastefully designed 3 BHK unit is among Pune's best properties. No brokera...",3.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0Q6epPR-WeT-riL_bMbYnzKh5SBnKpHRw7Q&s
Nirman Brookefield Willows Apartment,,"3 BHK Flat for sale in Pisoli, Pune",72.0 L,"Pisoli, Pune",1263,5700,"3 BHK Apartment for sale in Pune. This property is in Pisoli, which is a coveted investment location. This tastefully designed 3 BHK unit is among Pune's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Pune is on floor 5. The total number of floors in this Apartment is 12. The price of the Apartment is Rs 72.0 L. Monthly maintenance charges come to Rs 3400. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1263 Square feet. The carpet...",3.0,Pune,18.4547,73.9016,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKFumepIzBgyE6MSKdQ96O1EOaN7KlrP7oyw&s
"Pisoli, Pune",,"2 BHK Flat for sale in Pisoli, Pune",45.0 L,"Pisoli, Pune",925,4860,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Pune's top location, Pisoli. It is situated on floor 3. The total number of floors in this Apartment is 11. Monthly maintenance costs Rs 1900. The built-up area is 925 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to Hare Krishna Motor Driving School, Vibgyor High School, and Delhi Public School. Healthcare facility is also close at hand with Satyanand Hosp...",2.0,Pune,18.4547,73.9016,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSa_wPYQK-qPTd7Wd7_gaWOxCFznuYcKfsjhw&s
