PROP_NAME,AGE,PROP_HEADING,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,CITY,LATITUDE,LONGITUDE,url
"Vetal Nagar, Hadapsar,Pune",,"1 BHK Flat for sale in Hadapsar, Pune",27.0 L,"Vetal Nagar, Hadapsar,Pune",550,4910,"Looking for a 1 BHK Apartment for sale in Pune? Your search ends here. Buy this 1 BHK property in Pune's finest location, Hadapsar. This is an owner listed property and there is no brokerage involved. It is on floor 5 out of 5 floors. This Apartment is available at a reasonable price of Rs 27.0 L. The built up area of this property is 550 Square feet. There are a number of reputed schools in the vicinity such as The Lexicon School, Maruti Driving School - Magarpatta City ( The Kothari Wheels ), and The Lexicon School. Medical facility is also close at hand with names like Dr.Swetha's Sanjeevan...",1.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYjnau-ssXtHUBnLB-kKdlbxxPiL5A8mvNps2yJe56qMnE2CJF1vCF9cg&s
Dreams Rachana,,"1 BHK Flat for sale in Hadapsar, Pune",28.0 L,"Shiv Nagar, Hadapsar,Pune",700,4000,"Looking for a 1 BHK Apartment for sale in Pune? Your search ends here. Buy this 1 BHK property in Pune's finest location, Hadapsar. This is an owner listed property and there is no brokerage involved. It is on floor 2 out of 7 floors. This Apartment is available at a reasonable price of Rs 28.0 L. Maintenance charges in this property is Rs 1000. The built up area of this property is 700 Square feet. It is spacious for a family and this property has a carpet area of 500 Square feet. This property is East facing. There are 1 bedroom and 1 bathroom. The Apartment has lift facility. It is a thorou...",1.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt2I4DhRjodbgoIeEU-68uTRJTwLA-dQ70NQ&s
Nirman Brookefield Willows Apartment,,"2 BHK Flat for sale in Pisoli, Pune",55.0 L,"Pisoli, Pune",956,5750,"East facing fully furnished flat situated on the 10th floor (total of 12+1 floors)
Front view facing garden area
Breezy and pure natural ventilated house
180 degree wide open to sky view
Main road touch property
Amenities includes: Swimming pool, gymnasium, clubhouse, children's play area, landscaped garden, amphitheater, table tennis, intercom facility, video door phone, 3 lifts..

Now you can buy it without paying brokerage too. This East facing home is on the 10th floor. This home is over 974 sqft. & even comes with ample parking space for a car and bike.

Amenities like club house, play ar...",2.0,Pune,18.4547,73.9016,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoJQyruZfVTsuufG6zvBhIhg0odTp83yaduA&s
Mayuri Optimum,,"2 BHK Flat for sale in Pisoli, Pune",48.0 L,"Pisoli, Pune",937,5120,"Gated society with cctv camera coverage & cosmopolitan crowd More About This Property One of the finest property in Pisoli is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 6. It is a 8 storeyed building. The price of this Apartment is Rs 48.5 L. Other charges when you move into this property include maintenance, which is Rs 2400. This Apartment is spacious with a built-up area of 937 Square feet. The carpet area is 707 Square feet. It is a East-facing property with a good view. There are 2 bedrooms and 2 bathroom. Lift facility is...",2.0,Pune,18.4547,73.9016,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx7ttDlu-kQVj1XCjp4EcIq4yJo1yKqpkWtg&s
38 Park Majestique,,"2 BHK Flat for sale in Undri, Pune",60.0 L,"Shree Siddhivinayak Meera, Undri,Pune",950,6320,"One of the finest property in Undri is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 9. It is a 14 storeyed building. The price of this Apartment is Rs 60.0 L. Other charges when you move into this property include maintenance, which is Rs 2800. This Apartment is spacious with a built-up area of 950 Square feet. The carpet area is 690 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Hare Krishna Motor Driving School, Delhi Public School, and ...",2.0,Pune,18.4467,73.9135,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdsFRof8WcIGyA0O1X8Y4Ncif5WstFcdm74g&s
"saideep appartment PurnaNagar chichwad Pune,Purnanagar, Chinchwad,Pune",,"1 BHK Flat for sale in Chinchwad, Pune",40.0 L,"saideep appartment PurnaNagar chichwad Pune,Purnanagar, Chinchwad,Pune",654,6120,"Looking for a good 1 BHK Apartment in Pimpri Chinchwad, Pune? This property is in one of Pune's most popular locations. This is a no brokerage property. The property is on floor 3. Total number of floors is 4. This Apartment is available for Rs 40.0 L. This modern unit has a built-up area of 654 Square feet. The carpet area of this Apartment is 500 Square feet. This property has a good view and is East-facing. There are 1 bedroom and 2 bathroom. It is very close to some of city's best hospitals, such as, Imperial Multi Speciality Hospital, ASTHA HOSPITAL, and Omsainath Medical. Established sch...",1.0,Pune,18.6298,73.7997,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpOuCLCCohtdU_Nn8UpoqfefC2-t5bY91jcA&s
"Bramha SkyOne,Bellagio, Undri,Pune",,"3 BHK Flat for sale in Undri, Pune",85.0 L,"Bramha SkyOne,Bellagio, Undri,Pune",1052,8080,"Looking for a 3 BHK Apartment for sale in Pune? Your search ends here. Buy this 3 BHK property in Pune's finest location, Undri. This is an owner listed property and there is no brokerage involved. It is on floor 7 out of 14 floors. This Apartment is available at a reasonable price of Rs 85.0 L. Maintenance charges in this property is Rs 0. The built up area of this property is 1052 Square feet. There are a number of reputed schools in the vicinity such as Hare Krishna Motor Driving School, Vibgyor High School, and Delhi Public School. Medical facility is also close at hand with names like Sat...",3.0,Pune,18.4467,73.9135,https://images.unsplash.com/photo-1611444143036-6678f7f94652?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NDN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
"Arun park opposite to Aditya birala hospital ,MIDC, Chinchwad,Pune",,"2 BHK Flat for sale in Chinchwad, Pune",52.0 L,"Arun park opposite to Aditya birala hospital ,MIDC, Chinchwad,Pune",740,7030,"Check out this 2 BHK Apartment for sale in Chinchwad, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Chinchwad is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 6. The property's price is Rs 52.0 L. Residents in this property pay Rs 1000 towards maintenance. This property is a modern-day abode, with 740 Square feet built-up area. The unit has 2 bedrooms...",2.0,Pune,18.6298,73.7997,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReHmictO0cV3ZSICgtYPl7zOfMfZCR6iEdG8P-KVmU4bfxePk-l25JeJ4&s
"Shivatej Nagar, Chinchwad,Pune",,"2 BHK Flat for sale in Chinchwad, Pune",66.0 L,"Shivatej Nagar, Chinchwad,Pune",1148,5750,"Specious, full of sunlight, three side open, only 6 flat building, best location. Daily needs within 5 min walk.  More About This Property Check out this 2 BHK Apartment for sale in Chinchwad, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Chinchwad is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 3. The property's price is Rs 68.0 L. Residents in this...",2.0,Pune,18.6298,73.7997,https://images.pexels.com/photos/2030037/pexels-photo-2030037.jpeg?auto=compress&cs=tinysrgb&w=800
dreams eligance,,"2 BHK Flat for sale in Hadapsar, Pune",41.0 L,"Chintamani Nagar, Hadapsar,Pune",915,4480,"Check out this 2 BHK Apartment for sale in Hadapsar, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Hadapsar is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 9. The property's price is Rs 41.0 L. Residents in this property pay Rs 2000 towards maintenance. This property is a modern-day abode, with 915 Square feet built-up area. The carpet-area is 656 Sq...",2.0,Pune,18.5089,73.924,https://media.istockphoto.com/id/2166310230/photo/a-quiet-luxury-living-room-interior-with-glamour-and-traditional-furniturea-quiet-luxury.webp?a=1&b=1&s=612x612&w=0&k=20&c=Kx8eRjCVMHVaVcCSKYLQVGMfm68Y2k02Ym50TUBB0FU=
Anshul Kosmas,,"1 BHK Flat for sale in Moshi, Pune",30.0 L,"MIDC, Moshi,Pune",666,4500,"Best 1 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 1 BHK property for sale in one of Pune's top location, Pimpri Chinchwad. It is situated on floor 4. The total number of floors in this Apartment is 12. The property price of this unit is Rs 30.0 L. Monthly maintenance costs Rs 1300. The built-up area is 666 Square feet. There are 1 bedroom and 1 bathroom. This property enjoys a good view and is West-facing. It is an ideal location for young families with kids, as this property is close to Priyadarshani High School, City Pr...",1.0,Pune,18.618,73.8036,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-WOs_vwCq-Wwqu_a8okQYRzq-IlyjD_71AEXHYkJ49Y_mPR1hTy89LEM&s
Nandini Bellus,,"2 BHK Flat for sale in Hadapsar, Pune",63.0 L,"Hadapsar, Pune",900,7000,"Check out this 2 BHK Apartment for sale in Hadapsar, Pune. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Hadapsar is a promising location in Pune and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 9. The total number of floors in this project is 11. The property's price is Rs 63.0 L. This property is a modern-day abode, with 900 Square feet built-up area. The unit has 2 bedrooms and 2 bathroom. Educational institutions are closeby with sc...",2.0,Pune,18.5089,73.924,https://images.unsplash.com/photo-1484101403633-562f891dc89a?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bGl2aW5nJTIwcm9vbXxlbnwwfHwwfHx8MA%3D%3D
Dreams Estate,,"2 BHK Flat for sale in Hadapsar, Pune",36.0 L,"Vetal Nagar, Hadapsar,Pune",800,4500,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Pune's top location, Hadapsar. It is situated on floor 7. The total number of floors in this Apartment is 11. The property price of this unit is Rs 36.0 L. Monthly maintenance costs Rs 0. The built-up area is 800 Square feet. It is an ideal location for young families with kids, as this property is close to The Lexicon School, Sadhana Vidyalay & Junior College, and Wonder World English Medium School. Healthcare facility is also close at ha...",2.0,Pune,18.5089,73.924,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDraQ5G3s2YOBtmzqzFlkkpdwGrflfHHsf2Q&s
