PROP_NAME,PROP_HEADING,AGE,PRICE,CITY,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
Srijani Apartment,"3 BHK Flat for sale in Ashok Nagar, Kolkata",,66.0 L,Kolkata,"Vivekananda Nagar, Ashok Nagar,Kolkata",1125,5870,"A 3 BHK Apartment for sale in Ashok Nagar, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Ashok Nagar's most desired properties. Contact now for more information. This 3 BHK unit is on floor 2. There are 4 floors in this property. The price of this Apartment is Rs 66.0 L. Each unit has a built-up area of 1125 Square feet. There are 3 bedrooms. There is provision for 2 bathroom. This residential property is near G.D. Birla Centre For Education (Senior Section), Future Foundation School, and The Future Foundation S...",3.0,22.4763156,88.3385928,https://images.pexels.com/photos/271795/pexels-photo-271795.jpeg?auto=compress&cs=tinysrgb&w=800
Vedic Village Greentech City,"2 BHK Flat for sale in Rajarhat, Kolkata",,43.0 L,Kolkata,"Rajarhat, Kolkata",950,4530,"Call me only if you are interested to buy a 2BHK flat in Vedic Village, Rajarhat. One of the best property near new town rajarhat. Close proximity to IT hubs in Rajarhat. It has all the amenities like club house, kids playing area, swimming pool, gymnasium. Lot of greenery around. It is close to international airport.  More About This Property 2 BHK Apartment for sale in Chandpur, Kolkata. This 2 BHK unit is available in Chandpur and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purch...",2.0,22.6231943,88.4437332,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4MZkvZ7mqsl1Y3zTX6pP4mOusUGiGyeUQXQ&s
Sopan Niwas,"3 BHK Flat for sale in Golf Green, Kolkata",,2.0 Cr,Kolkata,"Golf Green, Kolkata",1500,13330,"3 BHK Apartment for sale in Kolkata. This property is in Golf Green, which is a coveted investment location. This tastefully designed 3 BHK unit is among Kolkata's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Kolkata is on floor 2. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 2.0 Cr. Monthly maintenance charges come to Rs 1850. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1500 Square feet...",3.0,22.4913328,88.3618382,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDraQ5G3s2YOBtmzqzFlkkpdwGrflfHHsf2Q&s
Fortune Township,"3 BHK Flat for sale in Barasat, Kolkata",,43.0 L,Kolkata,"Barasat, Kolkata",1200,3580,"3 BHK Apartment for sale in Kolkata. This property is in Barasat, which is a coveted investment location. This tastefully designed 3 BHK unit is among Kolkata's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Kolkata is on floor 2. The total number of floors in this Apartment is 5. The price of the Apartment is Rs 43.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1200 Square feet. The carpet area is 1000 Square feet. This is a...",3.0,22.7240295,88.4889199,https://images.unsplash.com/photo-1710883727450-d3a0ab1bbbe3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NjN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
"Baguiati, Kolkata","2 BHK Flat for sale in Baguiati, Kolkata",,27.86 L,Kolkata,"Baguiati, Kolkata",750,3710,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Kolkata's top location, Baguiati. It is situated on floor 3. The total number of floors in this Apartment is 5. The property price of this unit is Rs 27.86 L. The built-up area is 750 Square feet. There are 2 bedrooms and 2 bathroom. This property enjoys a good view and is South-East-facing. Regular water supply is provided. It is an ideal location for young families with kids, as this property is close to Gurukul Activity Centre PVT LTD, ...",2.0,22.616396,88.4278599,https://images.unsplash.com/photo-1580041065738-e72023775cdc?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU0fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Vedic Village Greentech City,"3 BHK Flat for sale in Rajarhat, Kolkata",,85.0 L,Kolkata,"Rajarhat, Kolkata",2015,4220,"its a 2015 Duplex apartment  nestled away from hustle bustle of city chaos and provides all great facilities like golf, club, restaurant , swimming pool , a great hotel inside a gated community . More About This Property A 3 BHK Apartment for sale in Chandpur, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Chandpur's most desired properties. Contact now for more information. This 3 BHK unit is on floor 1. There are 4 floors in this property. The price of this Apartment is Rs 88.0 L. Maintenance charges come to Rs...",3.0,22.6231943,88.4437332,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNKpNBASdiLZdhZBo7TnqnUHUXaIm6xFNTkwaZZVGwMXfDdsZbQX9XxgQ&s
521 Jodhpur Park,"2 BHK Flat for sale in Dhakuria, Kolkata",,1.08 Cr,Kolkata,"Dhakuria, Kolkata",1200,9000,"One of the finest property in Jodhpur Park is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 3. It is a 5 storeyed building. The price of this Apartment is Rs 1.08 Cr. This Apartment is spacious with a built-up area of 1200 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Delhi Public School (Junior School), Future Foundation School, and Carmel High School. It is also close to good and reputed hospitals like AMRI Hospital Dhakuria, AMRI Hospit...",2.0,22.5094085,88.371185,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUJ-ufHOCoOF5cpUEU0FRDDDYVt9kDHKN4S3GYCG116-SVp1fAf-kygOU&s
Ideal Niketan,"3 BHK Flat for sale in Tangra, Kolkata",,1.0 Cr,Kolkata,"Tangra, Kolkata",1450,6900,"A 3 BHK Apartment for sale in Tangra, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Tangra's most desired properties. Contact now for more information. This 3 BHK unit is on floor 3. There are 7 floors in this property. The price of this Apartment is Rs 1.0 Cr. Maintenance charges come to Rs 3300. Each unit has a built-up area of 1450 Square feet. There are 3 bedrooms. There is provision for 2 bathroom. This residential property is near Tangra Primary School, Bhutnath Mahamaya Uchcha Balika Vidyalaya, and Asha N...",3.0,22.5565107,88.3795946,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiP_PwpC1OYnhS3DnBsvvlHPLiDIDM7wehSA&s
"Seal Lane, Tangra,Kolkata","2 BHK Flat for sale in Tangra, Kolkata",,85.0 L,Kolkata,"Seal Lane, Tangra,Kolkata",1115,7620,"We are the proud owners of this 2 bhk apartment available in tangra, e m bypass ideal niketan, block c. 
Ready to move in and sale, fully furnished.

This furnished apartment is a and the unit is located on 6th floor and has a super built-Up area of 1115 sq.Ft. . 

It has 2 bathroom(s) and 1 balcony(s). The ownership is freehold type. 

The apartment has 2 open parking. More About This Property 2 BHK Apartment for sale in Kolkata. This property is in Tangra, which is a coveted investment location. This tastefully designed 2 BHK unit is among Kolkata's best properties. No brokerage to be paid f...",2.0,22.5517876,88.3817142,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZABuUXhYCF0QqxZ8I_Mu6K8-4z67LTX_oBA&s
"Hindustan Park, Gariahat,Kolkata","3 BHK Flat for sale in Gariahat, Kolkata",,70.0 L,Kolkata,"Hindustan Park, Gariahat,Kolkata",990,7070,"One of the finest property in Gariahat is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 3. It is a 3 storeyed building. The price of this Apartment is Rs 70.0 L. Other charges when you move into this property include maintenance, which is Rs 1000. This Apartment is spacious with a built-up area of 990 Square feet. The carpet area is 825 Square feet. There are 3 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Modern High School, Delhi Public School (Junior School), a...",3.0,22.5253002,88.3654384,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnROB3ZtRtJm_4XVzKMFoLov6SBm0cqx785Q&s
"Barrackpore, Kolkata","1 BHK Flat for sale in Barrackpore, Kolkata",,12.0 L,Kolkata,"Barrackpore, Kolkata",495,2420,"One of the finest property in Barrackpore is now available for sale. This is a 1 BHK Apartment posted directly by owner. Make it yours now. It is on floor 3. It is a 4 storeyed building. The price of this Apartment is Rs 12.0 L. Other charges when you move into this property include maintenance, which is Rs 650. This Apartment is spacious with a built-up area of 495 Square feet. There are 1 bedroom and 1 bathroom. This property ensures you are a quick distance away from the city's best schools such as H/o SDMI EDUCATIONAL INSTITUTE, The Cambridge School Barrackpore, and Navoday Kg School. It i...",1.0,22.6380124,88.3958929,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrEVcQID71Al1Cd1BGdOjKlTKcm11bQzjNGg&s
"Golf Green, Kolkata","2 BHK Flat for sale in Golf Green, Kolkata",,45.5 L,Kolkata,"Golf Green, Kolkata",850,5350,"Check out this 2 BHK Apartment for sale in Golf Green, Kolkata. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Golf Green is a promising location in Kolkata and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 3. The property's price is Rs 45.5 L. Residents in this property pay Rs 250 towards maintenance. This property is a modern-day abode, with 850 Square feet built-up area. The carpet-area ...",2.0,22.4913328,88.3618382,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaYVpaZGn8odKSp7EX8d9Tb-vMbb5lkKp5AA&s
"Dum Dum Park, Kolkata","2 BHK Flat for sale in Dum Dum Park, Kolkata",,48.0 L,Kolkata,"Dum Dum Park, Kolkata",1200,4000,"Looking for a good 2 BHK Apartment in Dum Dum Park, Kolkata? This property is in one of Kolkata's most popular locations. This is a no brokerage property. The property is on floor 5. Total number of floors is 5. Maintenance charges of this property is Rs 800. This Apartment is available for Rs 48.0 L. This modern unit has a built-up area of 1200 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Apollo Gleneagles Hospitals, Peerless Hospital, and Apollo Gleneagles Hospitals. Established schools, such as Aditya Academy, Gurukul Activity...",2.0,22.6210988,88.3978255,https://images.pexels.com/photos/209296/pexels-photo-209296.jpeg?auto=compress&cs=tinysrgb&w=1200
"Dakshineswar, Kolkata","3 BHK Independent House for sale in Dakshineswar, Kolkata",,70.0 L,Kolkata,"Dakshineswar, Kolkata",800,8750,"Close to dakshineswar temple and 5 mins walkable distance from metro. Easy access to grocery and vegetable market. Land area is 1 katha 1 chatak More About This Property Looking for a 3 BHK Independent House for sale in Kolkata? Your search ends here. Buy this 3 BHK property in Kolkata's finest location, Dakshineswar. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 75.0 L. The built up area of this property is 800 Square feet. This property is East facing. There are 3 bedrooms and 2 bathroom. There are a numbe...",3.0,22.654827,88.3575776,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSAocrl9gU05bXdZ8SHdVl63XZqJJLIlHCien30uNsL4HZvjRt8UGJUyg&s
"Bidhanpally, Jadavpur,Kolkata","4 BHK Flat for sale in Jadavpur, Kolkata",,68.0 L,Kolkata,"Bidhanpally, Jadavpur,Kolkata",1350,5040,"Located at the most premium & peaceful location in jadavpur. KIT market & 8B bus stand- 400 mtr, school- 20 mtr, kpc hospital- 500 mtr, Bank & ATM : 300 mtr, Ram Thakur Ashram - 100 mtr. Property age 33 years but best built quality guaranteed. Garrage is available in rent basis in locality. Good neighborhood. We have 2 nos double bed room flats which we have modified to 3+ BHK to segregate the dining and drawing hall and puja area. There are all windows at all sides. Flooring : Marble (makrana), geyser electric lines for 3 bathrooms and piping for 2 bathrooms, AC connection in 3 Bedrooms. TV, ...",4.0,22.497554,88.3748206,https://images.pexels.com/photos/1457841/pexels-photo-1457841.jpeg?auto=compress&cs=tinysrgb&w=800
Sugam Habitat,"2 BHK Flat for sale in Tiljala, Kolkata",,77.0 L,Kolkata,"Tiljala, Kolkata",993,7750,"UNUSED property, ZERO brokerage, on 06th floor (out of 07), North-East open, VASTU COMPLIANT, 02 Bedroom, 02 Toilets, Kitchen, Living & Dinning, 01 Balcony, In-built Wardrobe space in Bedrooms, closed proximity to multi-speciality Hospitals, Schools, Ballygunge Phari, EM Bypass, and UPCOMING METRO STATION, Ultra-luxury amenities like Power Back Up, Lift, Security, Maintenance Staff, CCTV, Intercom, Waste Disposal, Club House, Gymnasium, Swimming Pool, Kids’ Zone, Banquet, Basketball court, Park, Gardens, etc. Price @7754 per sq ft plus parking charges, NO BROKERAGE and NO HIDDEN CHARGES. More ...",2.0,22.5326499,88.3698257,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReHmictO0cV3ZSICgtYPl7zOfMfZCR6iEdG8P-KVmU4bfxePk-l25JeJ4&s
Larica Township,"3 BHK Flat for sale in Barasat, Kolkata",,25.0 L,Kolkata,"Barasat, Kolkata",1148,2180,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Kolkata's top location, Barasat. It is situated on floor 4. The total number of floors in this Apartment is 5. The property price of this unit is Rs 25.0 L. Monthly maintenance costs Rs 1000. The built-up area is 1148 Square feet. There are 3 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to Central Workshop Building, Adamas Higher Secondary Model School Barasat, and AKRAMPUR F.P SC...",3.0,22.7240295,88.4889199,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZ-q8tz9MVUn4YbXb-PK4rdR5mtDaJK_ODRr80Z5mbeHhooIxAIO0oZ2c&s
Poushali Abashan (Siriti Housing Estate),"1 BHK Flat for sale in Tollygunge, Kolkata",,13.0 L,Kolkata,"Rajendra Prasad Colony, Tollygunge,Kolkata",500,2600,"1 BHK Apartment for sale in Tollygunge, Kolkata. This 1 BHK unit is available in Tollygunge and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Tollygunge. It is on floor 4. The total number of floors is 4. The price of this Apartment is Rs 17.0 L. Residents in this project also pay monthly maintenance charges of Rs 500. The built-up area is 500 Square feet. There are 1 bedroom and 1 bathroom. This property is at a walking distance from AMRI Hospital Dhakur...",1.0,22.4874821,88.3430889,https://images.pexels.com/photos/259962/pexels-photo-259962.jpeg?auto=compress&cs=tinysrgb&w=1200
Sanhita Township Project,"3 BHK Flat for sale in New Town, Kolkata",,33.0 L,Kolkata,"New Town, Kolkata",916,3600,"3 BHK Apartment for sale in New Town, Kolkata with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in New Town which is a promising investment destination in Kolkata. This might be your chance to grab the best 3 BHK property for sale in New Town. The property is on floor 2 and the total number of floors is 6. This 3 BHK Apartment is available at a reasonable price of Rs 32.0 L. The built-up area is 916 Square feet. This property has provision for 2 bathroom. Lift is provided in this property. Other provisions include Gym, Garden....",3.0,22.6564623,88.4467245,https://images.pexels.com/photos/1428348/pexels-photo-1428348.jpeg?auto=compress&cs=tinysrgb&w=800
"Dum Dum Park, Kolkata","2 BHK Flat for sale in Dum Dum Park, Kolkata",,20.0 L,Kolkata,"Dum Dum Park, Kolkata",840,2380,"The property offers an excellent view of the main road. Full of natural light and very airy due to the presence of two balconies exactly opposite to each other . The location of the property is very good and is situated near four open ended road which are easily accessible to Baguihati, dumdum park, Keshtopur and Jessore Road. Actually the property is exactly between the Jessore Road and Vip Road (10 mins walking distance). The steps of the stair case are of very low height. Only drawback of the property is the it has no lift. More About This Property 2 BHK Apartment for sale in Dum Dum, Kolka...",2.0,22.6210988,88.3978255,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTy4aXNB_08CmR2L_5jbJKvCTRkSAUaNstOuA&s
"Dhakuria, Kolkata","2 BHK Flat for sale in Dhakuria, Kolkata",,55.0 L,Kolkata,"Dhakuria, Kolkata",910,6040,"Check out this 2 BHK Apartment for sale in Jodhpur Park, Kolkata. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Jodhpur Park is a promising location in Kolkata and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 4. The property's price is Rs 55.0 L. Residents in this property pay Rs 750 towards maintenance. This property is a modern-day abode, with 910 Square feet built-up area. The carpet-a...",2.0,22.5094085,88.371185,https://images.unsplash.com/photo-1628744876525-f2678d8af47f?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTAwfHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
"Baranagar, Kolkata","2 BHK Flat for sale in Baranagar, Kolkata",,35.0 L,Kolkata,"Baranagar, Kolkata",875,4000,"875 sft, First floor, Lift, East-North-South open, 8 year building, almost un-used, Marble floor, 24-hrs water supply, 2-wheeler parking, 12' feet wide road, very close to market / Medicine shop / Ramakrishna Mission School / Bus stop. More About This Property A 2 BHK Apartment for sale in Baranagar, Kolkata. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Baranagar's most desired properties. Contact now for more information. This 2 BHK unit is on floor 1. There are 4 floors in this property. The price of this Apartment is...",2.0,22.6380124,88.3958929,https://plus.unsplash.com/premium_photo-1661883982941-50af7720a6ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YmVhdXRpZnVsJTIwaG91c2V8ZW58MHx8MHx8fDA%3D
Pravesh Majestic Residency 2,"3 BHK Flat for sale in Alipore, Kolkata",,65.0 L,Kolkata,"Alipore, Kolkata",1150,5650,"Looking for a good 3 BHK Apartment in Alipore, Kolkata? This property is in one of Kolkata's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 4. This Apartment is available for Rs 65.0 L. This modern unit has a built-up area of 1150 Square feet. There are 3 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Woodlands Service Station, SSKM & IPGMER Hospital, and SSKM & IPGMER Hospital. Established schools, such as Sri Sri Academy, Dav Public School, and Alipore Tiny Tots Private Nursery School are al...",3.0,22.5264928,88.3323692,https://images.pexels.com/photos/186077/pexels-photo-186077.jpeg?auto=compress&cs=tinysrgb&w=1200
Sinjini Apartment,"3 BHK Flat for sale in New Town, Kolkata",,60.0 L,Kolkata,"New Town, Kolkata",1280,4690,"3 BHK Apartment for sale in Kolkata. This property is in New Town, which is a coveted investment location. This tastefully designed 3 BHK unit is among Kolkata's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Kolkata is on floor 2. The total number of floors in this Apartment is 5. The price of the Apartment is Rs 60.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1280 Square feet. It has 2 bathroom and 3 bedrooms. Some of the...",3.0,22.6564623,88.4467245,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpOuCLCCohtdU_Nn8UpoqfefC2-t5bY91jcA&s
"Bijoygarh, Kolkata","2 BHK Flat for sale in Bijoygarh, Kolkata",,20.0 L,Kolkata,"Bijoygarh, Kolkata",610,3280,"2 BHK Apartment for sale in Bijoygarh, Kolkata with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Bijoygarh which is a promising investment destination in Kolkata. This might be your chance to grab the best 2 BHK property for sale in Bijoygarh. The property is on floor 2 and the total number of floors is 2. This 2 BHK Apartment is available at a reasonable price of Rs 20.0 L. Residents also need to pay maintenance charges of Rs 300. It is a very spacious property, spread over 520 Square feet. The built-up area is 610 Square ...",2.0,22.4872704,88.3685589,https://images.unsplash.com/photo-1484101403633-562f891dc89a?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bGl2aW5nJTIwcm9vbXxlbnwwfHwwfHx8MA%3D%3D
"Parnasree, Behala,Kolkata","8 BHK Independent House for sale in Behala, Kolkata",,1.0 Cr,Kolkata,"Parnasree, Behala,Kolkata",2450,4080,"1.2 KM from Taratala metro station,it is south facing independent house. Road thikness minimum 17 feet width. More About This Property Looking for a 8 BHK Independent House for sale in Kolkata? Your search ends here. Buy this 8 BHK property in Kolkata's finest location, Behala. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 1.0 Cr. The built up area of this property is 2450 Square feet. This property is South facing. There are 8 bedrooms and 4 bathroom. Servant room is also present. Other facilities include a...",8.0,22.5093984,88.3065272,https://images.pexels.com/photos/439391/pexels-photo-439391.jpeg?auto=compress&cs=tinysrgb&w=1200
Rishi Pranaya,"3 BHK Flat for sale in New Town, Kolkata",,84.0 L,Kolkata,"New Town, Kolkata",1450,5790,"3 BHK Apartment for sale in Kolkata. This property is in New Town, which is a coveted investment location. This tastefully designed 3 BHK unit is among Kolkata's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Kolkata is on floor 17. The total number of floors in this Apartment is 24. The price of the Apartment is Rs 74.0 L. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1450 Square feet. I...",3.0,22.6564623,88.4467245,https://media.istockphoto.com/id/1213695547/photo/3d-rendering-of-an-elegant-bedroom.webp?a=1&b=1&s=612x612&w=0&k=20&c=jswcSM68zoLPkx-BAfIGp1gedm_Zx4O-DElOKp4LrGo=
Eden Tolly Cascades,"2 BHK Flat for sale in Ramchandrapur, Kolkata",,68.0 L,Kolkata,"Ramchandrapur, Kolkata",1251,5430,"Looking for a good 2 BHK Apartment in Ramchandrapur, Kolkata? This property is in one of Kolkata's most popular locations. This is a no brokerage property. The property is on floor 2. Total number of floors is 4. Maintenance charges of this property is Rs 500. This Apartment is available for Rs 68.0 L. This modern unit has a built-up area of 1251 Square feet. The carpet area of this Apartment is 954 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Medical College Hospital, Saroj Gupta Cancer Center & Research Institute, and Kasturi M...",2.0,22.4592977,88.3202144,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcKKXF6xtJsA_ckbJDxOlhSCYCSLcUH09pKy6N3BWNu8rcAb8o37DISto&s
Unimark Springfield,"3 BHK Flat for sale in New Town, Kolkata",,75.0 L,Kolkata,"New Town, Kolkata",1386,5410,"3 BHK Apartment for sale in New Town, Kolkata with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in New Town which is a promising investment destination in Kolkata. This might be your chance to grab the best 3 BHK property for sale in New Town. The property is on floor 1 and the total number of floors is 12. This 3 BHK Apartment is available at a reasonable price of Rs 75.0 L. Residents also need to pay maintenance charges of Rs 0. The built-up area is 1386 Square feet. It enjoys a strategic location with many reputed and multi...",3.0,22.6564623,88.4467245,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReHmictO0cV3ZSICgtYPl7zOfMfZCR6iEdG8P-KVmU4bfxePk-l25JeJ4&s
Sugam Habitat,"3 BHK Flat for sale in Tiljala, Kolkata",,1.3 Cr,Kolkata,"Tiljala, Kolkata",1600,8130,"Property for sale in Tiljala, Kolkata. This 3 BHK Apartment is located in Kolkata's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 6. The total number of floors in this building is 7. This Apartment's price is Rs 1.3 Cr. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 1600 Square feet. This Apartment is strategically located within close distance of famous healthcare centres such as Ruby General Hospital, Fortis Hospital, and AMRI Hospital Dhakuria. Schools like Modern High School, Delhi Public School...",3.0,22.5326499,88.3698257,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDraQ5G3s2YOBtmzqzFlkkpdwGrflfHHsf2Q&s
Tata Housing Avenida,"3 BHK Flat for sale in New Town, Kolkata",,2.05 Cr,Kolkata,"New Town, Kolkata",1880,10900,"One of the finest property in New Town is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 12. It is a 29 storeyed building. The price of this Apartment is Rs 2.05 Cr. This Apartment is spacious with a built-up area of 1880 Square feet. The carpet area is 1337 Square feet. There are 3 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as ICDS School, I C D S School, and Mahammadpur Shishu Shiksha Kendra(S.S.K). It is also close to good and reputed hospitals like Daradia Pain...",3.0,22.6564623,88.4467245,https://images.unsplash.com/photo-1582268611958-ebfd161ef9cf?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjZ8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Fortune Township,"3 BHK Flat for sale in Barasat, Kolkata",,44.0 L,Kolkata,"Barasat, Kolkata",1522,2890,"This property is in fortune township barasat under gated complex. This is duplex property with private garden and covered garage. Ambience of fortune township is very good, calm & peaceful. You have all the amenities within 2 to 3 kms. It has playground, swimming pool, community hall and all recreation amenities within the campus. More About This Property Looking for a 3 BHK Apartment for sale in Kolkata? Your search ends here. Buy this 3 BHK property in Kolkata's finest location, Barasat. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 4 floors. Th...",3.0,22.7240295,88.4889199,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYjnau-ssXtHUBnLB-kKdlbxxPiL5A8mvNps2yJe56qMnE2CJF1vCF9cg&s
PS Aurus,"3 BHK Flat for sale in Tangra, Kolkata",,3.85 Cr,Kolkata,"Tangra, Kolkata",2150,17910,"3 BHK Apartment for sale in Tangra, Kolkata with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Tangra which is a promising investment destination in Kolkata. This might be your chance to grab the best 3 BHK property for sale in Tangra. The property is on floor 25 and the total number of floors is 36. This 3 BHK Apartment is available at a reasonable price of Rs 3.85 Cr. It is a very spacious property, spread over 1600 Square feet. The built-up area is 2150 Square feet. This property has provision for 4 bathroom. It enjoys a ...",3.0,22.5565107,88.3795946,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPtwY0x1PX5eV7A11pV65nErLDshby19ZlnA&s
Ruchi Active Acres,"3 BHK Flat for sale in Tangra, Kolkata",,1.15 Cr,Kolkata,"Tangra, Kolkata",1500,7670,"Check out this 3 BHK Apartment for sale in Tangra, Kolkata. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Tangra is a promising location in Kolkata and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 15. The total number of floors in this project is 20. The property's price is Rs 1.15 Cr. Residents in this property pay Rs 4000 towards maintenance. This property is a modern-day abode, with 1500 Square feet built-up area. The carpet-area is ...",3.0,22.5565107,88.3795946,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKFumepIzBgyE6MSKdQ96O1EOaN7KlrP7oyw&s
Riddhi N S Tower,"2 BHK Flat for sale in Rajarhat, Kolkata",,45.0 L,Kolkata,"Rajarhat, Kolkata",870,5170,"One of the finest property in Rajarhat is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 4 storeyed building. The price of this Apartment is Rs 45.0 L. Other charges when you move into this property include maintenance, which is Rs 1500. This Apartment is spacious with a built-up area of 870 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Ignited Minds- A Coaching & Mentoring Institue, Lila Devi Memorial Institute, and Salua School...",2.0,22.6231943,88.4437332,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDraQ5G3s2YOBtmzqzFlkkpdwGrflfHHsf2Q&s
