PROP_NAME,PROP_HEADING,AGE,PRICE,CITY,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
"Barrackpore, Kolkata","8 BHK Independent House for sale in Barrackpore, Kolkata",,98.0 L,Kolkata,"Barrackpore, Kolkata",3200,3060,"8 BHK Independent House for sale in Barrackpore, Kolkata. This 8 BHK unit is available in Barrackpore and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Barrackpore. The price of this Independent House is Rs 98.0 L. It is a good, spacious Independent House unit with carpet area of 3100 Square feet. The built-up area is 3200 Square feet. There are 8 bedrooms and 4 bathroom. This property is at a walking distance from Disha Eye Hospital Barrackpore, Galaxy M...",8.0,22.6380124,88.3958929,https://images.unsplash.com/photo-1710883727450-d3a0ab1bbbe3?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NjN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
"Barrackpore, Kolkata","8 BHK Independent House for sale in Barrackpore, Kolkata",,98.0 L,Kolkata,"Barrackpore, Kolkata",3100,3160,"One of the finest property in Barrackpore is now available for sale. This is a 8 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 98.0 L. This Independent House is spacious with a built-up area of 3100 Square feet. The carpet area is 3000 Square feet. There are 8 bedrooms and 4 bathroom. This property ensures you are a quick distance away from the city's best schools such as Ramkrishna Vivekananda Mission Barrackpore, Douglas Memorial Higher Secondary School, and Army Public School. It is also close to good and reputed hospitals like ...",8.0,22.6380124,88.3958929,https://images.pexels.com/photos/1693946/pexels-photo-1693946.jpeg?auto=compress&cs=tinysrgb&w=800
"Watganj, Kolkata","2 BHK Independent House for sale in Watganj, Kolkata",,75.0 L,Kolkata,"Watganj, Kolkata",1080,6940,"Check out this 2 BHK Independent House for sale in Watganj, Kolkata. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Independent House is perfect for a modern-day lifestyle. Watganj is a promising location in Kolkata and this is one of the finest properties in the area. Buy this Independent House for sale now. The property's price is Rs 75.0 L. This property is a modern-day abode, with 1080 Square feet built-up area. The unit has 2 bedrooms and 2 bathroom. Educational institutions are closeby with schools such as Tennis, TC Global - Kolkata (form...",2.0,22.5423271,88.3218648,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmnANnncOBGJj9-VH5E6utNFsFLjkyr7cvQg&s
Camac Court,"4 BHK Flat for sale in Park Street Area, Kolkata",,4.5 Cr,Kolkata,"Park Street Area, Kolkata",2560,17580,"Looking for a 4 BHK Apartment for sale in Kolkata? Your search ends here. Buy this 4 BHK property in Kolkata's finest location, Park Street. This is an owner listed property and there is no brokerage involved. It is on floor 7 out of 9 floors. This Apartment is available at a reasonable price of Rs 4.5 Cr. Maintenance charges in this property is Rs 150. The built up area of this property is 2560 Square feet. There are 4 bedrooms and 5 bathroom. There are a number of reputed schools in the vicinity such as St Xavier Collegiate School, Tennis, and The Bhawanipur Education Society College. Medica...",4.0,52.0855618,-0.7272059,https://images.unsplash.com/photo-1583608205776-bfd35f0d9f83?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTV8fGhvdXNlfGVufDB8fDB8fHww
Larica Township,"3 BHK Flat for sale in Barasat, Kolkata",,20.0 L,Kolkata,"Barasat, Kolkata",1048,1910,"Looking for a good 3 BHK Apartment in Barasat, Kolkata? This property is in one of Kolkata's most popular locations. This is a no brokerage property. The property is on floor 2. Total number of floors is 4. This Apartment is available for Rs 16.0 L. This modern unit has a built-up area of 1048 Square feet. There are 3 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Veerangana Rehab Addiction Treatment & Mental Health Care | No 1 Women's Rehab in Kolkata, Apollo Clinic, and Care and Cure Hospital. Established schools, such as Kingston Educational Institute, ...",3.0,22.7240295,88.4889199,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4MZkvZ7mqsl1Y3zTX6pP4mOusUGiGyeUQXQ&s
Sanhita Township Project,"3 BHK Flat for sale in New Town, Kolkata",,30.8 L,Kolkata,"New Town, Kolkata",914,3370,"3 BHK Apartment for sale in New Town, Kolkata with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in New Town which is a promising investment destination in Kolkata. This might be your chance to grab the best 3 BHK property for sale in New Town. The property is on floor 5 and the total number of floors is 7. This 3 BHK Apartment is available at a reasonable price of Rs 30.8 L. The built-up area is 914 Square feet. This property has provision for 2 bathroom. It enjoys a strategic location with many reputed and multispeciality hos...",3.0,22.6564623,88.4467245,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-WOs_vwCq-Wwqu_a8okQYRzq-IlyjD_71AEXHYkJ49Y_mPR1hTy89LEM&s
Regent Estate,"1 RK Flat for sale in Bijoygarh, Kolkata",,25.0 L,Kolkata,"Bijoygarh, Kolkata",650,3850,"1 RK Apartment for sale in Kolkata. This property is in Bijoygarh, which is a coveted investment location. This tastefully designed 1 RK unit is among Kolkata's best properties. No brokerage to be paid for this property. This 1 RK property is posted directly by Owner. Contact now for more details. This property in Kolkata is on floor 1. The total number of floors in this Apartment is 5. The price of the Apartment is Rs 25.0 L. Monthly maintenance charges come to Rs 1000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 650 Square feet. The...",,22.4872704,88.3685589,https://images.unsplash.com/photo-1611444143036-6678f7f94652?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NDN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
"Diamond Harbour, Kolkata","8 BHK Independent House for sale in Diamond Harbour, Kolkata",,1.5 Cr,Kolkata,"Diamond Harbour, Kolkata",4000,3750,"8 BHK Independent House for sale in Diamond Harbour, South 24 Parganas with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Diamond Harbour which is a promising investment destination in South 24 Parganas. This might be your chance to grab the best 8 BHK property for sale in Diamond Harbour. This 8 BHK Independent House is available at a reasonable price of Rs 1.5 Cr. Residents also need to pay maintenance charges of Rs 0. The built-up area is 4000 Square feet. It enjoys a strategic location with many reputed and multi...",8.0,22.4954675,88.3166809,https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=1600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8aG91c2V8ZW58MHx8MHx8fDA%3D
"Rajendra Prasad Colony, Tollygunge,Kolkata","3 BHK Independent House for sale in Tollygunge, Kolkata",,80.0 L,Kolkata,"Rajendra Prasad Colony, Tollygunge,Kolkata",2041,3920,"Best 3 BHK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Kolkata's top location, Tollygunge. The property price of this unit is Rs 80.0 L. Monthly maintenance costs Rs 0. The built-up area is 2041 Square feet. It is an ideal location for young families with kids, as this property is close to Sri Sri Academy, Dav Public School, and Future Foundation School. Healthcare facility is also close at hand with AMRI Hospital Dhakuria, AMRI Hospital Dhakuria, and Ramakrishna Mission Seva Pratishth...",3.0,22.4874821,88.3430889,https://images.pexels.com/photos/323780/pexels-photo-323780.jpeg?auto=compress&cs=tinysrgb&w=1200
Sanhita Township Project,"1 BHK Flat for sale in New Town, Kolkata",,14.0 L,Kolkata,"New Town, Kolkata",550,2540,"Looking for a 1 BHK Apartment for sale in Kolkata? Your search ends here. Buy this 1 BHK property in Kolkata's finest location, New Town. This is an owner listed property and there is no brokerage involved. It is on floor 4 out of 4 floors. This Apartment is available at a reasonable price of Rs 14.0 L. Maintenance charges in this property is Rs 640. The built up area of this property is 550 Square feet. It is spacious for a family and this property has a carpet area of 450 Square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as Akandakesh...",1.0,22.6564623,88.4467245,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMYopneXydH1Tj-HVI4vtdHy-PKAw_HOIggg&s
