PROP_NAME,PROP_HEADING,AGE,CITY,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATIUTUDE,LONGITUDE,url
Colombia Apartment,"3 BHK Flat for sale in Bandra West, Mumbai",,Mumbai,5.7 Cr,"Bandra West, Mumbai",1260,45240,"Beautiful 3BHK with 3 bathrooms in the heart of Mumbai. Wonderful flat renovated for couples, families in prime area, Bandra West.

24 security, lots of natural sunlight, full of energy. 

Please contact for more details. More About This Property 3 BHK Apartment for sale in Bandra West, Mumbai. This 3 BHK unit is available in Bandra West and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Bandra West. It is on floor 3. The total number of floors is 11. The ...",3.0,19.0583358,72.8302669,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoJQyruZfVTsuufG6zvBhIhg0odTp83yaduA&s
Transcon Tirumala Sky,"3 BHK Flat for sale in Mulund West, Mumbai",,Mumbai,2.85 Cr,"Govardhan Nagar, Mulund West,Mumbai",1510,18870,"Property for sale in Mulund West, Mumbai. This 3 BHK Apartment is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 16. The total number of floors in this building is 39. This Apartment's price is Rs 2.85 Cr. This Apartment is a spacious unit, with carpet area of 981 Square feet and is ideal for families. The built-up area is 1510 Square feet. The property has 3 bedrooms and 3 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Fortis Hospital Mulund, Fortis H...",3.0,19.1832686,72.9459213,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbGTZSL1OiofYCjJvDIL40aAzI8iTWv6erpw&s
Shree Shakun Heights,"3 BHK Flat for sale in Goregaon East, Mumbai",,Mumbai,4.5 Cr,"Goregaon East, Mumbai",2900,15520,"Check out this 3 BHK Apartment for sale in Goregaon East, Mumbai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Goregaon East is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 15. The total number of floors in this project is 15. The property's price is Rs 4.5 Cr. Residents in this property pay Rs 9000 towards maintenance. This property is a modern-day abode, with 2900 Square feet built-up area. The carp...",3.0,19.1692623,72.8552548,https://media.istockphoto.com/id/1990444472/photo/scandinavian-style-cozy-living-room-interior.webp?a=1&b=1&s=612x612&w=0&k=20&c=F5A3eF6myaJpITu5ABnGqNjacGWYskuxeZviU-KpxPE=
"Ghartan Pada, Dahisar East,Mumbai","1 BHK Independent House for sale in Dahisar East, Mumbai",,Mumbai,75.0 L,"Ghartan Pada, Dahisar East,Mumbai",450,16670,"1 BHK Independent House for sale in Mumbai. This property is in Dahisar East, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 75.0 L. Monthly maintenance charges come to Rs 1200. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 450 Square feet. It has 2 bathroom and 1 bedroom. Some of the very well-known and reputed s...",1.0,19.2519433,72.8675191,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTZ8fGxpdmluZyUyMHJvb218ZW58MHx8MHx8fDA%3D
Sarvodaya nagar,"1 BHK Flat for sale in Bhuleshwar, Mumbai",,Mumbai,1.49 Cr,"Gulal Wadi, Bhuleshwar,Mumbai",500,29800,"One of the finest property in Girgaon is now available for sale. This is a 1 BHK Apartment posted directly by owner. Make it yours now. It is on floor 5. It is a 5 storeyed building. The price of this Apartment is Rs 1.49 Cr. Other charges when you move into this property include maintenance, which is Rs 2000. This Apartment is spacious with a built-up area of 500 Square feet. The carpet area is 400 Square feet. There are 1 bedroom and 1 bathroom. Lift facility is also available. This is a gated community. This property is equipped with cctv facility. Health enthusiasts will enjoy the host of ...",1.0,18.9559494,72.8285412,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEvcjWX9CvhOfBspzaLbqRtC1ffyzJPy_vOA&s
Runwal Forest Tower 1 To 4,"1 BHK Flat for sale in Kanjurmarg West, Mumbai",,Mumbai,1.35 Cr,"Kanjurmarg West, Mumbai",650,20690,"1 BHK Apartment for sale in Mumbai. This property is in Kanjurmarg West, which is a coveted investment location. This tastefully designed 1 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. This property in Mumbai is on floor 14. The total number of floors in this Apartment is 38. The price of the Apartment is Rs 1.35 Cr. Monthly maintenance charges come to Rs 6500. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 650 Square ...",1.0,19.1281626,72.9260991,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMYopneXydH1Tj-HVI4vtdHy-PKAw_HOIggg&s
Reliance Tilak Nagar Nisarg Co Op Hsg Soc Ltd,"2 BHK Flat for sale in Chembur, Mumbai",,Mumbai,1.99 Cr,"Tilak Nagar, Chembur,Mumbai",1100,18090,"Looking for a good 2 BHK Apartment in Kurla, Mumbai? This property is in one of Mumbai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 16. This Apartment is available for Rs 2.0 Cr. This modern unit has a built-up area of 1100 Square feet. The carpet area of this Apartment is 730 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Shree IVF Clinic- Dr Jay Mehta, Surana Sethia Hospital, and Mumbai Eye Care - Multi Speciality Hospital. Established schools, such as Little Mil...",2.0,19.0674263,72.8961927,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4MZkvZ7mqsl1Y3zTX6pP4mOusUGiGyeUQXQ&s
"Juhu Scheme, Juhu,Mumbai","5 BHK Flat for sale in Juhu, Mumbai",,Mumbai,13.5 Cr,"Juhu Scheme, Juhu,Mumbai",4000,33750,"Best 5 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 5 BHK property for sale in one of Mumbai's top location, Juhu. It is situated on floor 11. The total number of floors in this Apartment is 14. The property price of this unit is Rs 14.5 Cr. Monthly maintenance costs Rs 20000. The carpet area of this unit is 2675 Square feet. The built-up area is 4000 Square feet. There are 5 bedrooms and 6 bathroom. It is an ideal location for young families with kids, as this property is close to Humming Birds Playgroup Nursery Day Care C...",5.0,19.1025973,72.8253422,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSh2Id5dHqC2rHXkmtupJTtwF--hHi7k73Epg&s
Raja Tirupati Balaji Towers,"1 BHK Flat for sale in Santacruz West, Mumbai",,Mumbai,2.35 Cr,"Tagore Road, Santacruz West,Mumbai",600,39170,"EXCELLENT LOCATION, NO BARGAIN, NO BROKERS, 60K MARKET RATE PER SQ.FT. ONLY CHEQUE . NO COMPARISON WITH OTHER AREAS AND OTHER PROPERTIES More About This Property Property for sale in Santacruz West, Mumbai. This 1 BHK Apartment is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 8. The total number of floors in this building is 10. This Apartment's price is Rs 2.5 Cr. Homebuyers will also need to pay Rs 5175 towards maintenance. This Apartment is a spacious unit, with carpet area of 450 Square feet and is ideal for...",1.0,19.082508,72.8362426,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8MjvnbSc6liQnQkA4CxF3EUwZ9u_tAZ1zFw&s
L&T Crescent Bay T5,"3 BHK Flat for sale in Parel, Mumbai",,Mumbai,6.0 Cr,"Bhoiwada, Parel,Mumbai",2275,26370,"Looking for a good 3 BHK Apartment in Parel, Mumbai? This property is in one of Mumbai's most popular locations. This is a no brokerage property. The property is on floor 15. Total number of floors is 50. Maintenance charges of this property is Rs 20000. This Apartment is available for Rs 6.0 Cr. This modern unit has a built-up area of 2275 Square feet. The carpet area of this Apartment is 1606 Square feet. There are 9 bedrooms and 3 bathroom. It is very close to some of city's best hospitals, such as, Tata Memorial Hospital, King Edward Memorial Hospital, and Global Hospital. (Mumbai). Establ...",3.0,19.006503,72.8447438,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0Q6epPR-WeT-riL_bMbYnzKh5SBnKpHRw7Q&s
DARSHAN HEIGHTS,"1 BHK Flat for sale in Parel, Mumbai",,Mumbai,2.15 Cr,"Dighe Nagar, Parel,Mumbai",650,33080,"1 BHK Apartment for sale in Parel, Mumbai. This 1 BHK unit is available in Parel and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Parel. It is on floor 16. The total number of floors is 19. The price of this Apartment is Rs 2.15 Cr. Residents in this project also pay monthly maintenance charges of Rs 3500. It is a good, spacious Apartment unit with carpet area of 500 Square feet. The built-up area is 650 Square feet. There are 1 bedroom and 2 bathroom. T...",1.0,19.0082224,72.8337786,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTy4aXNB_08CmR2L_5jbJKvCTRkSAUaNstOuA&s
Yogniti Apartment,"5 BHK Flat for sale in Santacruz West, Mumbai",,Mumbai,12.0 Cr,"Hasmukh Nagar, Santacruz West,Mumbai",2920,41090,"A 5 BHK Apartment for sale in Santacruz West, Mumbai. Posted by Owner, No brokerage involved. This beautifully designed 5 BHK unit with all the modern-day comforts is one of Santacruz West's most desired properties. Contact now for more information. This 5 BHK unit is on floor 7. There are 7 floors in this property. The price of this Apartment is Rs 12.0 Cr. Maintenance charges come to Rs 13000. Each unit has a built-up area of 2920 Square feet. The carpet area is 2025 Square feet. There are 5 bedrooms. There is provision for 4 bathroom. This residential property is near Little Explorers Plays...",5.0,19.0853266,72.8353962,https://images.pexels.com/photos/2030037/pexels-photo-2030037.jpeg?auto=compress&cs=tinysrgb&w=800
"Ashok Nagar, Kandivali East,Mumbai","4 BHK Flat for sale in Kandivali East, Mumbai",,Mumbai,5.5 Cr,"Ashok Nagar, Kandivali East,Mumbai",2500,22000,"4 BHK Apartment for sale in Mumbai. This property is in Kandivali East, which is a coveted investment location. This tastefully designed 4 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 4 BHK property is posted directly by Owner. Contact now for more details. This property in Mumbai is on floor 10. The total number of floors in this Apartment is 10. The price of the Apartment is Rs 5.5 Cr. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 2500 Square feet. The carpet area is 2250 Square feet. It ...",4.0,19.1990566,72.8554323,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTMGFidjuKnQ0iSmJouNcdQuo3AC54Ne70CQ&s
Krishna Nagari,"1 BHK Flat for sale in Borivali West, Mumbai",,Mumbai,1.15 Cr,"Shanti Nagar, Borivali West,Mumbai",520,22110,"1 BHK Apartment for sale in Borivali West, Mumbai. This 1 BHK unit is available in Borivali West and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Borivali West. It is on floor 5. The total number of floors is 7. The price of this Apartment is Rs 1.15 Cr. Residents in this project also pay monthly maintenance charges of Rs 1400. It is a good, spacious Apartment unit with carpet area of 390 Square feet. The built-up area is 520 Square feet. There are 1 bed...",1.0,19.2327682,72.842926,https://images.pexels.com/photos/1428348/pexels-photo-1428348.jpeg?auto=compress&cs=tinysrgb&w=800
Vraj Villa,"1 BHK Flat for sale in Ghatkopar West, Mumbai",,Mumbai,1.0 Cr,"Amrut Nagar, Ghatkopar West,Mumbai",540,18520,"A 1 BHK Apartment for sale in Ghatkopar West, Mumbai. Posted by Owner, No brokerage involved. This beautifully designed 1 BHK unit with all the modern-day comforts is one of Ghatkopar West's most desired properties. Contact now for more information. This 1 BHK unit is on floor 3. There are 3 floors in this property. The price of this Apartment is Rs 1.0 Cr. Each unit has a built-up area of 540 Square feet. There are 1 bedroom. There is provision for 1 bathroom. This residential property is near ISBM Indian School of Business Management and Administration, Prathmesh Tutorials And Play Group, an...",1.0,19.1015264,72.9112146,https://images.unsplash.com/photo-1583608205776-bfd35f0d9f83?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTV8fGhvdXNlfGVufDB8fDB8fHww
New Gagan Gari,"1 BHK Flat for sale in Borivali West, Mumbai",,Mumbai,1.1 Cr,"Eksar, Borivali West,Mumbai",550,20000,"1 BHK Apartment for sale in Borivali West, Mumbai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Borivali West which is a promising investment destination in Mumbai. This might be your chance to grab the best 1 BHK property for sale in Borivali West. The property is on floor 13 and the total number of floors is 13. This 1 BHK Apartment is available at a reasonable price of Rs 1.1 Cr. Residents also need to pay maintenance charges of Rs 4000. It is a very spacious property, spread over 365 Square feet. The built-up area i...",1.0,19.2403773,72.8434456,https://images.unsplash.com/photo-1560185007-cde436f6a4d0?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGxpdmluZyUyMHJvb218ZW58MHx8MHx8fDA%3D
Rashmi Star City,"2 BHK Flat for sale in Naigaon East, Mumbai",,Mumbai,37.0 L,"Naigaon East, Mumbai",850,4350,"One of the finest property in Naigaon East is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 5. It is a 7 storeyed building. The price of this Apartment is Rs 37.0 L. Other charges when you move into this property include maintenance, which is Rs 2000. This Apartment is spacious with a built-up area of 850 Square feet. The carpet area is 650 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Little Champ Kindergarten Pre School, Cricket Ground, ...",2.0,19.0137554,72.8462943,https://media.istockphoto.com/id/1344083240/photo/modern-living-room.webp?a=1&b=1&s=612x612&w=0&k=20&c=2XGnOYBA8sH6kdtVwL-H3K9mXLCorltGSqFKztVGNIk=
Grace Iconic Wing A B,"2 BHK Flat for sale in Vile Parle East, Mumbai",,Mumbai,2.5 Cr,"Vile Parle East, Mumbai",800,31250,"2 BHK Apartment for sale in Mumbai. This property is in Vile Parle East, which is a coveted investment location. This tastefully designed 2 BHK unit is among Mumbai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Mumbai is on floor 7. The total number of floors in this Apartment is 12. The price of the Apartment is Rs 2.05 Cr. Monthly maintenance charges come to Rs 12000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 800 Square ...",2.0,19.0962884,72.8483799,https://images.unsplash.com/photo-1484101403633-562f891dc89a?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bGl2aW5nJTIwcm9vbXxlbnwwfHwwfHx8MA%3D%3D
Sai Sastha Crystal,"1 BHK Flat for sale in Bhandup West, Mumbai",,Mumbai,56.0 L,"Tembhipada, Bhandup West,Mumbai",486,11520,"1 BHK Apartment for sale in Bhandup West, Mumbai. This 1 BHK unit is available in Bhandup West and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Bhandup West. It is on floor 3. The total number of floors is 21. The price of this Apartment is Rs 58.0 L. It is a good, spacious Apartment unit with carpet area of 304 Square feet. The built-up area is 486 Square feet. There are 1 bedroom and 1 bathroom. The property is East-facing. This building is equipped wi...",1.0,19.1559195,72.9294202,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPtwY0x1PX5eV7A11pV65nErLDshby19ZlnA&s
Shreepati Tower,"1 RK Flat for sale in Girgaon, Mumbai",,Mumbai,83.0 L,"Mangal Wadi, Girgaon,Mumbai",320,25940,"A 1 RK Apartment for sale in Girgaon, Mumbai. Posted by Owner, No brokerage involved. This beautifully designed 1 RK unit with all the modern-day comforts is one of Girgaon's most desired properties. Contact now for more information. This 1 RK unit is on floor 13. There are 15 floors in this property. The price of this Apartment is Rs 83.0 L. Maintenance charges come to Rs 1800. Each unit has a built-up area of 320 Square feet. There are 1 bedroom. There is provision for 1 bathroom. This residential property is near Chandaramji High School, Paras Piyush Classes [PPC], and Gokool Kids Playgroup...",,18.9527636,72.821107,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMYopneXydH1Tj-HVI4vtdHy-PKAw_HOIggg&s
Nutan Gangotri,"1 BHK Flat for sale in Andheri West, Mumbai",,Mumbai,1.25 Cr,"Azad Nagar, Andheri West,Mumbai",430,29070,"Best 1 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 1 BHK property for sale in one of Mumbai's top location, Andheri West. It is situated on floor 1. The total number of floors in this Apartment is 6. The property price of this unit is Rs 1.25 Cr. Monthly maintenance costs Rs 3500. The carpet area of this unit is 370 Square feet. The built-up area is 430 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to Humming Birds Playgroup Nursery Day Car...",1.0,19.1269102,72.8376484,https://media.istockphoto.com/id/1344083240/photo/modern-living-room.webp?a=1&b=1&s=612x612&w=0&k=20&c=2XGnOYBA8sH6kdtVwL-H3K9mXLCorltGSqFKztVGNIk=
"Dadar West, Mumbai","2 BHK Flat for sale in Dadar West, Mumbai",,Mumbai,3.5 Cr,"Dadar West, Mumbai",850,41180,"2 BHK Apartment for sale in Dadar West, Mumbai. This 2 BHK unit is available in Dadar West and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Dadar West. It is on floor 1. The total number of floors is 5. The price of this Apartment is Rs 3.5 Cr. Residents in this project also pay monthly maintenance charges of Rs 3000. It is a good, spacious Apartment unit with carpet area of 650 Square feet. The built-up area is 850 Square feet. There are 2 bedrooms and ...",2.0,19.0238887,72.8382236,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdsFRof8WcIGyA0O1X8Y4Ncif5WstFcdm74g&s
Shree Ayyappa Darshan,"1 BHK Flat for sale in Mulund East, Mumbai",,Mumbai,85.0 L,"Neelam Nagar, Mulund East,Mumbai",550,15450,"1 BHK Apartment for sale in Mulund East, Mumbai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Mulund East which is a promising investment destination in Mumbai. This might be your chance to grab the best 1 BHK property for sale in Mulund East. The property is on floor 2 and the total number of floors is 7. This 1 BHK Apartment is available at a reasonable price of Rs 85.0 L. Residents also need to pay maintenance charges of Rs 1500. It is a very spacious property, spread over 450 Square feet. The built-up area is 550 Sq...",1.0,19.1703693,72.9588425,https://images.unsplash.com/photo-1649083048381-520a5b3d91ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU4fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
WestBay,"2 BHK Flat for sale in Bandra West, Mumbai",,Mumbai,3.75 Cr,"Bandra West, Mumbai",790,47470,"2 BHK Apartment for sale in Bandra West, Mumbai. This 2 BHK unit is available in Bandra West and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Bandra West. It is on floor 6. The total number of floors is 21. The price of this Apartment is Rs 3.75 Cr. Residents in this project also pay monthly maintenance charges of Rs 10000. It is a good, spacious Apartment unit with carpet area of 608 Square feet. The built-up area is 790 Square feet. There are 2 bedroom...",2.0,19.0583358,72.8302669,https://images.pexels.com/photos/271795/pexels-photo-271795.jpeg?auto=compress&cs=tinysrgb&w=800
Arihant Darshan,"2 BHK Flat for sale in Kandivali East, Mumbai",,Mumbai,1.45 Cr,"Asha Nagar, Kandivali East,Mumbai",870,16670,"Readily Available

It is a fully furnished 2  BHK house naturally well lit  easily accessible to market schools ATMs 
* Next to Jain Temple & near Children's Academy School
* walkable distance from W E Highway & V Mall

Flat Details
* 'U' shape Kitchen Platform
* Fully furnished with Study / Work setup in living room & both the bedrooms
* 3 Wash Basins
* Cross Ventilation in master bedroom
* Fixed Wardrobes, Dressing Table, Storage, TV unit, glass Dining Table, AC,Electronic Appliances More About This Property Looking for a 2 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 2 ...",2.0,19.2117163,72.8646991,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzqD9EMkCUhuh4dqPwCOEw_l9Q1OWipGpv2A&s
"Nahur East, Bhandup East,Mumbai","1 BHK Flat for sale in Bhandup East, Mumbai",,Mumbai,82.0 L,"Nahur East, Bhandup East,Mumbai",490,16730,"Best 1 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 1 BHK property for sale in one of Mumbai's top location, Bhandup East. It is situated on floor 0. The total number of floors in this Apartment is 4. The property price of this unit is Rs 85.0 L. Monthly maintenance costs Rs 1800. The carpet area of this unit is 400 Square feet. The built-up area is 490 Square feet. There are 1 bedroom and 1 bathroom. It is an ideal location for young families with kids, as this property is close to English Language classes, Podar Jumbo Kid...",1.0,19.1520274,72.939326,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaYVpaZGn8odKSp7EX8d9Tb-vMbb5lkKp5AA&s
 Emporio Apartments,"1 BHK Flat for sale in Vile Parle West, Mumbai",,Mumbai,1.6 Cr,"Kamala Nagar, Vile Parle West,Mumbai",500,32000,"PERFECT FOR FAMILY OF 4 MEMBER. FLAT IS 1 BHK &  CONVERTED TO 
1.5 BHK. EAST WEST ENTRY. EXCELLENT AIR CIRCULATION.
THE HOUSE IS FULLY FURNISHED WITH PERSONAL WARDROBES, MODULAR KITCHEN, 1 TV, 1 WASHING MACHINE, 1 FRIDGE, 3 AC, 1 GAS STOVE, 1BATHROOM & 1WASHROOM SEPARATE, JIO WI-FI INBUILT. 2 LIFTS WITH GRAND LOBBY 
WITH RECEPTION, KIDS PLAY AREA, BIG PODIUM, 24 HOUR GATED SECURITY, INTERCOM. 
NEARBY : 5 MINUTES WALK TO MITHIBHAI & NIMBUS COLLEGE & CNMS SCHOOL, 2 MINUTES WALK TO ALFA WHICH IS VERY FAMOUS FOR SHOPPING , 10 MINUTES WALK TO RAILWAY STATION ,& ALSO NEAR BY PLACE LIKE TEMPLES, SCHO...",1.0,19.1087663,72.8286398,https://media.istockphoto.com/id/2156751937/photo/modern-3d-render-of-a-contemporary-living-room-interior-design.webp?a=1&b=1&s=612x612&w=0&k=20&c=darIlhtomJuqFxDdqqUTKpORFNYACo7WHfdRhqj8Rxw=
Satre Indus,"2 BHK Flat for sale in Ghatkopar West, Mumbai",,Mumbai,1.25 Cr,"Barve Nagar, Ghatkopar West,Mumbai",741,16870,"One of the finest property in Barve Nagar is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 4. It is a 10 storeyed building. The price of this Apartment is Rs 1.25 Cr. Other charges when you move into this property include maintenance, which is Rs 3249. This Apartment is spacious with a built-up area of 741 Square feet. The carpet area is 493 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as All India Education Society High School, Nahar Intern...",2.0,19.0952831,72.9001776,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg3_k8YY-l3S3dFYyleEkcRVrg0hqBLMX7vA&s
BankarCo-operativeSociety,"1 BHK Flat for sale in Mulund East, Mumbai",,Mumbai,1.15 Cr,"Hanuman Chowk, Mulund East,Mumbai",540,21300,"Property for sale in Mulund East, Mumbai. This 1 BHK Apartment is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 6. This Apartment's price is Rs 1.05 Cr. This Apartment is a spacious unit, with carpet area of 418 Square feet and is ideal for families. The built-up area is 540 Square feet. The property has 1 bedroom and 2 bathroom. This unit enjoys a good view and is a West facing property. This residential building in Mulund East, Mumbai has lift facility. Regular...",1.0,19.1695362,72.9591304,https://images.unsplash.com/photo-1621070659899-40b6b6f6731d?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU1fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Centrio,"2 BHK Flat for sale in Govandi, Mumbai",,Mumbai,1.8 Cr,"Deonar, Govandi,Mumbai",975,18460,"Property for sale in Govandi, Mumbai. This 2 BHK Apartment is located in Mumbai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 5. The total number of floors in this building is 22. This Apartment's price is Rs 1.8 Cr. Homebuyers will also need to pay Rs 0 towards maintenance. This Apartment is a spacious unit, with carpet area of 875 Square feet and is ideal for families. The built-up area is 975 Square feet. The property has 2 bedrooms and 2 bathroom. This unit enjoys a good view and is a East facing property. This residential bu...",2.0,19.0440511,72.9140561,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MjB8fGhvdXNlfGVufDB8fDB8fHww
Ozone The Gateway,"3 BHK Flat for sale in Andheri West, Mumbai",,Mumbai,3.5 Cr,"Azad Nagar, Andheri West,Mumbai",1800,19440,"Looking for a 3 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 3 BHK property in Mumbai's finest location, Andheri West. This is an owner listed property and there is no brokerage involved. It is on floor 2 out of 14 floors. This Apartment is available at a reasonable price of Rs 3.5 Cr. The built up area of this property is 1800 Square feet. There are 3 bedrooms and 3 bathroom. There are a number of reputed schools in the vicinity such as German Spanish French Korean Classes in Mumbai | Cambridge Institute | Foreign Language Institute in Mumbai, Benchmarx Academy, and St.Bl...",3.0,19.1269102,72.8376484,https://images.unsplash.com/photo-1598928506311-c55ded91a20c?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Nnx8bGl2aW5nJTIwcm9vbXxlbnwwfHwwfHx8MA%3D%3D
"Tata Nagar, Govandi,Mumbai","1 BHK Flat for sale in Govandi, Mumbai",,Mumbai,1.15 Cr,"Tata Nagar, Govandi,Mumbai",560,20540,"Check out this 1 BHK Apartment for sale in Govandi, Mumbai. This property is posted by owner and thus there is no need to pay any broker amount. This 1 BHK Apartment is perfect for a modern-day lifestyle. Govandi is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 7. The total number of floors in this project is 7. The property's price is Rs 1.15 Cr. Residents in this property pay Rs 2340 towards maintenance. This property is a modern-day abode, with 560 Square feet built-up area. The unit has 1 bedroom...",1.0,19.0484079,72.917252,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNKpNBASdiLZdhZBo7TnqnUHUXaIm6xFNTkwaZZVGwMXfDdsZbQX9XxgQ&s
K Raheja Eastate,"3 BHK Flat for sale in Borivali East, Mumbai",,Mumbai,2.99 Cr,"Kulupwadi, Borivali East,Mumbai",1300,23000,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Mumbai's top location, Borivali East. It is situated on floor 1. The total number of floors in this Apartment is 16. The property price of this unit is Rs 3.2 Cr. Monthly maintenance costs Rs 6500. The carpet area of this unit is 941 Square feet. The built-up area is 1300 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to Childrens Academy Group Of Schools, S...",3.0,19.230606,72.8633841,https://images.unsplash.com/photo-1513584684374-8bab748fbf90?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8M3x8bW9kZXJuJTIwaG91c2V8ZW58MHx8MHx8fDA%3D
