PROP_NAME,PROP_HEADING,AGE,CITY,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATIUTUDE,LONGITUDE,url
Sethia Sea View,"2 BHK Flat for sale in Goregaon West, Mumbai",,Mumbai,1.5 Cr,"Motilal Nagar II, Goregaon West,Mumbai",830,18070,"Check out this 2 BHK Apartment for sale in Goregaon West, Mumbai. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Goregaon West is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 16. The property's price is Rs 1.5 Cr. Residents in this property pay Rs 50000 towards maintenance. This property is a modern-day abode, with 830 Square feet built-up area. The carpe...",2.0,19.1559606,72.8283084,https://images.unsplash.com/photo-1649083048381-520a5b3d91ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU4fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Sonal Heights,"1 BHK Flat for sale in Kurla East, Mumbai",,Mumbai,95.0 L,"Nehru Nagar, Kurla East,Mumbai",600,15830,"One of the finest property in Kurla East is now available for sale. This is a 1 BHK Apartment posted directly by owner. Make it yours now. It is on floor 3. It is a 54 storeyed building. The price of this Apartment is Rs 95.0 L. This Apartment is spacious with a built-up area of 600 Square feet. This property ensures you are a quick distance away from the city's best schools such as St. Anthony's Girls' High School, American School of Bombay, and EuroKids. It is also close to good and reputed hospitals like Zen Multi Speciality Hospital in Mumbai, Surana Sethia Hospital, and The Mumbai Heart C...",1.0,19.061,72.881,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwdhUHf0ReCSvejBYku3E4epGSgIM63UXVrg&s
Sonal Heights,"1 BHK Flat for sale in Kurla East, Mumbai",,Mumbai,95.0 L,"Nehru Nagar, Kurla East,Mumbai",600,15830,"Check out this 1 BHK Apartment for sale in Kurla East, Mumbai. This property is posted by owner and thus there is no need to pay any broker amount. This 1 BHK Apartment is perfect for a modern-day lifestyle. Kurla East is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 7. The total number of floors in this project is 54. The property's price is Rs 95.0 L. This property is a modern-day abode, with 600 Square feet built-up area. Educational institutions are closeby with schools such as St. Anthony's Girl...",1.0,19.061,72.881,https://media.istockphoto.com/id/1184204517/photo/modern-scandinavian-living-room-interior-3d-render.webp?a=1&b=1&s=612x612&w=0&k=20&c=CZzR0EteHu-3vbyM0QFffaI0i-Db_gSNl1ltQW8kxxo=
Mittal Ameeta Apartments,"3 BHK Flat for sale in Cuffe Parade, Mumbai",,Mumbai,6.5 Cr,"Cuffe Parade, Mumbai",1250,52000,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Mumbai's top location, Cuffe Parade. It is situated on floor 2. The total number of floors in this Apartment is 13. The property price of this unit is Rs 6.5 Cr. Monthly maintenance costs Rs 6000. The carpet area of this unit is 1058 Square feet. The built-up area is 1250 Square feet. There are 3 bedrooms and 3 bathroom. It is an ideal location for young families with kids, as this property is close to G.D. Somani School, G. D. Somani Memo...",3.0,18.9157866,72.8189036,https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=1600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8aG91c2V8ZW58MHx8MHx8fDA%3D
DLH Orchid,"2 BHK Flat for sale in Andheri West, Mumbai",,Mumbai,2.6 Cr,"Lokhandwala Complex, Andheri West,Mumbai",1200,21670,"Looking for a 2 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 2 BHK property in Mumbai's finest location, Lokhandwala Complex. This is an owner listed property and there is no brokerage involved. It is on floor 5 out of 22 floors. This Apartment is available at a reasonable price of Rs 2.6 Cr. Maintenance charges in this property is Rs 0. The built up area of this property is 1200 Square feet. There are a number of reputed schools in the vicinity such as Kiddie Cove International Pre-school & Early Learning Center, Alpha Kids, and The Tree House. Medical facility is also cl...",2.0,19.131871,72.8256358,https://images.unsplash.com/photo-1722421492323-eaf9c401befe?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTM5fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Ashish Swapnalok Towers ,"2 BHK Flat for sale in Malad East, Mumbai",,Mumbai,1.75 Cr,"Malad East, Mumbai",920,19020,"For Sale - A Beautiful AMERICAN concept build up, Apartment, SEMI FURNISHED. EAST FILM CITY HILL FACING. It is a Fresh, New Apartment. 2 BHK - 2 BEDROOMS + 2 BATHROOMS + AMERICAN CONCEPT MODULAR BIG SIZE KITCHEN + WASHING AND DRYING AREA + COVERED PARKING-STILT ,BIG SIZE . Club House - Swimming Pool, Gym, badminton Court, yoga, dance,  Kids Playing Ground, Swings.24 hours Clean Fresh water supply and Electricity.I am the Owner, Price 2.10 cr. Very Comfortable stay and sceneric view.  More About This Property Check out this 2 BHK Apartment for sale in Malad East, Mumbai. This property is posted...",2.0,19.1860219,72.8563181,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTem4jAshPAqwp9TFZHOe5Ur3KGxxXWB8-f-A&s
"Aarey Colony, Goregaon East,Mumbai","2 BHK Flat for sale in Goregaon East, Mumbai",,Mumbai,1.75 Cr,"Aarey Colony, Goregaon East,Mumbai",920,19020,"For Sale- A BEAUTIFUL FRESH AS NEW American Concept Build ,Never Used, CLEAN TITLE PROPERTY-East Facing, Film City Hills Facing, Apartment in Goregaon , Malad East , Mumbai. 2 BHK -2 BEDROOMS 2 BATHROOMS BIG SIZE MODULAR AMERICAN CONCEPT KITCHEN WASHING AND DRYING AREA COVERED STILT PARKING BIG SIZE CLUB HOUSE Swimming Pool, Sona Bath, Gym, Yoga, Badminton Court, Dancing, Kids Playing Ground, Swings. 24 hours high pressure water supply and 24 hours Electricity. Price 2 Cr. Very comfortable staying here and lovely Ambiance. More About This Property One of the finest property in Goregaon East is...",2.0,19.1695389,72.8587902,https://images.pexels.com/photos/186077/pexels-photo-186077.jpeg?auto=compress&cs=tinysrgb&w=1200
Ashish Swapnalok Towers,"2 BHK Flat for sale in Goregaon East, Mumbai",,Mumbai,1.74 Cr,"Gokuldham, Goregaon East,Mumbai",920,18910,"Looking for a good 2 BHK Apartment in Goregaon East, Mumbai? This property is in one of Mumbai's most popular locations. This is a no brokerage property. The property is on floor 5. Total number of floors is 20. Maintenance charges of this property is Rs 6305. This Apartment is available for Rs 1.74 Cr. This modern unit has a built-up area of 920 Square feet. The carpet area of this Apartment is 700 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Bombay Hospital & Medical Research Centre, RichFeel Trichology Center, and Feather Beau...",2.0,19.1755909,72.8676526,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8MjvnbSc6liQnQkA4CxF3EUwZ9u_tAZ1zFw&s
"Natraj ,Versova, Andheri West,Mumbai","2 BHK Flat for sale in Andheri West, Mumbai",,Mumbai,1.5 Cr,"Natraj ,Versova, Andheri West,Mumbai",650,23080,"Looking for a 2 BHK Apartment for sale in Mumbai? Your search ends here. Buy this 2 BHK property in Mumbai's finest location, Andheri West. This is an owner listed property and there is no brokerage involved. It is on floor 5 out of 7 floors. This Apartment is available at a reasonable price of Rs 1.5 Cr. Maintenance charges in this property is Rs 3000. The built up area of this property is 650 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Grace Acting Academy - School of Real Based Acting, posha nakwa school, and Pasha Novak Sc...",2.0,19.128141,72.8203749,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyiVZsxHWJgiUG5BXh2ehDmMTVjP-AtqC4ig&s
Rajesh Raj Legacy 1,"2 BHK Flat for sale in Vikhroli West, Mumbai",,Mumbai,1.9 Cr,"Chandan Nagar, Vikhroli West,Mumbai",770,24680,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Mumbai's top location, Vikhroli West. It is situated on floor 9. The total number of floors in this Apartment is 19. The property price of this unit is Rs 1.9 Cr. The built-up area is 770 Square feet. There are 2 bedrooms and 2 bathroom. This property in Vikhroli West, Mumbai has lift facility as well. It is a safe premise with cctv facility. Other amenities include provisions for Gym, Garden, Sports Facility, Swimming Pool, Intercom, Club...",2.0,19.1217086,72.923203,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTZ8fGxpdmluZyUyMHJvb218ZW58MHx8MHx8fDA%3D
