PROP_NAME,PROP_HEADING,AGE,CITY,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
Kanopy Marigold,"3 BHK Flat for sale in Kompally, Hyderabad",,Hyderabad,1.05 Cr,"Kompally, Hyderabad",1685,6230,"Check out this 3 BHK Apartment for sale in Kompally, Hyderabad. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Kompally is a promising location in Hyderabad and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 10. The total number of floors in this project is 15. The property's price is Rs 1.0 Cr. This property is a modern-day abode, with 1685 Square feet built-up area. The carpet-area is 1136 Square feet. It is a East-facing property. The u...",3,17.5354867,78.5096981,https://images.unsplash.com/photo-1580041065738-e72023775cdc?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU0fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
"Serilingampally, Hyderabad","5 BHK Villa for sale in Serilingampally, Hyderabad",,Hyderabad,5.5 Cr,"Serilingampally, Hyderabad",3500,15710,"5 BHK Villa for sale in Hyderabad. This property is in Serilingampally, which is a coveted investment location. This tastefully designed 5 BHK unit is among Hyderabad's best properties. No brokerage to be paid for this property. This 5 BHK property is posted directly by Owner. Contact now for more details. The price of the Villa is Rs 5.5 Cr. Monthly maintenance charges come to Rs 10000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 3500 Square feet. It has 6 bathroom and 5 bedrooms. Some of the very well-known and reputed speciality ho...",5,17.4656574,78.3406724,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUMEKlzQimuIoPkRM6xG9YQu812i_zhbrX6Q&s
Maram Seshaiah Rathnam Heights,"2 BHK Flat for sale in Vanasthalipuram, Hyderabad",,Hyderabad,67.0 L,"Indira Nagar, Vanasthalipuram,Hyderabad",1100,6090,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Hyderabad's top location, Vanasthalipuram. It is situated on floor 3. The total number of floors in this Apartment is 5. The property price of this unit is Rs 67.0 L. Monthly maintenance costs Rs 1500. The carpet area of this unit is 1100 Square feet. The built-up area is 1100 Square feet. There are 2 bedrooms and 2 bathroom. This property enjoys a good view and is West-facing. This property in Vanasthalipuram, Hyderabad has lift facility ...",2,17.3305535,78.5764951,https://media.istockphoto.com/id/1184204517/photo/modern-scandinavian-living-room-interior-3d-render.webp?a=1&b=1&s=612x612&w=0&k=20&c=CZzR0EteHu-3vbyM0QFffaI0i-Db_gSNl1ltQW8kxxo=
Prajwalaa Temple Tree,"2 BHK Flat for sale in Beeramguda, Hyderabad",,Hyderabad,55.0 L,"Beeramguda, Hyderabad",1005,5470,"2 BHK Apartment for sale in Ramachandra Puram, Hyderabad. This 2 BHK unit is available in Ramachandra Puram and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Ramachandra Puram. It is on floor 4. The total number of floors is 5. The price of this Apartment is Rs 55.0 L. Residents in this project also pay monthly maintenance charges of Rs 2000. The built-up area is 1005 Square feet. There are 4 bedrooms and 2 bathroom. This property is at a walking distance...",2,17.5091218,78.3004614,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPtwY0x1PX5eV7A11pV65nErLDshby19ZlnA&s
"Bolarum, Hyderabad","5 BHK Independent House for sale in Bolarum, Hyderabad",,Hyderabad,5.0 Cr,"Bolarum, Hyderabad",5000,10000,"One of the finest property in Alwal is now available for sale. This is a 5 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 5.0 Cr. Other charges when you move into this property include maintenance, which is Rs 0. This Independent House is spacious with a built-up area of 5000 Square feet. There are 5 bedrooms and 0 bathroom. This property ensures you are a quick distance away from the city's best schools such as St Anns School, Govt School, and St. Tnomas SPG School. It is also close to good and reputed hospitals like Military Hospi...",5,17.529823,78.5155062,https://images.unsplash.com/photo-1621070659899-40b6b6f6731d?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU1fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Medchal 2,"2 BHK Flat for sale in Medchal, Hyderabad",,Hyderabad,49.0 L,"Medchal, Hyderabad",1300,3770,"Looking for a 2 BHK Apartment for sale in Hyderabad? Your search ends here. Buy this 2 BHK property in Hyderabad's finest location, Medchal. This is an owner listed property and there is no brokerage involved. It is on floor 2 out of 5 floors. This Apartment is available at a reasonable price of Rs 49.0 L. The built up area of this property is 1300 Square feet. This property is East facing. There are 2 bedrooms and 2 bathroom. Servant room is also present. The Apartment has lift facility. It is a thoroughly safe premise with cctv facility. Other facilities include amenities like Garden, Clubho...",2,17.4930644,78.3914079,https://plus.unsplash.com/premium_photo-1661883982941-50af7720a6ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YmVhdXRpZnVsJTIwaG91c2V8ZW58MHx8MHx8fDA%3D
Apurupa Urban,"3 BHK Flat for sale in Kothaguda, Hyderabad",,Hyderabad,1.75 Cr,"Kothaguda, Hyderabad",2355,7430,"Property for sale in Kothaguda, Hyderabad. This 3 BHK Apartment is located in Hyderabad's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 5. This Apartment's price is Rs 1.75 Cr. Homebuyers will also need to pay Rs 3000 towards maintenance. The built-up area is 2355 Square feet. The property has 3 bedrooms and 3 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Apollo Cradle, Rainbow Childrens Hospital and BirthRight by Rainbo...",3,17.458705,78.3638803,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8MjvnbSc6liQnQkA4CxF3EUwZ9u_tAZ1zFw&s
Accurate Wind Chimes,"3 BHK Flat for sale in Narsingi, Hyderabad",,Hyderabad,1.35 Cr,"Narsingi, Hyderabad",1600,8440,"3 BHK Apartment for sale in Narsingi, Hyderabad. This 3 BHK unit is available in Narsingi and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Narsingi. It is on floor 0. The total number of floors is 13. The price of this Apartment is Rs 1.35 Cr. Residents in this project also pay monthly maintenance charges of Rs 5000. The built-up area is 1600 Square feet. There are 6 bedrooms and 3 bathroom. The property is West-facing. This property is at a walking dist...",3,17.3996471,78.351242,https://media.istockphoto.com/id/1213695547/photo/3d-rendering-of-an-elegant-bedroom.webp?a=1&b=1&s=612x612&w=0&k=20&c=jswcSM68zoLPkx-BAfIGp1gedm_Zx4O-DElOKp4LrGo=
"Venkateswara Colony, Bolarum,Hyderabad","2 BHK Flat for sale in Bolarum, Hyderabad",,Hyderabad,68.0 L,"Venkateswara Colony, Bolarum,Hyderabad",1470,4630,"2 BHK Apartment for sale in Bolarum, Hyderabad. This 2 BHK unit is available in Bolarum and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Bolarum. It is on floor 1. The total number of floors is 4. The price of this Apartment is Rs 60.0 L. Residents in this project also pay monthly maintenance charges of Rs 1500. The built-up area is 1470 Square feet. There are 2 bedrooms and 2 bathroom. This property is at a walking distance from Gandhi Hospital, Prasham...",2,17.507399,78.482223,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8MjvnbSc6liQnQkA4CxF3EUwZ9u_tAZ1zFw&s
Greenmetro Tulasi Bhagyanagar,"2 BHK Flat for sale in Dundigal, Hyderabad",,Hyderabad,42.0 L,"Dundigal, Hyderabad",990,4240,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Hyderabad's top location, Dundigal. It is situated on floor 5. The total number of floors in this Apartment is 5. The property price of this unit is Rs 42.0 L. Monthly maintenance costs Rs 0. The carpet area of this unit is 800 Square feet. The built-up area is 990 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to ZPHS, DDL, Sunrise Model High School, and Sr...",2,17.5062095,78.5051076,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRA-Fj_3qPhtmqo4iJHkXkIZ5B2pBcyIYRyAw&s
Shree Anurag Sri Sai Anurag New Town Phase 2,"2 BHK Flat for sale in Thumukunta, Hyderabad",,Hyderabad,40.0 L,"Thumukunta, Hyderabad",843,4740,"Check out this 2 BHK Apartment for sale in Devaryamjal, Hyderabad. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Devaryamjal is a promising location in Hyderabad and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 5. Residents in this property pay Rs 1000 towards maintenance. This property is a modern-day abode, with 843 Square feet built-up area. The carpet-area is 674 Square feet. The unit...",2,17.5672245,78.5543587,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnROB3ZtRtJm_4XVzKMFoLov6SBm0cqx785Q&s
"Pragathi Nagar, Hyderabad","1 BHK Independent House for sale in Pragathi Nagar, Hyderabad",,Hyderabad,2.0 Cr,"Pragathi Nagar, Hyderabad",500,40000,"Best 1 BHK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 1 BHK property for sale in one of Hyderabad's top location, Pragathi Nagar. The property price of this unit is Rs 2.0 Cr. Monthly maintenance costs Rs 0. The carpet area of this unit is 400 Square feet. The built-up area is 500 Square feet. There are 1 bedroom and 1 bathroom. It is an ideal location for young families with kids, as this property is close to Iris Florets Pre School, Disha Foundation, and Time Kids Pre School. Healthcare facility is also close at han...",1,17.5200154,78.3968876,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPtwY0x1PX5eV7A11pV65nErLDshby19ZlnA&s
"Maruthi Nagar, Kothapet,Hyderabad","8 BHK Independent House for sale in Kothapet, Hyderabad",,Hyderabad,2.5 Cr,"Maruthi Nagar, Kothapet,Hyderabad",4050,6170,"150 Sqyards East facing G+2 property with 30 feet wide East road.1) 4BHK Semi furnished duplex house (ground + first floor) , contains 3 balcony and 4 bathroom 2) Duplex is furnished with wide study table + cupboards + dressing table 3) Apart from the duplex house , on 2nd floor , there are two 1BHK  house with balcony.4) All doors in duplex (ground + first floor) are of teak wood .And main door of two 1BHK portion are of teak wood. Total 10 teak wood doors.5) Three balcony covered with metal grill for safety.tube lights,  fans , geysers in every room6)5 min walk To Park,Gym,Yoga centre,ashtal...",8,17.3771093,78.5411342,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPqFi7EUuUAdPJU6LwxL0MFerMNGOl7q3wfA&s
Vertex Panache,"3 BHK Flat for sale in Kokapet, Hyderabad",,Hyderabad,1.65 Cr,"Kokapet, Hyderabad",1680,9820,"Looking for a good 3 BHK Apartment in Kokapet, Hyderabad? This property is in one of Hyderabad's most popular locations. This is a no brokerage property. The property is on floor 12. Total number of floors is 12. This Apartment is available for Rs 1.65 Cr. This modern unit has a built-up area of 1680 Square feet. There are 3 bedrooms and 3 bathroom. It is very close to some of city's best hospitals, such as, Continental Hospitals, Sai Clinic, and ANDANI HOSPITAL FOR WOMEN & CHILDREN. Established schools, such as Little Angels High School, Phoenix Greens International School - Kokapet, and Phoe...",3,17.4008497,78.3384549,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSw2iXIZVFA_AzYlVlNBeexN_3Vow31IMrX0ZBHrKYQhbIHR7ENHozv66w&s
"Thumukunta, Hyderabad","4 BHK Villa for sale in Thumukunta, Hyderabad",,Hyderabad,1.24 Cr,"Thumukunta, Hyderabad",2485,5000,"A 4 BHK Villa for sale in Thumukunta, Hyderabad. Posted by Owner, No brokerage involved. This beautifully designed 4 BHK unit with all the modern-day comforts is one of Thumukunta's most desired properties. Contact now for more information. The price of this Villa is Rs 1.24 Cr. Each unit has a built-up area of 2485 Square feet. The carpet area is 2480 Square feet. There are 4 bedrooms. There is provision for 4 bathroom. This residential property is near Sri Sathya Sudha High School, Pradeep Mathematics Home Tuitions, and Cuemath Learning Centre. It is also close to SVS Homeopathic Clinic (Sri...",4,17.5672245,78.5543587,https://images.unsplash.com/photo-1628744876525-f2678d8af47f?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTAwfHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
