PROP-NAME,PROP_HEADING,CITY,AGE,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
Landster Water Front,"3 BHK Independent House for sale in Muttukadu, Chennai",Chennai,,93.0 L,"Muttukadu, Chennai",2295,4050,"Check out this 3 BHK Independent House for sale in Muttukadu, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Independent House is perfect for a modern-day lifestyle. Muttukadu is a promising location in Chennai and this is one of the finest properties in the area. Buy this Independent House for sale now. The property's price is Rs 93.0 L. Residents in this property pay Rs 200 towards maintenance. This property is a modern-day abode, with 2295 Square feet built-up area. The unit has 3 bedrooms and 4 bathroom. Educational institutions are...",3.0,12.8059018,80.2422023,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaYVpaZGn8odKSp7EX8d9Tb-vMbb5lkKp5AA&s
"Ponneri, Chennai","1 BHK Independent House for sale in Ponneri, Chennai",Chennai,,60.0 L,"Ponneri, Chennai",1415,4240,"1 BHK Independent House for sale in Chennai. This property is in Ponneri, which is a coveted investment location. This tastefully designed 1 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 60.0 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1415 Square feet. It has 1 bathroom and 1 bedroom",1.0,13.2488282,80.3272478,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQksc9rYyKuD5_Re-euJwt3FBu27Rd30V8MOw&s
"Tiruninravur ,Nemilicheri, Chennai","1 RK Flat for sale in Nemilicheri, Chennai",Chennai,,18.0 L,"Tiruninravur ,Nemilicheri, Chennai",512,3520,"Looking for a good 1 RK Apartment in Nemilicheri, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 1. Total number of floors is 2. This Apartment is available for Rs 18.0 L. This modern unit has a built-up area of 512 Square feet. The carpet area of this Apartment is 278 Square feet. There are 1 bedroom and 1 bathroom. It is very close to some of city's best hospitals, such as, Grace Hospital, M.S Hospital, and Govt. Primary Health Centre. Established schools, such as Amutha Matriculation School, Jaya Matriculation ...",,13.123994,80.0297436,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpOuCLCCohtdU_Nn8UpoqfefC2-t5bY91jcA&s
"Madhavaram Milk Colony, Chennai","2 BHK Independent House for sale in Madhavaram Milk Colony, Chennai",Chennai,,95.0 L,"Madhavaram Milk Colony, Chennai",1800,5280,"Best 2 BHK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Chennai's top location, Madhavaram Milk Colony. The property price of this unit is Rs 95.0 L. Monthly maintenance costs Rs 0. The carpet area of this unit is 1485 Square feet. The built-up area is 1800 Square feet. There are 2 bedrooms and 2 bathroom. It is an ideal location for young families with kids, as this property is close to Government School, Saint Thomas Higher Secondary School, and Madhavaram Government High School. Heal...",2.0,13.1484528,80.2422387,https://plus.unsplash.com/premium_photo-1661883982941-50af7720a6ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MXx8YmVhdXRpZnVsJTIwaG91c2V8ZW58MHx8MHx8fDA%3D
Amarprakash Temple Waves,"1.5 BHK Flat for sale in Kanchipuram, Chennai",Chennai,,25.0 L,"Kanchipuram, Chennai",606,4130,"Best 1.5 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 1.5 BHK property for sale in one of Chennai's top location, Thrivulluvar Nagar. It is situated on floor 7. The total number of floors in this Apartment is 7. The property price of this unit is Rs 25.0 L. Monthly maintenance costs Rs 1800. The built-up area is 606 Square feet",5.0,12.8483107,79.705073,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHww
"Indira Nagar, Adyar,Chennai","10 BHK Independent House for sale in Adyar, Chennai",Chennai,,1.7 Cr,"Indira Nagar, Adyar,Chennai",1400,12140,"10 BHK Independent House for sale in Chennai. This property is in Adyar, which is a coveted investment location. This tastefully designed 10 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 10 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 1.7 Cr. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1400 Square feet. It has 9 bathroom and 10 bedrooms. Some of the very well-known and reputed speciality hospitals like FORTIS MALAR HOSPIT...",10.0,12.9960623,80.249716,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8bW9kZXJuJTIwaG91c2V8ZW58MHx8MHx8fDA%3D
"MGR Nagar, Velachery,Chennai","2 BHK Independent House for sale in Velachery, Chennai",Chennai,,1.5 Cr,"MGR Nagar, Velachery,Chennai",1200,12500,"2 BHK Independent House for sale in Velachery, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Velachery which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Velachery. This 2 BHK Independent House is available at a reasonable price of Rs 1.5 Cr. Residents also need to pay maintenance charges of Rs 0. The built-up area is 1200 Square feet. This property has provision for 2 bathroom. It enjoys a strategic location with many reputed and...",2.0,12.9802012,80.2138442,https://media.istockphoto.com/id/2157389757/photo/modern-stylish-interior-of-the-living-room-a-room-with-a-brown-modular-sofa-tv-panel-and.webp?a=1&b=1&s=612x612&w=0&k=20&c=b3x9nuv0JxdB8OI-TjMRepybOJLMjvRC1_PYwlnF4G8=
Grand celestia,"4 BHK Flat for sale in Kelambakkam, Chennai",Chennai,,91.0 L,"Kelambakkam, Chennai",2100,4330,"4 BHK Apartment for sale in Chennai. This property is in Kelambakkam, which is a coveted investment location. This tastefully designed 4 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 4 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 2. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 91.0 L. Monthly maintenance charges come to Rs 1200. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 2100 Square fee...",4.0,12.7974332,80.2232222,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7R0g7vak7sZWKE5sAPTMMaCGPMyr12pD-aw&s
"Avadi, Chennai","5+ BHK Independent House for sale in Avadi, Chennai",Chennai,,1.1 Cr,"Avadi, Chennai",1135,9690,"Looking for a 5+ BHK Independent House for sale in Chennai? Your search ends here. Buy this 5+ BHK property in Chennai's finest location, Avadi. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 1.1 Cr. The built up area of this property is 1135 Square feet. There are a number of reputed schools in the vicinity such as Penguin Mat School, St Pauls Matriculation School, and Government Boys And Girls Primary School. Medical facility is also close at hand with names like Bohra Eye Hospital, Meenakshi Hospital, and ...",,13.0151151,80.1923846,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRg3_k8YY-l3S3dFYyleEkcRVrg0hqBLMX7vA&s
"Kundrathur, Chennai","4 BHK Independent House for sale in Kundrathur, Chennai",Chennai,,1.3 Cr,"Kundrathur, Chennai",3000,4330,"4 BHK Independent House for sale in Kundrathur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Kundrathur which is a promising investment destination in Chennai. This might be your chance to grab the best 4 BHK property for sale in Kundrathur. This 4 BHK Independent House is available at a reasonable price of Rs 1.3 Cr. Residents also need to pay maintenance charges of Rs 0. The built-up area is 3000 Square feet. It enjoys a strategic location with many reputed and multispeciality hospitals nearby like Ku...",4.0,12.9920469,80.1215648,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPtwY0x1PX5eV7A11pV65nErLDshby19ZlnA&s
"Maraimalai Nagar, Chennai","3 BHK Villa for sale in Maraimalai Nagar, Chennai",Chennai,,95.0 L,"Maraimalai Nagar, Chennai",2000,4750,"A 3 BHK Villa for sale in Maraimalai Nagar, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Maraimalai Nagar's most desired properties. Contact now for more information. The price of this Villa is Rs 95.0 L. Maintenance charges come to Rs 0. Each unit has a built-up area of 2000 Square feet. There are 3 bedrooms. This residential property is near Shri Sankara Vidyalaya, St Josephs Higher Secondary School, and Maraimalai Nagar Government School. It is also close to Government Primary Health Care Center",3.0,13.0177793,80.224953,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHw
Shantha Flats,"1 BHK Flat for sale in Poonamallee, Chennai",Chennai,,20.5 L,"Poonamallee, Chennai",460,4460,"1 BHK Apartment for sale in Chennai. This property is in Poonamallee, which is a coveted investment location. This tastefully designed 1 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 1. The total number of floors in this Apartment is 2. The price of the Apartment is Rs 20.5 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 460 Square feet. It has 1 bathroom and 1 bedroom. Some of th...",1.0,13.0455914,80.1137274,https://media.istockphoto.com/id/1293762741/photo/modern-living-room-interior-3d-render.webp?a=1&b=1&s=612x612&w=0&k=20&c=Nk1uLgimD0AG9ADjHPx1iLvhZnm28YW6VRZr7uGwvS0=
"Maraimalai Nagar, Chennai","2 BHK Independent House for sale in Maraimalai Nagar, Chennai",Chennai,,37.0 L,"Maraimalai Nagar, Chennai",925,4000,"Looking for a good 2 BHK Independent House in Maraimalai Nagar, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. Maintenance charges of this property is Rs 0. This modern unit has a built-up area of 925 Square feet. The carpet area of this Independent House is 760 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Government Primary Health Care Center. Established schools, such as Shri Sankara Vidyalaya, St Josephs Higher Secondary School, and Maraimalai Nagar Government School are ...",2.0,13.0177793,80.224953,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHw
"Maraimalai Nagar, Chennai","2 BHK Independent House for sale in Maraimalai Nagar, Chennai",Chennai,,37.0 L,"Maraimalai Nagar, Chennai",800,4630,"*Dear Sir/Madam,* 

 *!!!GREETINGS FROM     VETRI REALS!!!* 

Project name: *GK* *AVVENUE*  
Location: *MARIMALAINAGAR* 

 *Salient Features:* 
1. 5 mins drive from maraimalainagar railway station and bus stand.
2. 10 mins Drive to Mahendraworld city 
3. 20 mins Drive to Tambaram
4. Black top tar roads with gated compound 
5. Avenue trees. 
6.  30 ft,23 ft Tar roads with street light
7. Sweet groud water in 20 feet.
8. 24 hours Transport facility like train ,bus and shareautos .
9. Clear legal set of documents available .
10. Surrounding many Residential House , School, Banks , companies ,supe...",2.0,13.0177793,80.224953,https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fGhvdXNlfGVufDB8fDB8fHww
"Maraimalai Nagar, Chennai","3 BHK Independent House for sale in Maraimalai Nagar, Chennai",Chennai,,85.0 L,"Maraimalai Nagar, Chennai",1500,5670,"One of the finest property in Maraimalai Nagar is now available for sale. This is a 3 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 85.0 L. This Independent House is spacious with a built-up area of 1500 Square feet. There are 3 bedrooms and 3 bathroom. This property ensures you are a quick distance away from the city's best schools such as Shri Sankara Vidyalaya, St Josephs Higher Secondary School, and Maraimalai Nagar Government School. It is also close to good and reputed hospitals like Government Primary Health Care Center",3.0,13.0177793,80.224953,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx7ttDlu-kQVj1XCjp4EcIq4yJo1yKqpkWtg&s
Godrej Palm Grove,"2 BHK Flat for sale in Chembarambakkam, Chennai",Chennai,,62.0 L,"Chembarambakkam, Chennai",1250,4960,"Property for sale in Chembarambakkam, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 7. The total number of floors in this building is 18. This Apartment's price is Rs 62.0 L. Homebuyers will also need to pay Rs 4200 towards maintenance. The built-up area is 1250 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Aachi Hospital and SJS Ayurveda Hospital. Schools like Loyola In...",2.0,13.016769,80.1367942,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4i9b-AcRZdNA6CVJ1RjEmGLEW8uyD4QSDAUqXfeqYoz3p5jWy4pdTl-I&s
