PROP-NAME,PROP_HEADING,CITY,AGE,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
VGN Spring Field Phase 1,"2 BHK Flat for sale in Avadi, Chennai",Chennai,,48.0 L,"Avadi, Chennai",960,5000,"Property for sale in Avadi, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 2. This Apartment's price is Rs 48.0 L. The built-up area is 960 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as PG Women & Child Clinic (OLD)-Paediatrician(Child Specialist) & Gynaecologist in Avadi, Sri Sudharsanam Hospital, and Bohra Eye Hospital. ...",2.0,13.0151151,80.1923846,https://images.unsplash.com/photo-1484101403633-562f891dc89a?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8N3x8bGl2aW5nJTIwcm9vbXxlbnwwfHwwfHx8MA%3D%3D
KG Earth Homes,"2 BHK Flat for sale in Siruseri, Chennai",Chennai,,40.0 L,"Siruseri, Chennai",940,4250,"Price negotiable. Big hall, big balcony, gated community, gym, pool, CCP, 24x7 power supply, security, lift, play area. More About This Property 2 BHK Apartment for sale in Thalambur, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Thalambur which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Thalambur. The property is on floor 4 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 40.0 L. Reside...",2.0,12.8282728,80.2203926,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NHx8bW9kZXJuJTIwaG91c2V8ZW58MHx8MHx8fDA%3D
SSM Nagar,"3 BHK Flat for sale in Perungalathur, Chennai",Chennai,,57.0 L,"Perungalathur, Chennai",1317,4330,"Situated at Alapakkam, New Perungalathur. SURROUNDED by well established schools & colleges. Tambaram eastern bypass is very close and surrounded by nature and serene.  More About This Property Looking for a good 3 BHK Apartment in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 4. Maintenance charges of this property is Rs 3108. This Apartment is available for Rs 57.0 L. This modern unit has a built-up area of 1317 Square feet. The carpet area of this Apartment is 86...",3.0,12.9262201,80.1002602,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSw2iXIZVFA_AzYlVlNBeexN_3Vow31IMrX0ZBHrKYQhbIHR7ENHozv66w&s
VGN Coasta,"4 BHK Flat for sale in Muttukadu, Chennai",Chennai,,2.97 Cr,"Muttukadu, Chennai",4200,7070,"Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Muttukadu. It is situated on floor 5. The total number of floors in this Apartment is 15. The property price of this unit is Rs 2.97 Cr. Monthly maintenance costs Rs 14000. The built-up area is 4200 Square feet. There are 4 bedrooms and 5 bathroom. This property enjoys a good view and is North-facing. This property in Muttukadu, Chennai has lift facility as well. It is a safe premise with cctv facility. Other amenit...",4.0,12.8059018,80.2422023,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSAocrl9gU05bXdZ8SHdVl63XZqJJLIlHCien30uNsL4HZvjRt8UGJUyg&s
CasaGrand Vistaaz,"3 BHK Villa for sale in Kolapakkam - Vandalur, Chennai",Chennai,,1.08 Cr,"Kolapakkam - Vandalur, Chennai",1566,6900,"Close to Shriram IT Gateway and New Kilambakkam Bus Stand More About This Property Looking for a good 3 BHK Villa in New Perungalathur, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. This Villa is available for Rs 1.08 Cr. This modern unit has a built-up area of 1566 Square feet. This property has a good view and is South-East-facing. There are 3 bedrooms and 3 bathroom. This is a gated community. Cctv facility is provided to ensure safety. Sports enthusiasts have multiple options such as Gym, Garden, Sports Facility, Swimming Pool, Clubh...",3.0,12.8420834,80.1552761,https://images.pexels.com/photos/271795/pexels-photo-271795.jpeg?auto=compress&cs=tinysrgb&w=800
Redmond Square,"3 BHK Flat for sale in Sholinganallur, Chennai",Chennai,,70.0 L,"Sholinganallur, Chennai",1500,4670,"Check out this 3 BHK Apartment for sale in Sholinganallur, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Sholinganallur is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 4. The property's price is Rs 90.0 L. Residents in this property pay Rs 4500 towards maintenance. This property is a modern-day abode, with 1500 Square feet built-up area. The un...",3.0,12.9174426,80.2164902,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZz_6-2IasnsMuCQK8DJpyBXRyt9JlDNid5w&s
"Veppampattu, Chennai","1 BHK Independent House for sale in Veppampattu, Chennai",Chennai,,24.8 L,"Veppampattu, Chennai",560,4430,"Looking for a 1 BHK Independent House for sale in Chennai? Your search ends here. Buy this 1 BHK property in Chennai's finest location, Veppampattu. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 24.8 L. The built up area of this property is 560 Square feet. It is spacious for a family and this property has a carpet area of 220 Square feet. There are 1 bedroom and 1 bathroom. There are a number of reputed schools in the vicinity such as Sri Aravindar School, ANGEL School, and Veppampattu School. Medical facil...",1.0,13.1258146,80.010147,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVApfb8p9n8rBz78SFU33XyoNxZstFv_KuHw&s
"Puzhal, Chennai","2 BHK Independent House for sale in Puzhal, Chennai",Chennai,,55.0 L,"Puzhal, Chennai",850,6470,"2 BHK Independent House for sale in Surapet, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Surapet which is a promising investment destination in Chennai. This might be your chance to grab the best 2 BHK property for sale in Surapet. This 2 BHK Independent House is available at a reasonable price of Rs 55.0 L. Residents also need to pay maintenance charges of Rs 500. It is a very spacious property, spread over 600 Square feet. The built-up area is 850 Square feet. This property has provision for 2 bathro...",2.0,13.1304812,80.2133666,https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fGhvdXNlfGVufDB8fDB8fHww
"Venkateshwara Nagar, Ramapuram,Chennai","2 BHK Flat for sale in Ramapuram, Chennai",Chennai,,54.0 L,"Venkateshwara Nagar, Ramapuram,Chennai",860,6280,"Looking for a good 2 BHK Apartment in Ramapuram, Chennai? This property is in one of Chennai's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 7. Maintenance charges of this property is Rs 600. This Apartment is available for Rs 54.0 L. This modern unit has a built-up area of 860 Square feet. The carpet area of this Apartment is 700 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Apollo Hospitals, Greams Road, MIOT International, and Dr.Agarwals Eye Hospital, Porur. Esta...",2.0,13.0276931,80.183415,https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTZ8fGxpdmluZyUyMHJvb218ZW58MHx8MHx8fDA%3D
"Velachery, Chennai","3 BHK Flat for sale in Velachery, Chennai",Chennai,,79.0 L,"Velachery, Chennai",1300,6080,"3 BHK Apartment for sale in Velachery, Chennai with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Velachery which is a promising investment destination in Chennai. This might be your chance to grab the best 3 BHK property for sale in Velachery. The property is on floor 0 and the total number of floors is 2. This 3 BHK Apartment is available at a reasonable price of Rs 79.0 L. The built-up area is 1300 Square feet. This property has provision for 3 bathroom. It enjoys a strategic location with many reputed and multispeciality...",3.0,12.9801655,80.2228506,https://images.pexels.com/photos/1693946/pexels-photo-1693946.jpeg?auto=compress&cs=tinysrgb&w=800
"AGS Colony, Adambakkam,Chennai","3 BHK Flat for sale in Adambakkam, Chennai",Chennai,,99.0 L,"AGS Colony, Adambakkam,Chennai",1193,8300,"The Property is located in heart of Velachery area , But still purely residential. The property has lift & a Huge Car park which can Accommodate a Big SUV with 2-3 Bikes behind. 

CONNECTIVITY : 
The Property is just 1 km from both Velachery 100 Feed road & Inner Ring Road.
The Property is 2.5 kms from St.Thomas Mount Railway station, 1.2 km from Velachery Railway station & Less than a Kilometer from Upcoming Puzhuthivakkam railway station. 

AGS colony Bus stop is with in 200 mts from the site

EDUCATION :
We have Near by Schools like SAN ACADEMY , GK shetty Hindu Vidyala with in 500 mts.We a...",3.0,12.9789702,80.2097046,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFyfi0uf1t-u3cXQDcluS_bcl8FFO8OHHarQ&s
"Lakshmipuram, Kolathur,Chennai","3 BHK Independent House for sale in Kolathur, Chennai",Chennai,,1.2 Cr,"Lakshmipuram, Kolathur,Chennai",1350,8890,"A 3 BHK Independent House for sale in Lakshmipuram, Chennai. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Lakshmipuram's most desired properties. Contact now for more information. The price of this Independent House is Rs 1.2 Cr. Maintenance charges come to Rs 0. Each unit has a built-up area of 1350 Square feet. The carpet area is 1300 Square feet. There are 3 bedrooms. There is provision for 3 bathroom. This residential property is near Velammal Matriculation Higher Secondary School, Velammal Vidhyashram, and Narayana...",3.0,13.1304812,80.2133666,https://plus.unsplash.com/premium_photo-1684348962314-64fa628992f0?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Ben Le Orchard Apartments,"3 BHK Flat for sale in Anna Nagar West, Chennai",Chennai,,88.0 L,"Thirumangalam, Anna Nagar West,Chennai",1065,8260,"*3 BHK with 2 washroom, 1 balcony, 1 covered car parking. 
* carpet area 1065 and UDS 568
*Built in 2006 and recently renovated
* Amenties include- Security guards, CCTV, maintenance staff, water harvesting, children play area, badminton court, community hall, visitor car parking, etc. 
*Good tree coverage and has easy access to CMBT, Ambattur, schools, colleges and shopping zone. More About This Property Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Chennai's top location, Anna Nagar...",3.0,13.085253,80.2015898,https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fGhvdXNlfGVufDB8fDB8fHww
Techcons Blue Alpha,"1 BHK Flat for sale in Mudichur, Chennai",Chennai,,26.86 L,"Mudichur, Chennai",580,4630,"1 BHK Apartment for sale in Chennai. This property is in Mudichur, which is a coveted investment location. This tastefully designed 1 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. This property in Chennai is on floor 0. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 26.86 L. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 580 Square feet. It has 1 bathroom and 1 bedroom. Some of the ...",1.0,12.9600313,80.2144699,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTELc7ZeW8q44QOefKeOAxvtiIAiTcfN7JMcnaM9J_Ar98ZnM_eLC1Mfy0&s
TVH Svaya,"2 BHK Flat for sale in Pennalur, Chennai",Chennai,,30.0 L,"Pennalur, Chennai",1085,2760,"Property for sale in Irungattukottai, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 3. The total number of floors in this building is 4. This Apartment's price is Rs 30.0 L. Homebuyers will also need to pay Rs 2000 towards maintenance. This Apartment is a spacious unit, with carpet area of 860 Square feet and is ideal for families. The built-up area is 1085 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of f...",2.0,12.9846932,79.9751857,https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=1600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8aG91c2V8ZW58MHx8MHx8fDA%3D
Alliance Jasmine Springs,"1 BHK Flat for sale in Kelambakkam, Chennai",Chennai,,28.0 L,"Kelambakkam, Chennai",462,6060,"Property for sale in Ramalingapuram, Chennai. This 1 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 3. The total number of floors in this building is 15. This Apartment's price is Rs 30.0 L. The built-up area is 462 Square feet. The property has 1 bedroom and 1 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Chettinad Health City, Jain Temple, and Prudent Dental Care. Schools like Kidzee Padur & Kelambakkam, AJ School, and St.mary Matr...",1.0,12.7974332,80.2232222,https://images.unsplash.com/photo-1560185007-cde436f6a4d0?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGxpdmluZyUyMHJvb218ZW58MHx8MHx8fDA%3D
Swathy Ayyappa Flats,"2 BHK Flat for sale in Kilpauk, Chennai",Chennai,,65.0 L,"Kumaran Nagar, Kilpauk,Chennai",940,6910,"2 Bed Flat 940 sq ft for sale in Kumaran Nagar, Anna Nagar East across Ayanavaram, Gujji 2nd Street, Walkable from New Avadi Road, Excellent connectivity, Close to Metro Water Tank, 2008 Constructed, One Large Balcony and well ventilated, South facing, First Floor, No Lift, No Car Parking, Bore Water Available in addition to Metro Water, 10 flats in the Apartment  all owner occupied, Flat available for viewing on Sundays anytime and Other Days after 4 PM only as Tenant is staying in the Flat. Whatspp for more details and for viewing the flat. Price negotiable. More About This Property One of t...",2.0,13.0790289,80.2490893,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKFumepIzBgyE6MSKdQ96O1EOaN7KlrP7oyw&s
Narayanan Nagar,"2 BHK Flat for sale in Ambattur, Chennai",Chennai,,43.75 L,"Ambattur, Chennai",795,5500,"One of the finest property in Korattur is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 2. It is a 2 storeyed building. The price of this Apartment is Rs 43.75 L. This Apartment is spacious with a built-up area of 795 Square feet. It is a East-facing property with a good view. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as St Moses Matriculation Higher Secondary School, Corporation School, and Muncipal Corporation Primary School. It is also close to goo...",2.0,13.068518,80.2280904,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDraQ5G3s2YOBtmzqzFlkkpdwGrflfHHsf2Q&s
Amarprakash Temple Waves,"2 BHK Flat for sale in Thandalam, Chennai",Chennai,,45.0 L,"Thandalam, Chennai",630,7140,"One of the finest property in Thandalam is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 6. It is a 7 storeyed building. The price of this Apartment is Rs 45.0 L. Other charges when you move into this property include maintenance, which is Rs 2000. This Apartment is spacious with a built-up area of 630 Square feet. There are 2 bedrooms and 1 bathroom. This property ensures you are a quick distance away from the city's best schools such as Sivanthi School, Peace On Green Earth Public School, and Peace On Green Earth Public School (...",2.0,13.0011821,80.1262072,https://media.istockphoto.com/id/2166310230/photo/a-quiet-luxury-living-room-interior-with-glamour-and-traditional-furniturea-quiet-luxury.webp?a=1&b=1&s=612x612&w=0&k=20&c=Kx8eRjCVMHVaVcCSKYLQVGMfm68Y2k02Ym50TUBB0FU=
Golden Jubilee Flats,"3 BHK Flat for sale in Anna Nagar West, Chennai",Chennai,,1.0 Cr,"Thirumangalam, Anna Nagar West,Chennai",1100,9090,"Check out this 3 BHK Apartment for sale in Anna Nagar West Extension, Chennai. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Anna Nagar West Extension is a promising location in Chennai and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 3. The property's price is Rs 1.0 Cr. Residents in this property pay Rs 500 towards maintenance. This property is a modern-day abode, with 1100 Square feet ...",3.0,13.085253,80.2015898,https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=1600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8aG91c2V8ZW58MHx8MHx8fDA%3D
"Ambattur, Chennai","4 BHK Independent House for sale in Ambattur, Chennai",Chennai,,3.78 Cr,"Ambattur, Chennai",3300,11450,"One of the finest property in Ambattur is now available for sale. This is a 4 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 3.78 Cr. This Independent House is spacious with a built-up area of 3300 Square feet. There are 4 bedrooms and 4 bathroom. This property ensures you are a quick distance away from the city's best schools such as Bapuji Matric Higher Secondary School, PJ Gupta Middle School, and Sir Ramaswami Mudaliar Higher Secondary School. It is also close to good and reputed hospitals like Mother's Speciality Hospital, Sir ...",4.0,13.068518,80.2280904,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAhg-W0IxHITmdC2xzhMp6-Ra3Jrcy8ALluQ&s
Rajparis Harmony,"3 BHK Flat for sale in Medavakkam, Chennai",Chennai,,78.0 L,"Medavakkam, Chennai",1512,5160,"One of the finest property in Medavakkam is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 0. It is a 1 storeyed building. The price of this Apartment is Rs 78.0 L. Other charges when you move into this property include maintenance, which is Rs 0. This Apartment is spacious with a built-up area of 1512 Square feet. It is a North-facing property with a good view. There are 3 bedrooms and 3 bathroom. Lift facility is also available. Other facilities include Garden. This property also enjoys power backup facility. This project has reg...",3.0,12.9229928,80.1882897,https://images.unsplash.com/photo-1621070659899-40b6b6f6731d?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU1fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
Ozone Metrozone,"4 BHK Flat for sale in Anna Nagar West, Chennai",Chennai,,3.0 Cr,"Thirumangalam, Anna Nagar West,Chennai",2661,11270,"Best 4 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Chennai's top location, Anna Nagar West Extension. It is situated on floor 10. The total number of floors in this Apartment is 15. The property price of this unit is Rs 3.0 Cr. Monthly maintenance costs Rs 10000. The carpet area of this unit is 2000 Square feet. The built-up area is 2661 Square feet. You can make use of the servant room in this Apartment. There are 4 bedrooms and 4 bathroom. It is an ideal location for young families with ...",4.0,13.085253,80.2015898,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMYopneXydH1Tj-HVI4vtdHy-PKAw_HOIggg&s
"Surya Nagar, Kotturpuram,Chennai","3 BHK Flat for sale in Kotturpuram, Chennai",Chennai,,2.3 Cr,"Surya Nagar, Kotturpuram,Chennai",1650,13940,"Best 3 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 3 BHK property for sale in one of Chennai's top location, Kotturpuram. It is situated on floor 1. The total number of floors in this Apartment is 3. The property price of this unit is Rs 2.5 Cr. The built-up area is 1650 Square feet. There are 3 bedrooms and 4 bathroom. It is an ideal location for young families with kids, as this property is close to St Michaels Academy Matriculation Higher Secondary School, Chennais Amirta International Institute Of Hotel Management, and...",3.0,13.0216167,80.2381298,https://plus.unsplash.com/premium_photo-1682377521625-c656fc1ff3e1?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8OXx8bW9kZXJuJTIwaG91c2V8ZW58MHx8MHx8fDA%3D
Hansa Abhinav,"2 BHK Flat for sale in Tiruvottiyur, Chennai",Chennai,,45.0 L,"Tiruvottiyur, Chennai",836,5380,"One of the finest property in Tiruvottiyur is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 2 storeyed building. Other charges when you move into this property include maintenance, which is Rs 1200. This Apartment is spacious with a built-up area of 836 Square feet. It is a South-facing property with a good view. There are 2 bedrooms and 2 bathroom. This is a gated community. This property is equipped with cctv facility. Other facilities include Gym, Garden. This project has regular water supply. Kids area is also prese...",2.0,13.2140991,80.3198944,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0Q6epPR-WeT-riL_bMbYnzKh5SBnKpHRw7Q&s
"Veppampattu, Chennai","2 BHK Villa for sale in Veppampattu, Chennai",Chennai,,30.0 L,"Veppampattu, Chennai",1000,3000,"2 BHK Villa for sale in Chennai. This property is in Veppampattu, which is a coveted investment location. This tastefully designed 2 BHK unit is among Chennai's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. The price of the Villa is Rs 30.0 L. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1000 Square feet. The carpet area is 950 Square feet. This is a East facing property. It has 2 bathroom and 2 bedroom...",2.0,13.1258146,80.010147,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-WOs_vwCq-Wwqu_a8okQYRzq-IlyjD_71AEXHYkJ49Y_mPR1hTy89LEM&s
Alacrity Sangath,"2 BHK Flat for sale in Velachery, Chennai",Chennai,,60.0 L,"Velachery, Chennai",994,6040,"One of the finest property in Velachery is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 4 storeyed building. The price of this Apartment is Rs 60.0 L. Other charges when you move into this property include maintenance, which is Rs 1500. This Apartment is spacious with a built-up area of 997 Square feet. It is a South-facing property with a good view. There are 2 bedrooms and 2 bathroom. Lift facility is also available. This is a gated community. This property is equipped with cctv facility. This property ensures you ar...",2.0,12.9801655,80.2228506,https://images.pexels.com/photos/259962/pexels-photo-259962.jpeg?auto=compress&cs=tinysrgb&w=1200
"Mylapore, Chennai","2 BHK Flat for sale in Mylapore, Chennai",Chennai,,45.0 L,"Mylapore, Chennai",730,6160,"Property for sale in Mylapore, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 3. This Apartment's price is Rs 45.0 L. Homebuyers will also need to pay Rs 300 towards maintenance. This Apartment is a spacious unit, with carpet area of 650 Square feet and is ideal for families. The built-up area is 730 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous hea...",2.0,13.0316473,80.2700166,https://images.pexels.com/photos/2030037/pexels-photo-2030037.jpeg?auto=compress&cs=tinysrgb&w=800
Mahindra Happinest,"2 BHK Flat for sale in Avadi, Chennai",Chennai,,32.0 L,"Avadi, Chennai",667,4800,"Property for sale in Avadi, Chennai. This 2 BHK Apartment is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 3. The total number of floors in this building is 3. This Apartment's price is Rs 32.0 L. Homebuyers will also need to pay Rs 1350 towards maintenance. This Apartment is a spacious unit, with carpet area of 452 Square feet and is ideal for families. The built-up area is 667 Square feet. The property has 2 bedrooms and 1 bathroom. This Apartment is strategically located within close distance of famous healt...",2.0,13.0151151,80.1923846,https://media.istockphoto.com/id/2166310230/photo/a-quiet-luxury-living-room-interior-with-glamour-and-traditional-furniturea-quiet-luxury.webp?a=1&b=1&s=612x612&w=0&k=20&c=Kx8eRjCVMHVaVcCSKYLQVGMfm68Y2k02Ym50TUBB0FU=
"Veppampattu, Chennai","2 BHK Independent House for sale in Veppampattu, Chennai",Chennai,,39.0 L,"Veppampattu, Chennai",1000,3900,"2 BHK Independent House for sale in Veppampattu, Chennai. This 2 BHK unit is available in Veppampattu and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Veppampattu. The price of this Independent House is Rs 39.0 L. Residents in this project also pay monthly maintenance charges of Rs 0. The built-up area is 1000 Square feet. There are 2 bedrooms and 3 bathroom. This property is at a walking distance from Bethestha Hospital. The city's best schools such as ...",2.0,13.1258146,80.010147,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR1aGsF7DBNe9YwgWX48m7HmGLG2aRBxTMf8SD4P6qvyPqG0Z9vXxAaRZk&s
Sravan Zebulon,"2 BHK Flat for sale in Madipakkam, Chennai",Chennai,,54.5 L,"Ram Nagar, Madipakkam,Chennai",850,6410,"Location - 
Flat is located in close proximity to Velachery Vijaya Nagar (2 kms) and railway station (1 km), Bus stop (400 mts), Grand Mall (2 kms). All shops and stores (400 mts), 4 Schools nearby and many well known hospitals (600 mts). Very good connectivity to OMR and GST roads. Direction is North.

Builtup area - 850 Sq. Ft.
UDS - 52%
Total floors - G+2
House unit Floor - 1st

- Semi-furnished builder apartment in 1st floor
- 1 Service area
- 1 Balcony
- 1 Covered Car Parking
- Mosquito nets
- Inverter power backup
- Lift
- Security camera
- 1 Geyser
- LED tube lights
- High speed fans
- ...",2.0,12.9652457,80.2069875,https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg?auto=compress&cs=tinysrgb&w=800
"Ambattur, Chennai","3 BHK Independent House for sale in Ambattur, Chennai",Chennai,,4.2 Cr,"Ambattur, Chennai",4800,8750,"3 BHK Independent House for sale in Ambattur, Chennai. This 3 BHK unit is available in Ambattur and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Ambattur. The price of this Independent House is Rs 4.2 Cr. Residents in this project also pay monthly maintenance charges of Rs 0. It is a good, spacious Independent House unit with carpet area of 870 Square feet. The built-up area is 4800 Square feet. There are 3 bedrooms and 3 bathroom. This property is at a ...",3.0,13.068518,80.2280904,https://images.unsplash.com/photo-1570129477492-45c003edd2be?w=1600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8Mnx8aG91c2V8ZW58MHx8MHx8fDA%3D
Ashwanth Vedas,"2 BHK Flat for sale in Kolathur, Chennai",Chennai,,60.0 L,"Lakshmipuram, Kolathur,Chennai",982,6110,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Chennai's top location, Lakshmipuram. It is situated on floor 1. The total number of floors in this Apartment is 2. The property price of this unit is Rs 60.0 L. The built-up area is 982 Square feet. There are 2 bedrooms and 2 bathroom. This property enjoys a good view and is East-facing. This property in Lakshmipuram, Chennai has lift facility as well. It is an ideal location for young families with kids, as this property is close to Vela...",2.0,13.1304812,80.2133666,https://images.pexels.com/photos/271795/pexels-photo-271795.jpeg?auto=compress&cs=tinysrgb&w=800
"Guduvancheri, Chennai","2 BHK Independent House for sale in Guduvancheri, Chennai",Chennai,,36.5 L,"Guduvancheri, Chennai",600,6080,"Property for sale in Guduvancherry, Chennai. This 2 BHK Independent House is located in Chennai's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 20.66 L. Homebuyers will also need to pay Rs 1 towards maintenance. This Independent House is a spacious unit, with carpet area of 150 Square feet and is ideal for families. The built-up area is 900 Square feet. The property has 2 bedrooms and 2 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as SRM Gene...",2.0,12.8439997,80.0603546,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8MjvnbSc6liQnQkA4CxF3EUwZ9u_tAZ1zFw&s
