PROP_NAME,CITY,PROP_HEADING,AGE,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
Anriya Atrieus Apartments by Anriya Group,Bangalore,"3 BHK Flat for sale in HBR Layout, Bangalore",,78.0 L,"HBR Layout 3rd Block, HBR Layout,Bangalore",1610,4840,"A 3 BHK Apartment for sale in HBR Layout, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of HBR Layout's most desired properties. Contact now for more information. This 3 BHK unit is on floor 0. There are 4 floors in this property. The price of this Apartment is Rs 78.0 L. Each unit has a built-up area of 1610 Square feet. There are 3 bedrooms. This residential property is near Faran College and School of Nursing, Brainy Stars International Holistic Montessori - HBR Layout, and Pragathi Institute of Nursing. It is...",3.0,13.0279415,77.6282197,https://media.istockphoto.com/id/1990444472/photo/scandinavian-style-cozy-living-room-interior.webp?a=1&b=1&s=612x612&w=0&k=20&c=F5A3eF6myaJpITu5ABnGqNjacGWYskuxeZviU-KpxPE=
Bhartiya Nikoo Homes 2 by Bhartiya City Developers Pvt Ltd,Bangalore,"4.5 BHK Flat for sale in Thanisandra, Bangalore",,1.9 Cr,"Manayata Tech Park, Thanisandra,Bangalore",2204,8620,"Looking for a 4.5 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 4.5 BHK property in Bengaluru's finest location, Thanisandra. This is an owner listed property and there is no brokerage involved. It is on floor 17 out of 26 floors. This Apartment is available at a reasonable price of Rs 1.9 Cr. The built up area of this property is 2204 Square feet. There are a number of reputed schools in the vicinity such as AZ kids Austin, Nivedh Day Care, and Near Jathawara Hosahalli. Medical facility is also close at hand with names like Columbia Asia Clinic, ReLive Hospital, and Saf...",5.0,13.0459727,77.6272962,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKFumepIzBgyE6MSKdQ96O1EOaN7KlrP7oyw&s
Bhartiya Nikoo Homes 2 by Bhartiya City Developers Pvt Ltd,Bangalore,"4.5 BHK Flat for sale in Thanisandra, Bangalore",,1.9 Cr,"Manayata Tech Park, Thanisandra,Bangalore",2203,8620,"4.5 BHK Apartment for sale in Bengaluru. This property is in Thanisandra, which is a coveted investment location. This tastefully designed 4.5 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 4.5 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 17. The total number of floors in this Apartment is 26. The price of the Apartment is Rs 1.9 Cr. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 2203 Square feet. Some of the very well-known ...",5.0,13.0459727,77.6272962,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx7ttDlu-kQVj1XCjp4EcIq4yJo1yKqpkWtg&s
Supertech Micasa,Bangalore,"2 BHK Flat for sale in Kannuru, Bangalore",,75.0 L,"Kannuru, Bangalore",1131,6630,"A 2 BHK Apartment for sale in Kannuru, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Kannuru's most desired properties. Contact now for more information. This 2 BHK unit is on floor 6. There are 14 floors in this property. The price of this Apartment is Rs 75.0 L. Each unit has a built-up area of 1131 Square feet. This East-facing property has an excellent view. There are 2 bedrooms. There is provision for 2 bathroom. The Apartment in Kannuru, Bengaluru has lift facility. It is a thoroughly secure premise with...",2.0,13.0967426,77.6535003,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAe1_fQtpxpCpRQIX7ACABWVPCQ11n1odTGA&s
"Krishnarajapura, Bangalore",Bangalore,"3 BHK Villa for sale in Krishnarajapura, Bangalore",,49.0 L,"Krishnarajapura, Bangalore",1500,3270,"Check out this 3 BHK Villa for sale in K R Puram, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Villa is perfect for a modern-day lifestyle. K R Puram is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Villa for sale now. The total number of floors in this project is 2. The property's price is Rs 49.0 L. This property is a modern-day abode, with 1500 Square feet built-up area. It is a East-facing property. The unit has 3 bedrooms and 3 bathroom. Educational institutions are closeby wit...",3.0,12.9999024,77.6776703,https://images.pexels.com/photos/323780/pexels-photo-323780.jpeg?auto=compress&cs=tinysrgb&w=1200
Ultima,Bangalore,"2 BHK Flat for sale in Thanisandra, Bangalore",,85.0 L,"Rachenahalli, Thanisandra,Bangalore",1050,8100,"Looking for a good 2 BHK Apartment in Thanisandra Main Road, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 4. Total number of floors is 13. This Apartment is available for Rs 85.0 L. This modern unit has a built-up area of 1050 Square feet. This property has a good view and is East-facing. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Regal Hospital, SURAKSHA HEALTH CARE & DIAGNOSTICS, and Mathru clinic. Established schools, such as Sri Kidz, Government Schoo...",2.0,13.0588586,77.6232576,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPtwY0x1PX5eV7A11pV65nErLDshby19ZlnA&s
Srinivasa Classic,Bangalore,"2 BHK Flat for sale in Kaikondrahalli, Bangalore",,76.0 L,"Kaikondrahalli, Bangalore",1050,7240,"Looking for a good 2 BHK Apartment in Kaikondrahalli, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 2. Total number of floors is 4. Maintenance charges of this property is Rs 0. This Apartment is available for Rs 76.0 L. This modern unit has a built-up area of 1050 Square feet. It is very close to some of city's best hospitals, such as, Motherhood Hospital- Sarjapur Road, Bangalore, Sakra World Hospital, and Columbia Asia Hospital Sarjapur Road. Established schools, such as Brs Global School, KLAY Prep School...",2.0,12.9167884,77.6742775,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaYVpaZGn8odKSp7EX8d9Tb-vMbb5lkKp5AA&s
Abhee Nandika,Bangalore,"2 BHK Flat for sale in Chandapura, Bangalore",,35.0 L,"Chandapura, Bangalore",800,4380,"2 BHK Apartment for sale in Iggalur, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Iggalur which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Iggalur. The property is on floor 1 and the total number of floors is 4. This 2 BHK Apartment is available at a reasonable price of Rs 35.0 L. It is a very spacious property, spread over 585 Square feet. The built-up area is 800 Square feet. This property has provision for 2 bathroom. This prope...",2.0,12.8009043,77.7114908,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyiVZsxHWJgiUG5BXh2ehDmMTVjP-AtqC4ig&s
"Bommasandra Industrial Area, Bommasandra,Bangalore",Bangalore,"2 BHK Flat for sale in Bommasandra, Bangalore",,35.0 L,"Bommasandra Industrial Area, Bommasandra,Bangalore",800,4380,"BMRDA approved flats for sale near IT hubs and close to metro.
Price is starting from 35 lakh onwards.
Well organized amenities with 24/7 security and comfort life.
Surrounded by MNC’s, International schools, Shopping malls and Best hospitals in the city.
Few ready to move flats are left, so come and grab it soon.
 More About This Property Property for sale in Electronic City, Bengaluru. This 2 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 4. ...",2.0,12.8139889,77.6952319,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcReHmictO0cV3ZSICgtYPl7zOfMfZCR6iEdG8P-KVmU4bfxePk-l25JeJ4&s
Purva Palm Beach,Bangalore,"2 BHK Flat for sale in Kyalasanahalli, Bangalore",,1.01 Cr,"Kyalasanahalli, Bangalore",1232,8200,"2 BHK Apartment for sale in Kyalasanahalli, Bengaluru. This 2 BHK unit is available in Kyalasanahalli and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Kyalasanahalli. It is on floor 5. The total number of floors is 14. The price of this Apartment is Rs 1.01 Cr. The built-up area is 1232 Square feet. There are 2 bedrooms and 1 bathroom. The property is West-facing. This property is at a walking distance from Medi Derma Hospital, Purva Wave Apartment Besid...",2.0,13.0564575,77.6591321,https://images.pexels.com/photos/221540/pexels-photo-221540.jpeg?auto=compress&cs=tinysrgb&w=1200
