PROP_NAME,CITY,PROP_HEADING,AGE,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
Embassy Lake Terraces,Bangalore,"3 BHK Flat for sale in Hebbal Kempapura, Bangalore",,4.15 Cr,"Hebbal Kempapura, Bangalore",3554,11680,"Embassy Lake Terraces is an idea of luxury inspired by global citizens who have experienced the best. Located at Hebbal in North Bengaluru - an epicenter of growth and investment, with hospitals, leading tech parks, and international schools in the vicinity, it lets you access the world with ease. More About This Property 3 BHK Apartment for sale in Bengaluru. This property is in Hebbal Kempapura, which is a coveted investment location. This tastefully designed 3 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by ...",3.0,13.0514799,77.5933559,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCgib1mqHFf0xP0mgqZIYJGrUwxkzi46H2Og&s
"Bhaktharahalli, Bangalore",Bangalore,"5 BHK Independent House for sale in Bhaktharahalli, Bangalore",,87.0 L,"Bhaktharahalli, Bangalore",580,15000,"5 BHK Independent House for sale in Bengaluru. This property is in Bhaktharahalli, which is a coveted investment location. This tastefully designed 5 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 5 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 87.0 L. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 580 Square feet. This is a North facing property. It has 3 bathroom and 5 bedrooms. So...",5.0,13.0184895,77.7844739,https://images.pexels.com/photos/221540/pexels-photo-221540.jpeg?auto=compress&cs=tinysrgb&w=1200
Kolte Patil Raaga,Bangalore,"2 BHK Flat for sale in Kannuru, Bangalore",,60.0 L,"Kannuru, Bangalore",982,6110,"2BHK FOR SALE IN KOLTE PATIL RAAGA PHASE 1, SEMIFURNISHED, 9TH FLOOR, BALCONY POOL FACING, WITH ALL MODERN AMENITIES, READY TO MOVE, CLOSE TO ORR, FLAT EAST FACING

More About This Property

A 2 BHK Apartment for sale in Kannuru, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Kannuru's most desired properties. Contact now for more information. This 2 BHK unit is on floor 9. There are 14 floors in this property. The price of this Apartment is Rs 60.0 L. Maintenance charges come to Rs 4299. Each unit has a built-...",2.0,13.0967426,77.6535003,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSh2Id5dHqC2rHXkmtupJTtwF--hHi7k73Epg&s
"Attibele, Bangalore",Bangalore,"3 BHK Villa for sale in Attibele, Bangalore",,95.0 L,"Attibele, Bangalore",2200,4320,"A 3 BHK Villa for sale in Attibele, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Attibele's most desired properties. Contact now for more information. The price of this Villa is Rs 95.0 L. Each unit has a built-up area of 2200 Square feet. There are 6 bedrooms. There is provision for 3 bathroom. This residential property is near Bachpan...A Play School Attibele, St. Dominic's School, and Attibele Public School. It is also close to Sri Ragava Children's & General Hospital, TRINETRA EYE CARE, and Sanjeevini Man...",3.0,12.7751249,77.7709216,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTELc7ZeW8q44QOefKeOAxvtiIAiTcfN7JMcnaM9J_Ar98ZnM_eLC1Mfy0&s
Nitesh Central Park,Bangalore,"3 BHK Flat for sale in Kogilu, Bangalore",,1.1 Cr,"Prakruthi Nagar, Kogilu,Bangalore",1558,7060,"Check out this 3 BHK Apartment for sale in Kogilu, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Kogilu is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 8. The property's price is Rs 1.1 Cr. Residents in this property pay Rs 6000 towards maintenance. This property is a modern-day abode, with 1558 Square feet built-up area. The carpet-area is...",3.0,13.0978966,77.6157367,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx7ttDlu-kQVj1XCjp4EcIq4yJo1yKqpkWtg&s
Prabhavathi Lotus 2,Bangalore,"2 BHK Flat for sale in Bommanahalli, Bangalore",,44.0 L,"Lake City, Bommanahalli,Bangalore",1000,4400,"One of the finest property in Bommanahalli is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 5 storeyed building. The price of this Apartment is Rs 44.0 L. Other charges when you move into this property include maintenance, which is Rs 2000. This Apartment is spacious with a built-up area of 1000 Square feet. The carpet area is 850 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Rami's Dance Inc, Shantiniketan Educational Instituti...",2.0,12.8997376,77.6173368,https://plus.unsplash.com/premium_photo-1684348962314-64fa628992f0?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Prestige Pinewood,Bangalore,"3 BHK Flat for sale in Koramangala, Bangalore",,3.8 Cr,"Koramangala, Bangalore",1839,20660,"Prestige Pinewood is a High-Rise Residential Development in the midst of a well-established and sought after location, at Koramangala (Jakkasandara) Bangalore. Koramangala, located at the heart of the city has good proximity to IT hub and recreational zones. Prestige Pinewood consist of 256 premium apartments and offers a combination of 2, 2.5, 3 and 4 bedroom units, and sits on a prime land of 2.5 acres and is placed in such a way that it provides maximum natural light and ventilation. The master plan of these properties offers the finest view of the adjacent landscaped parks, and the overall...",3.0,12.9355801,77.6180899,https://images.unsplash.com/photo-1649083048381-520a5b3d91ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU4fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
YMR Lichen,Bangalore,"2 BHK Flat for sale in Kothanur, Bangalore",,55.0 L,"Kothanur, Bangalore",1079,5100,"This lovely 2 BHK for sale is only 59 Lakhs rupees without any extra brokerage & could be your new home. This East facing home is on the 2nd floor. This home is over 1060 sqft. & even comes with ample space for parking of car and bike.

When you need community centre, kids play zone, a gym, garden & swimming pool for relaxation, all you have to do is step out of the door as the apartment complex has what you're looking for. You are viewing the right home if you would prefer a house with parking for visitors, fire fighting equipment & gas pipeline. If you are looking for a home with intercom, s...",2.0,13.0613601,77.6493895,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQUMEKlzQimuIoPkRM6xG9YQu812i_zhbrX6Q&s
"Kamala Nagar, Bangalore",Bangalore,"2 BHK Flat for sale in Kamala Nagar, Bangalore",,80.0 L,"Kamala Nagar, Bangalore",1150,6960,"Check out this 2 BHK Apartment for sale in Kamla Nagar, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Kamla Nagar is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 4. The property's price is Rs 80.0 L. Residents in this property pay Rs 2200 towards maintenance. This property is a modern-day abode, with 1150 Square feet built-up area. The carp...",2.0,12.9450536,77.5586486,https://images.unsplash.com/photo-1649083048381-520a5b3d91ff?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU4fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
GK Tropical Springs,Bangalore,"3 BHK Flat for sale in Chansandra, Bangalore",,94.0 L,"Chansandra, Bangalore",1619,5810,"Check out this 3 BHK Apartment for sale in Chansandra, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Chansandra is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 3. The total number of floors in this project is 13. The property's price is Rs 94.0 L. This property is a modern-day abode, with 1619 Square feet built-up area. The unit has 3 bedrooms and 0 bathroom. Educational institutions are ...",3.0,12.982522,77.7605253,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHw
"Electronics City Phase 1, Electronic City,Bangalore",Bangalore,"7 BHK Independent House for sale in Electronic City, Bangalore",,90.0 L,"Electronics City Phase 1, Electronic City,Bangalore",2700,3330,"7 BHK Independent House for sale in Electronic City, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Electronic City which is a promising investment destination in Bengaluru. This might be your chance to grab the best 7 BHK property for sale in Electronic City. This 7 BHK Independent House is available at a reasonable price of Rs 90.0 L. Residents also need to pay maintenance charges of Rs 600. It is a very spacious property, spread over 2700 Square feet. The built-up area is 2700 Square feet. This prope...",7.0,12.8401783,77.6594569,https://images.pexels.com/photos/1428348/pexels-photo-1428348.jpeg?auto=compress&cs=tinysrgb&w=800
Profound Symphony,Bangalore,"2 BHK Flat for sale in Jigani, Bangalore",,42.0 L,"Jigani, Bangalore",1247,3370,"2 BHK Apartment for sale in Jigani, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Jigani which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Jigani. The property is on floor 1 and the total number of floors is 7. This 2 BHK Apartment is available at a reasonable price of Rs 42.0 L. Residents also need to pay maintenance charges of Rs 2500. It is a very spacious property, spread over 810 Square feet. The built-up area is 1247 Square fee...",2.0,12.7811006,77.6344183,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAhg-W0IxHITmdC2xzhMp6-Ra3Jrcy8ALluQ&s
Shriram Surabhi,Bangalore,"2 BHK Flat for sale in Mallasandra, Bangalore",,42.0 L,"Mallasandra, Bangalore",905,4640,"Property for sale in Mallasandra, Bengaluru. This 2 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 3. The total number of floors in this building is 5. This Apartment's price is Rs 45.0 L. Homebuyers will also need to pay Rs 2300 towards maintenance. The built-up area is 905 Square feet. The property has 2 bedrooms and 2 bathroom. This unit enjoys a good view and is a North facing property. This residential building in Mallasandra, Bengaluru has lift facility. Kids too have access to a kids ar...",2.0,13.0569525,77.5209467,https://plus.unsplash.com/premium_photo-1684348962314-64fa628992f0?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MzN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Prestige Woodland Park by Prestige Estates Projects Ltd.,Bangalore,"2.5 BHK Flat for sale in Dodda Banaswadi, Bangalore",,2.0 Cr,"Dodda Banaswadi, Bangalore",1405,14230,"Newly constructed property in heart of the city spread across 1.5 acres with 166 apartments. The project has got all the modern amenities as shown in the images. The entrance facing of an apartment is more of North to west. The apartment comes with marble flooring,kitchen granite slabs, the sanitary and bath fittings are of kohler brand. The layout of the apartment is such that one have to think of switching the lights on until 6 pm. The apartment comes with one covered car park. The entry to the property is done only after the security check which makes your loved one stays more safe and secu...",5.0,13.0133522,77.6497417,https://images.pexels.com/photos/1918291/pexels-photo-1918291.jpeg?auto=compress&cs=tinysrgb&w=800
SLS Silver Oak,Bangalore,"2 BHK Flat for sale in Kodigehalli, Bangalore",,55.0 L,"Kodigehalli, Bangalore",1203,4570,"A Katha property. Free Hold and first owner. Well ventilated flat with plenty of daylight. Teak Veneer TV wall unit. This 2 BHK apartment is perfect for a modern day lifestyle. More About This Property 2 BHK Apartment for sale in Kodigehalli, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Kodigehalli which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Kodigehalli. The property is on floor 4 and the total number of floors is 4. This 2 BH...",2.0,12.9752667,77.4642027,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSa_wPYQK-qPTd7Wd7_gaWOxCFznuYcKfsjhw&s
Habulus Residency,Bangalore,"2 BHK Flat for sale in Electronic City Phase II, Bangalore",,29.5 L,"Electronic City Phase II, Bangalore",850,3470,"Looking for a good 2 BHK Apartment in Electronic City, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 2. Total number of floors is 5. Maintenance charges of this property is Rs 1500. This Apartment is available for Rs 29.5 L. This modern unit has a built-up area of 850 Square feet. The carpet area of this Apartment is 697 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Springleaf Hospital, Ramakrishna Smart Hospitals, and Vimalalaya Hospital. Establ...",2.0,12.8436744,77.6549438,https://images.pexels.com/photos/1428348/pexels-photo-1428348.jpeg?auto=compress&cs=tinysrgb&w=800
Sri Sai Enclave,Bangalore,"2 BHK Flat for sale in Subramanyapura, Bangalore",,58.0 L,"Gubbalala, Subramanyapura,Bangalore",1150,5040,"2 BHK Apartment for sale in Bengaluru. This property is in Subramanyapura, which is a coveted investment location. This tastefully designed 2 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 2 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 0. The total number of floors in this Apartment is 5. The price of the Apartment is Rs 58.0 L. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1150 Squa...",2.0,12.8837102,77.5413403,https://images.pexels.com/photos/2030037/pexels-photo-2030037.jpeg?auto=compress&cs=tinysrgb&w=800
Aravind Residency,Bangalore,"2 BHK Flat for sale in Lingadheeranahalli, Bangalore",,70.0 L,"Lingadheeranahalli, Bangalore",1350,5180,"2 BHK Apartment for sale in Kanakapura Road, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Kanakapura Road which is a promising investment destination in Bengaluru. This might be your chance to grab the best 2 BHK property for sale in Kanakapura Road. The property is on floor 3 and the total number of floors is 3. This 2 BHK Apartment is available at a reasonable price of Rs 70.0 L. Residents also need to pay maintenance charges of Rs 3000. The built-up area is 1350 Square feet. This property has provision for...",2.0,13.0026688,77.4915418,https://media.istockphoto.com/id/1293762741/photo/modern-living-room-interior-3d-render.webp?a=1&b=1&s=612x612&w=0&k=20&c=Nk1uLgimD0AG9ADjHPx1iLvhZnm28YW6VRZr7uGwvS0=
Tata Value Homes New Haven Bengaluru,Bangalore,"2 BHK Flat for sale in Nelamangala, Bangalore",,70.0 L,"Nelamangala, Bangalore",1163,6020,"Property for sale in Nelamangala, Bengaluru. This 2 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 15. This Apartment's price is Rs 70.0 L. Homebuyers will also need to pay Rs 4000 towards maintenance. This Apartment is a spacious unit, with carpet area of 847 Square feet and is ideal for families. The built-up area is 1163 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of ...",2.0,13.1054582,77.3804341,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4MZkvZ7mqsl1Y3zTX6pP4mOusUGiGyeUQXQ&s
Provident Harmony,Bangalore,"3 BHK Flat for sale in Chokkanahalli, Bangalore",,72.0 L,"Chokkanahalli, Bangalore",1241,5800,"Check out this 3 BHK Apartment for sale in Thanisandra Main Road, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Thanisandra Main Road is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 7. The total number of floors in this project is 10. The property's price is Rs 72.0 L. Residents in this property pay Rs 4000 towards maintenance. This property is a modern-day abode, with 1241 Square feet bu...",3.0,13.1706044,77.6203396,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSAocrl9gU05bXdZ8SHdVl63XZqJJLIlHCien30uNsL4HZvjRt8UGJUyg&s
"Islampur, Vimanapura,Bangalore",Bangalore,"7 BHK Independent House for sale in Vimanapura, Bangalore",,3.25 Cr,"Islampur, Vimanapura,Bangalore",4000,8130,"Best 7 BHK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 7 BHK property for sale in one of Bengaluru's top location, Vimanapura. The property price of this unit is Rs 3.0 Cr. The built-up area is 4000 Square feet. There are 7 bedrooms and 7 bathroom. It is an ideal location for young families with kids, as this property is close to Government Primary School, Smart Kids Pre School, and Government Higher Primary School Beedigere. Healthcare facility is also close at hand with Cloudnine Hospital - Old Airport Road, Command ...",7.0,12.9630327,77.6692313,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHww
"Phase 2, Tejaswini Nagar,Bangalore",Bangalore,"5 BHK Independent House for sale in Tejaswini Nagar, Bangalore",,4.3 Cr,"Phase 2, Tejaswini Nagar,Bangalore",4600,9350,"“Elegant custom home offers unparalleled craftsmanship, exceptional amenities, and lots of free space! This classic designed home is truly remarkable inside and out!

Location - 
Located in Bannerghata road, less than 2 kms from the Metro Station, this independent villa is situated in one of the best areas of Bengaluru. Furthermore, this villa is located on a safe and homely layout called Nobel Residency. One of the main advantages of this particular lane, is that this is on a road that leads to a dead end which safeguards you from any noise and dust. This layout is amidst well-known apartment...",5.0,12.8601269,77.6053051,https://media.istockphoto.com/id/2156751937/photo/modern-3d-render-of-a-contemporary-living-room-interior-design.webp?a=1&b=1&s=612x612&w=0&k=20&c=darIlhtomJuqFxDdqqUTKpORFNYACo7WHfdRhqj8Rxw=
Puravankara Palm Beach,Bangalore,"2 BHK Flat for sale in Kyalasanahalli, Bangalore",,98.0 L,"Kyalasanahalli, Bangalore",1235,7930,"One of the finest property in Kyalasanahalli is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 10. It is a 19 storeyed building. The price of this Apartment is Rs 98.0 L. Other charges when you move into this property include maintenance, which is Rs 4800. This Apartment is spacious with a built-up area of 1235 Square feet. There are 4 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as EKYA Kothanur, Ekya School Byrathi, and Kyalasanahalli Govt School. It is also close ...",2.0,13.0564575,77.6591321,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdDoIhV4akHKqv3GcuUwlcvO2L1aZ7BnXi4Q&s
Koolz Platinum hill,Bangalore,"2 BHK Flat for sale in Kaval Bairasandra, Bangalore",,52.0 L,"Kaval Bairasandra, Bangalore",1115,4660,"Property for sale in Kaval Byrasandra, Bengaluru. This 2 BHK Apartment is located in Bengaluru's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 1. The total number of floors in this building is 4. This Apartment's price is Rs 52.0 L. Homebuyers will also need to pay Rs 2350 towards maintenance. This Apartment is a spacious unit, with carpet area of 1115 Square feet and is ideal for families. The built-up area is 1115 Square feet. The property has 2 bedrooms and 2 bathroom. This Apartment is strategically located within close distanc...",2.0,13.0283644,77.611542,https://images.unsplash.com/photo-1628745423010-bfb4df95f3eb?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NzR8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
Ajmera Nucleus,Bangalore,"2 BHK Flat for sale in Electronic City Phase II, Bangalore",,78.0 L,"Electronic City Phase II, Bangalore",1150,6780,"2 BHK Apartment for sale in Electronic City, Bengaluru. This 2 BHK unit is available in Electronic City and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Electronic City. It is on floor 3. The total number of floors is 14. The price of this Apartment is Rs 78.0 L. The built-up area is 1150 Square feet. There are 2 bedrooms and 2 bathroom. This property is at a walking distance from Springleaf Hospital, Ramakrishna Smart Hospitals, and Vimalalaya Hospital....",2.0,12.8436744,77.6549438,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbK5BVLKsuokYH9ArZvKKJJcrmBFEpw0NWpw&s
Bansuri Apartments,Bangalore,"2 BHK Flat for sale in Kaval Bairasandra, Bangalore",,60.0 L,"Kaval Bairasandra, Bangalore",1285,4670,"Looking for a good 2 BHK Apartment in Kaval Byrasandra, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. The property is on floor 3. Total number of floors is 4. Maintenance charges of this property is Rs 1500. This Apartment is available for Rs 60.0 L. This modern unit has a built-up area of 1285 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Manipal Hospitals, Bangalore Baptist Hospital, and Ramaiah Memorial Hospital. Established schools, such as Poorna Smrithi Public Scho...",2.0,13.0283644,77.611542,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQx7ttDlu-kQVj1XCjp4EcIq4yJo1yKqpkWtg&s
Mars Enclave,Bangalore,"3 BHK Flat for sale in Doddabommasandra, Bangalore",,90.0 L,"Doddabommasandra, Bangalore",1600,5630,"3 BHK Apartment for sale in Bengaluru. This property is in Doddabommasandra, which is a coveted investment location. This tastefully designed 3 BHK unit is among Bengaluru's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Bengaluru is on floor 2. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 90.0 L. Monthly maintenance charges come to Rs 3000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1600...",3.0,13.0599082,77.5591641,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEvcjWX9CvhOfBspzaLbqRtC1ffyzJPy_vOA&s
Prestige Jindal City,Bangalore,"2 BHK Flat for sale in Anchepalya, Bangalore",,87.5 L,"Anchepalya, Bangalore",1058,8270,"Check out this 2 BHK Apartment for sale in Anchepalya, Bengaluru. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Anchepalya is a promising location in Bengaluru and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 22. The total number of floors in this project is 28. The property's price is Rs 87.5 L. This property is a modern-day abode, with 1058 Square feet built-up area. The carpet-area is 740 Square feet. The unit has 2 bedrooms and 2 ba...",2.0,13.060278,77.4747262,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQksc9rYyKuD5_Re-euJwt3FBu27Rd30V8MOw&s
Aditya Palatial Apartment,Bangalore,"2 BHK Flat for sale in Thanisandra, Bangalore",,60.0 L,"Thanisandra, Bangalore",1250,4800,"Looking for a 2 BHK Apartment for sale in Bengaluru? Your search ends here. Buy this 2 BHK property in Bengaluru's finest location, Thanisandra. This is an owner listed property and there is no brokerage involved. It is on floor 1 out of 3 floors. This Apartment is available at a reasonable price of Rs 60.0 L. Maintenance charges in this property is Rs 3000. The built up area of this property is 1250 Square feet. There are 2 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Kensri School, Eurokids, and St. James School. Medical facility is also close at han...",2.0,13.0572273,77.6276673,https://media.istockphoto.com/id/2156751937/photo/modern-3d-render-of-a-contemporary-living-room-interior-design.webp?a=1&b=1&s=612x612&w=0&k=20&c=darIlhtomJuqFxDdqqUTKpORFNYACo7WHfdRhqj8Rxw=
Total Environment Learning To Fly,Bangalore,"3 BHK Flat for sale in JP Nagar, Bangalore",,4.25 Cr,"6th Phase, JP Nagar,Bangalore",2700,15740,"A 3 BHK Apartment for sale in JP Nagar, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 3 BHK unit with all the modern-day comforts is one of JP Nagar's most desired properties. Contact now for more information. This 3 BHK unit is on floor 5. There are 20 floors in this property. The price of this Apartment is Rs 4.25 Cr. Each unit has a built-up area of 2700 Square feet. There are 3 bedrooms. There is provision for 4 bathroom. This residential property is near Bda Complex Banashankari, Sri Chaitanya Techno School, and Milestones Pre-School And 24 X 7 Day Care. It ...",3.0,12.9046372,77.5976425,https://media.istockphoto.com/id/1293762741/photo/modern-living-room-interior-3d-render.webp?a=1&b=1&s=612x612&w=0&k=20&c=Nk1uLgimD0AG9ADjHPx1iLvhZnm28YW6VRZr7uGwvS0=
Provident Sunworth,Bangalore,"2 BHK Flat for sale in Kambipura, Bangalore",,55.0 L,"Kambipura, Bangalore",880,6250,"A 2 BHK Apartment for sale in Kambipura, Bengaluru. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Kambipura's most desired properties. Contact now for more information. This 2 BHK unit is on floor 3. There are 14 floors in this property. The price of this Apartment is Rs 55.0 L. Maintenance charges come to Rs 2000. Each unit has a built-up area of 880 Square feet. This North-East-facing property has an excellent view. There are 2 bedrooms. There is provision for 2 bathroom. The Apartment in Kambipura, Bengaluru has lift ...",2.0,12.882271,77.4606466,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSh2Id5dHqC2rHXkmtupJTtwF--hHi7k73Epg&s
Prestige Bagmane Temple Bells,Bangalore,"3 BHK Flat for sale in RR Nagar, Bangalore",,1.4 Cr,"5th Stage, RR Nagar,Bangalore",1600,8750,"3 BHK Apartment for sale in RR Nagar, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in RR Nagar which is a promising investment destination in Bengaluru. This might be your chance to grab the best 3 BHK property for sale in RR Nagar. The property is on floor 9 and the total number of floors is 19. This 3 BHK Apartment is available at a reasonable price of Rs 1.4 Cr. Residents also need to pay maintenance charges of Rs 4000. The built-up area is 1600 Square feet. This property has provision for 3 bathroom. It enjo...",3.0,12.9314732,77.5290964,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdsFRof8WcIGyA0O1X8Y4Ncif5WstFcdm74g&s
"Marsur, Bangalore",Bangalore,"4 BHK Villa for sale in Marsur, Bangalore",,90.0 L,"Marsur, Bangalore",2400,3750,"Looking for a good 4 BHK Villa in Marsur, Bengaluru? This property is in one of Bengaluru's most popular locations. This is a no brokerage property. This Villa is available for Rs 89.0 L. This modern unit has a built-up area of 2400 Square feet. The carpet area of this Villa is 2100 Square feet. There are 4 bedrooms and 3 bathroom. It is very close to some of city's best hospitals, such as, SRL DIAGNOSTICS, Krjs Hospital, and Vemana Hospital. Established schools, such as Edify School, Edify School Ground, and Edify School Electronic City are also close-by",4.0,12.7678915,77.7043732,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYDlzQ4omUhG5GLekwsO-jg6BeB2sRTydIruupsiV7roqnnrr2p9a0Wik&s
Legacy Madelia,Bangalore,"3 BHK Flat for sale in Vasanth Nagar, Bangalore",,8.4 Cr,"Abshot Layout, Vasanth Nagar,Bangalore",4170,20140,"3 BHK Apartment for sale in Vasanth Nagar, Bengaluru with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Vasanth Nagar which is a promising investment destination in Bengaluru. This might be your chance to grab the best 3 BHK property for sale in Vasanth Nagar. The property is on floor 1 and the total number of floors is 5. This 3 BHK Apartment is available at a reasonable price of Rs 9.0 Cr. It is a very spacious property, spread over 4170 Square feet. The built-up area is 4170 Square feet. An attached servant room is availa...",3.0,12.9930728,77.5866428,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdDoIhV4akHKqv3GcuUwlcvO2L1aZ7BnXi4Q&s
