PROP_NAME,PROP_HEADING,AGE,CITY,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
"Sector 18 Rohini, New Delhi","2 BHK Flat for sale in Sector 18 Rohini, New Delhi",,New Delhi,85.0 L,"Sector 18 Rohini, New Delhi",732,11610,"Looking for a 2 BHK Apartment for sale in Delhi? Your search ends here. Buy this 2 BHK property in Delhi's finest location, Rohini. This is an owner listed property and there is no brokerage involved. It is on floor 2 out of 3 floors. This Apartment is available at a reasonable price of Rs 85.0 L. Maintenance charges in this property is Rs 500. The built up area of this property is 732 Square feet. There are 4 bedrooms and 2 bathroom. There are a number of reputed schools in the vicinity such as Mount Abu International School, Junior DPS play school, and Mount Abu Public School International. ...",2.0,28.713012,77.1264429,https://images.pexels.com/photos/323780/pexels-photo-323780.jpeg?auto=compress&cs=tinysrgb&w=1200
"Palam, New Delhi","2 BHK Flat for sale in Palam, New Delhi",,New Delhi,35.0 L,"Palam, New Delhi",802,4360,"Check out this 2 BHK Apartment for sale in Palam, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Palam is a promising location in Delhi and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 4. The property's price is Rs 35.0 L. This property is a modern-day abode, with 802 Square feet built-up area. The unit has 2 bedrooms and 2 bathroom. Educational institutions are closeby with schools...",2.0,28.5889102,77.0830764,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDraQ5G3s2YOBtmzqzFlkkpdwGrflfHHsf2Q&s
Sector A Pocket B&c,"3 BHK Flat for sale in Vasant Kunj, New Delhi",,New Delhi,1.85 Cr,"Vasant Kunj, New Delhi",1250,14800,"Property for sale in Vasant Kunj, Delhi. This 3 BHK Apartment is located in Delhi's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 2. The total number of floors in this building is 3. This Apartment's price is Rs 1.85 Cr. The built-up area is 1250 Square feet. The property has 3 bedrooms and 2 bathroom. This Apartment is strategically located within close distance of famous healthcare centres such as Fortis Flt. Lt. Rajan Dhall Hospital, Institute of Liver and Biliary Sciences, and Vikas Hospital. Schools like Dr Anjali Nagpal, New ...",3.0,28.5292495,77.1541335,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVApfb8p9n8rBz78SFU33XyoNxZstFv_KuHw&s
Sarvahit Apartments,"2 BHK Flat for sale in Sector 17 Dwarka, New Delhi",,New Delhi,88.0 L,"Sector 17 Dwarka, New Delhi",1100,8000,"A 2BHK DDA flat, located in Pocket-A, Sector-17, Dwarka, New Delhi is available for resale. It is a ready to move in semi-furnished flat located in Sarvahit Apartment. Situated in a prominent locality opposite GGS-IP University, it is a 10-15 year old property, which is in its prime condition. The flat is on the top (third) floor of the building. The terrace can be used for additional construction. The property faces the north direction. With built-in cupboard(s) in rooms, it has 2 toilet(s). It also has more than 2 balcony(s). The flat is a freehold property and has a super built-up area of 1...",2.0,28.5592725,77.0666248,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaYVpaZGn8odKSp7EX8d9Tb-vMbb5lkKp5AA&s
Himgiri Apartments,"3 BHK Flat for sale in Kalkaji, New Delhi",,New Delhi,1.75 Cr,"Kalkaji, New Delhi",2200,7950,"Check out this 3 BHK Apartment for sale in Kalkaji, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Kalkaji is a promising location in Delhi and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 3. The property's price is Rs 1.75 Cr. Residents in this property pay Rs 400 towards maintenance. This property is a modern-day abode, with 2200 Square feet built-up area. The carpet-area is 2000 ...",3.0,28.5435234,77.247977,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4i9b-AcRZdNA6CVJ1RjEmGLEW8uyD4QSDAUqXfeqYoz3p5jWy4pdTl-I&s
"West Patel Nagar, Patel Nagar,New Delhi","2 BHK Independent House for sale in Patel Nagar, New Delhi",,New Delhi,55.0 L,"West Patel Nagar, Patel Nagar,New Delhi",1000,5500,"One of the finest property in Patel Nagar is now available for sale. This is a 2 BHK Independent House posted directly by owner. Make it yours now. The price of this Independent House is Rs 55.0 L. This Independent House is spacious with a built-up area of 1000 Square feet. There are 2 bedrooms and 1 bathroom. This property ensures you are a quick distance away from the city's best schools such as The tree House Playgroup Nursery & Daycare, Anand nursing home, and Kiddie Farms. It is also close to good and reputed hospitals like BLK Super Speciality Hospital, BLK Hospital, and Sir Ganga Ram Ho...",2.0,28.6474846,77.1648807,https://images.unsplash.com/photo-1621070659899-40b6b6f6731d?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTU1fHxtb2Rlcm4lMjBob3VzZXxlbnwwfHwwfHx8MA%3D%3D
CGHS Joy Apartment,"3 BHK Flat for sale in Sector 2 Dwarka, New Delhi",,New Delhi,2.8 Cr,"Sector 2 Dwarka, New Delhi",1800,15550,"The house is an easy facing house, the layout is very well done and all pop work is done too. The kitchen is very english style,the house have amazing level of daylight in all rooms. it is a front facing house which is prime in the society.all bedrooms has balconies and the living room has a portico. The apartment has hospitals, daily home stuff and market quite close by. It is a well maintained and green society has its own badminton court gym,walking and parking area besides our own allotted. there is children play area and various types of swings, a beautiful temple within the society, comm...",3.0,28.5608412,77.0629923,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoJQyruZfVTsuufG6zvBhIhg0odTp83yaduA&s
DDA Flats Vasant Kunj,"2 BHK Flat for sale in Vasant Kunj, New Delhi",,New Delhi,1.1 Cr,"Sector D, Vasant Kunj,New Delhi",850,12940,"A 2 BHK Apartment for sale in Vasant Kunj, Delhi. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Vasant Kunj's most desired properties. Contact now for more information. This 2 BHK unit is on floor 3. There are 4 floors in this property. The price of this Apartment is Rs 1.1 Cr. Maintenance charges come to Rs 500. Each unit has a built-up area of 850 Square feet. The carpet area is 800 Square feet. This East-facing property has an excellent view. There are 2 bedrooms. There is provision for 2 bathroom. The Apartment in Va...",2.0,28.5343676,77.142188,https://media.istockphoto.com/id/2156751937/photo/modern-3d-render-of-a-contemporary-living-room-interior-design.webp?a=1&b=1&s=612x612&w=0&k=20&c=darIlhtomJuqFxDdqqUTKpORFNYACo7WHfdRhqj8Rxw=
Paras Dews,"2 BHK Flat for sale in Delhi Cantonment, New Delhi",,New Delhi,90.0 L,"Delhi Cantonment, New Delhi",900,10000,"Check out this 2 BHK Apartment for sale in Delhi Cantonment, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Delhi Cantonment is a promising location in Delhi and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 5. The total number of floors in this project is 8. The property's price is Rs 90.0 L. Residents in this property pay Rs 3000 towards maintenance. This property is a modern-day abode, with 900 Square feet built-up area. Educati...",2.0,28.5888565,77.132399,https://images.pexels.com/photos/1571460/pexels-photo-1571460.jpeg?auto=compress&cs=tinysrgb&w=800
Vikas Sheel Apartments,"3 BHK Flat for sale in Sector 13 Rohini, New Delhi",,New Delhi,1.85 Cr,"Sector 13 Rohini, New Delhi",1400,13210,"Check out this 3 BHK Apartment for sale in Rohini, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Apartment is perfect for a modern-day lifestyle. Rohini is a promising location in Delhi and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 2. The total number of floors in this project is 4. The property's price is Rs 1.85 Cr. Residents in this property pay Rs 1500 towards maintenance. This property is a modern-day abode, with 1400 Square feet built-up area. The carpet-area is 1200 S...",3.0,28.713012,77.1264429,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTJ8fGhvdXNlfGVufDB8fDB8fHw
