PROP_NAME,PROP_HEADING,AGE,CITY,PRICE,LOCATION,AREA,PRICE_PER_UNIT_AREA,DESCRIPTION,BHK,LATITUDE,LONGITUDE,url
"Kailash Colony, Greater Kailash,New Delhi","10 BHK Independent House for sale in Greater Kailash, New Delhi",,New Delhi,10.5 Cr,"Kailash Colony, Greater Kailash,New Delhi",5760,18230,"Property for sale in Greater Kailash, Delhi. This 10 BHK Independent House is located in Delhi's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 10.5 Cr. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 5760 Square feet. The property has 10 bedrooms and 9 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as Apollo Spectra Hospitals, Apollo Cradle Royale, and Moolchand Medcity. Schools like Passerine FITT Lounge, The EB...",10.0,28.5555167,77.2634965,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0WQqK3erZrT8CVJGb0GYtcdsFtswqB00eYw&s
"Shalimar Bagh, New Delhi","2 BHK Flat for sale in Shalimar Bagh, New Delhi",,New Delhi,1.2 Cr,"Shalimar Bagh, New Delhi",900,13330,"Check out this 2 BHK Apartment for sale in Shalimar Bagh, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Shalimar Bagh is a promising location in Delhi and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 1. The total number of floors in this project is 4. The property's price is Rs 1.2 Cr. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 900 Square feet built-up area. The unit has 2 b...",2.0,28.7096432,77.1691744,https://images.unsplash.com/photo-1628745423010-bfb4df95f3eb?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NzR8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
"Wazirabad, New Delhi","3 BHK Flat for sale in Wazirabad, New Delhi",,New Delhi,75.0 L,"Wazirabad, New Delhi",5000,1500,"3 BHK Apartment for sale in Wazirabad, Delhi with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Apartment is in Wazirabad which is a promising investment destination in Delhi. This might be your chance to grab the best 3 BHK property for sale in Wazirabad. The property is on floor 2 and the total number of floors is 4. This 3 BHK Apartment is available at a reasonable price of Rs 75.0 L. Residents also need to pay maintenance charges of Rs 2000. It is a very spacious property, spread over 1530 Square feet. The built-up area is 5000 Square f...",3.0,28.7048696,77.2277523,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbGTZSL1OiofYCjJvDIL40aAzI8iTWv6erpw&s
"Block BD, Munirka,New Delhi","10 BHK Independent House for sale in Munirka, New Delhi",,New Delhi,8.0 Cr,"Block BD, Munirka,New Delhi",1800,44440,"Looking for a 10 BHK Independent House for sale in Delhi? Your search ends here. Buy this 10 BHK property in Delhi's finest location, Munirka. This is an owner listed property and there is no brokerage involved. This Independent House is available at a reasonable price of Rs 8.0 Cr. Maintenance charges in this property is Rs 5000. The built up area of this property is 1800 Square feet. There are 10 bedrooms and 9 bathroom. There are a number of reputed schools in the vicinity such as Delhi Public School, UG - 17 Laxman Plaza, Munirka, New Delhi, and Giggles & Chuckles. Medical facility is also...",10.0,28.5531809,77.1751796,https://images.pexels.com/photos/1693946/pexels-photo-1693946.jpeg?auto=compress&cs=tinysrgb&w=800
"Greater Kailash, New Delhi","2 BHK Flat for sale in Greater Kailash, New Delhi",,New Delhi,1.7 Cr,"Greater Kailash, New Delhi",1100,15450,"One of the finest property in Greater Kailash is now available for sale. This is a 2 BHK Apartment posted directly by owner. Make it yours now. It is on floor 1. It is a 2 storeyed building. The price of this Apartment is Rs 1.7 Cr. Other charges when you move into this property include maintenance, which is Rs 500. This Apartment is spacious with a built-up area of 1100 Square feet. The carpet area is 1000 Square feet. There are 2 bedrooms and 2 bathroom. This property ensures you are a quick distance away from the city's best schools such as Jagriti Public School, JUST DAKHILA | School Searc...",2.0,28.5555167,77.2634965,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHt04SBAFAUclp76AURqPMi4uixUx8zGVDNA&s
CGHS Kunj Vihar Apartment,"3 BHK Villa for sale in Sector 12 Dwarka, New Delhi",,New Delhi,2.0 Cr,"Sector 12 Dwarka, New Delhi",300,66670,"3 BHK Villa for sale in Sector 12, Dwarka, Delhi. This 3 BHK unit is available in Sector 12, Dwarka and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Sector 12, Dwarka. The price of this Villa is Rs 2.0 Cr. Residents in this project also pay monthly maintenance charges of Rs 50000. It is a good, spacious Villa unit with carpet area of 300 Square feet. The built-up area is 300 Square feet. There are 3 bedrooms and 3 bathroom. This property is at a walking ...",3.0,28.5974584,77.0423682,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSa_wPYQK-qPTd7Wd7_gaWOxCFznuYcKfsjhw&s
no - na,"2 BHK Flat for sale in Mayur Vihar Phase 3, New Delhi",,New Delhi,88.0 L,"Mayur Vihar Phase 3, New Delhi",950,9260,"Best 2 BHK Apartment for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 2 BHK property for sale in one of Delhi's top location, Mayur Vihar Phase 3. It is situated on floor 2. The total number of floors in this Apartment is 4. The property price of this unit is Rs 88.0 L. Monthly maintenance costs Rs 0. The built-up area is 950 Square feet. It is an ideal location for young families with kids, as this property is close to Father Agnel School, St Eleen School, and Navodaya Vidyalaya Samiti (Headquarters). Healthcare facility is also close at ha...",2.0,28.6138954,77.2090057,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNOI6gFWooV1HQBqdG0NMlkWohCWPDtxSyiA&s
"Sant Nagar, New Delhi","2 BHK Flat for sale in Sant Nagar, New Delhi",,New Delhi,25.0 L,"Sant Nagar, New Delhi",558,4480,"A 2 BHK Apartment for sale in Sant Nagar, Delhi. Posted by Owner, No brokerage involved. This beautifully designed 2 BHK unit with all the modern-day comforts is one of Sant Nagar's most desired properties. Contact now for more information. This 2 BHK unit is on floor 1. There are 3 floors in this property. The price of this Apartment is Rs 25.0 L. Maintenance charges come to Rs 0. Each unit has a built-up area of 558 Square feet. There are 2 bedrooms. This residential property is near Sun And Moon House Of Learning, MCD Primary School, and Adarsh Vidya Mandir Public School. It is also close t...",2.0,28.554761,77.2481202,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTG1lJQuZeAz1iEaSRlc9WezxNFe31_2RCYxo6zeDUErELmluUzRdRnbOg&s
"Sant Nagar, New Delhi","2 BHK Flat for sale in Sant Nagar, New Delhi",,New Delhi,25.0 L,"Sant Nagar, New Delhi",558,4480,"Looking for a 2 BHK Apartment for sale in Delhi? Your search ends here. Buy this 2 BHK property in Delhi's finest location, Sant Nagar. This is an owner listed property and there is no brokerage involved. It is on floor 2 out of 3 floors. This Apartment is available at a reasonable price of Rs 25.0 L. Maintenance charges in this property is Rs 0. The built up area of this property is 558 Square feet. There are a number of reputed schools in the vicinity such as Sun And Moon House Of Learning, MCD Primary School, and Adarsh Vidya Mandir Public School. Medical facility is also close at hand with...",2.0,28.554761,77.2481202,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYjnau-ssXtHUBnLB-kKdlbxxPiL5A8mvNps2yJe56qMnE2CJF1vCF9cg&s
"Sector 7 Rohini, New Delhi","2 BHK Independent House for sale in Sector 7 Rohini, New Delhi",,New Delhi,2.75 Cr,"Sector 7 Rohini, New Delhi",1300,21150,"60 sqr mtr double story, near Rohini Metro West Stn and City Mall, free hold, no electric poll or wire in front of house, neighbering plots are also free to sold for selling if 60x2 sqr mtr project do u hv. More About This Property Check out this 2 BHK Independent House for sale in Rohini, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Independent House is perfect for a modern-day lifestyle. Rohini is a promising location in Delhi and this is one of the finest properties in the area. Buy this Independent House for sale now. The property's...",2.0,28.713012,77.1264429,https://images.pexels.com/photos/1031593/pexels-photo-1031593.jpeg?auto=compress&cs=tinysrgb&w=800
"Block C, Defence Colony,New Delhi","9 BHK Independent House for sale in Defence Colony, New Delhi",,New Delhi,14.0 Cr,"Block C, Defence Colony,New Delhi",5000,28000,"Property for sale in Defence Colony, Delhi. This 9 BHK Independent House is located in Delhi's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 14.0 Cr. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 5000 Square feet. This Independent House is strategically located within close distance of famous healthcare centres such as Apollo Spectra Hospitals, AIIMS New Delhi, and Safdarjung Hospital. Schools like TMI Academy Of Travel Tourism & Aviation Studies, Dr Radhakrishnan Internationa...",9.0,28.563891,77.2326598,https://images.unsplash.com/photo-1628744876497-eb30460be9f6?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fGJlYXV0aWZ1bCUyMGhvdXNlfGVufDB8fDB8fHww
"Vivekanand Puri, Sarai Rohilla,New Delhi","2 BHK Flat for sale in Sarai Rohilla, New Delhi",,New Delhi,50.0 L,"Vivekanand Puri, Sarai Rohilla,New Delhi",500,10000,"Looking for a good 2 BHK Apartment in Sarai Rohilla, Delhi? This property is in one of Delhi's most popular locations. This is a no brokerage property. The property is on floor 0. Total number of floors is 3. This Apartment is available for Rs 50.0 L. This modern unit has a built-up area of 500 Square feet. There are 2 bedrooms and 2 bathroom. It is very close to some of city's best hospitals, such as, Apollo Spectra Hospitals, Sir Ganga Ram Hospital, and BLK Super Speciality Hospital. Established schools, such as benchmark, KAYAKOSH YOGA, and Padam Nagar Senior Secondary School are also close...",2.0,28.6644729,77.1838135,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNKpNBASdiLZdhZBo7TnqnUHUXaIm6xFNTkwaZZVGwMXfDdsZbQX9XxgQ&s
"Model Town, New Delhi","3 BHK Flat for sale in Model Town, New Delhi",,New Delhi,85.0 L,"Model Town, New Delhi",1250,6800,"One of the finest property in Model Town is now available for sale. This is a 3 BHK Apartment posted directly by owner. Make it yours now. It is on floor 3. It is a 4 storeyed building. The price of this Apartment is Rs 85.0 L. Other charges when you move into this property include maintenance, which is Rs 0. This Apartment is spacious with a built-up area of 1250 Square feet. This property ensures you are a quick distance away from the city's best schools such as SKM classes, GGSSS, and Guru Tegh Bahadur Public School. It is also close to good and reputed hospitals like Fortis Healthcare Limi...",3.0,28.7057279,77.213725,https://media.istockphoto.com/id/1213695547/photo/3d-rendering-of-an-elegant-bedroom.webp?a=1&b=1&s=612x612&w=0&k=20&c=jswcSM68zoLPkx-BAfIGp1gedm_Zx4O-DElOKp4LrGo=
"Wazirabad, New Delhi","3 BHK Flat for sale in Wazirabad, New Delhi",,New Delhi,55.0 L,"Wazirabad, New Delhi",1250,4400,"3 BHK Apartment for sale in Wazirabad, Delhi. This 3 BHK unit is available in Wazirabad and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Wazirabad. It is on floor 2. The total number of floors is 4. The price of this Apartment is Rs 55.0 L. Residents in this project also pay monthly maintenance charges of Rs 0. The built-up area is 1250 Square feet. This property is at a walking distance from SPUHC Jagatpur, Divine Multi Speciality Hospital, and Divine H...",3.0,28.7048696,77.2277523,https://images.unsplash.com/photo-1628745423010-bfb4df95f3eb?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NzR8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
"Wazirabad, New Delhi","3 BHK Flat for sale in Wazirabad, New Delhi",,New Delhi,55.0 L,"Wazirabad, New Delhi",1250,4400,"3 BHK Apartment for sale in Delhi. This property is in Wazirabad, which is a coveted investment location. This tastefully designed 3 BHK unit is among Delhi's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Delhi is on floor 1. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 55.0 L. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1250 Square feet. Some of ...",3.0,28.7048696,77.2277523,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpOuCLCCohtdU_Nn8UpoqfefC2-t5bY91jcA&s
"Sector 24 Rohini, New Delhi","3 BHK Independent House for sale in Sector 24 Rohini, New Delhi",,New Delhi,1.2 Cr,"Sector 24 Rohini, New Delhi",1017,11800,"Property for sale in Rohini, Delhi. This 3 BHK Independent House is located in Delhi's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 1.2 Cr. The built-up area is 1017 Square feet. The property has 3 bedrooms and 3 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as Shree Aggarsain International Hospital, Canliv Superspeciality Clinic, and Rajni Gupta Hospital. Schools like Indraprastha Public School, Titiksha Public School, and Delhi Public Schoo...",3.0,28.713012,77.1264429,https://images.pexels.com/photos/1457841/pexels-photo-1457841.jpeg?auto=compress&cs=tinysrgb&w=800
CGHS Pink,"2 BHK Flat for sale in Sector 13 Rohini, New Delhi",,New Delhi,1.4 Cr,"Sector 13 Rohini, New Delhi",1100,12730,"Check out this 2 BHK Apartment for sale in Rohini, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 2 BHK Apartment is perfect for a modern-day lifestyle. Rohini is a promising location in Delhi and this is one of the finest properties in the area. Buy this Apartment for sale now. It is located on floor 0. The total number of floors in this project is 2. Residents in this property pay Rs 1100 towards maintenance. This property is a modern-day abode, with 1100 Square feet built-up area. The carpet-area is 900 Square feet. The unit has 2 bedrooms a...",2.0,28.713012,77.1264429,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQT9kgO1jNRbDZusATwtcUqCH45USzCvxFz2g&s
DDA Flats,"1 BHK Flat for sale in Mayur Vihar Phase 3, New Delhi",,New Delhi,24.0 L,"Mayur Vihar Phase 3, New Delhi",344,6980,"Looking for a good 1 BHK Apartment in Mayur Vihar Phase III, Delhi? This property is in one of Delhi's most popular locations. This is a no brokerage property. The property is on floor 2. Total number of floors is 4. Maintenance charges of this property is Rs 200. This Apartment is available for Rs 24.0 L. This modern unit has a built-up area of 344 Square feet. The carpet area of this Apartment is 344 Square feet. There are 1 bedroom and 1 bathroom. It is very close to some of city's best hospitals, such as, Dharamshila Narayana Superspeciality Hospital, Delhi, Cloudnine Hospital - Patparganj...",1.0,28.6138954,77.2090057,https://images.pexels.com/photos/439391/pexels-photo-439391.jpeg?auto=compress&cs=tinysrgb&w=1200
"Old Delhi, New Delhi","4 BHK Independent House for sale in Old Delhi, New Delhi",,New Delhi,1.0 Cr,"Old Delhi, New Delhi",150,66670,"Check out this 4 BHK Independent House for sale in Daryaganj, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 4 BHK Independent House is perfect for a modern-day lifestyle. Daryaganj is a promising location in Delhi and this is one of the finest properties in the area. Buy this Independent House for sale now. Residents in this property pay Rs 90 towards maintenance. This property is a modern-day abode, with 150 Square feet built-up area. The carpet-area is 150 Square feet. The unit has 4 bedrooms and 2 bathroom. Educational institutions are clos...",4.0,28.5338922,77.0899378,https://media.istockphoto.com/id/1344083240/photo/modern-living-room.webp?a=1&b=1&s=612x612&w=0&k=20&c=2XGnOYBA8sH6kdtVwL-H3K9mXLCorltGSqFKztVGNIk=
"West Patel Nagar, Patel Nagar,New Delhi","2 BHK Flat for sale in Patel Nagar, New Delhi",,New Delhi,1.0 Cr,"West Patel Nagar, Patel Nagar,New Delhi",893,11200,"Looking for a good 2 BHK Apartment in Patel Nagar, Delhi? This property is in one of Delhi's most popular locations. This is a no brokerage property. The property is on floor 0. Total number of floors is 4. This Apartment is available for Rs 1.0 Cr. This modern unit has a built-up area of 893 Square feet. It is very close to some of city's best hospitals, such as, New Delhi Medical Centre, BLK Super Speciality Hospital, and BLK-Max Super Speciality Hospital. Established schools, such as Bal Bharati Public School–Ganga Ram Branch (BBPS–Ganga Ram Branch), THE KUDOS DANCE(Shastri Nagar), and Salw...",2.0,28.6474846,77.1648807,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8MjvnbSc6liQnQkA4CxF3EUwZ9u_tAZ1zFw&s
"Sant Nagar, New Delhi","4 BHK Independent House for sale in Sant Nagar, New Delhi",,New Delhi,70.0 L,"Sant Nagar, New Delhi",1640,4270,"Best 4 BHK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 4 BHK property for sale in one of Delhi's top location, Sant Nagar. The property price of this unit is Rs 70.0 L. The built-up area is 1640 Square feet. It is an ideal location for young families with kids, as this property is close to TC Global - New Delhi (formerly The Chopras Group), NacFun - National Active Championship, and Kalka Public School. Healthcare facility is also close at hand with Fortis C-Doc Hospital, Apollo Spectra Hospitals, and Apollo Cradle Mat...",4.0,28.554761,77.2481202,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0Q6epPR-WeT-riL_bMbYnzKh5SBnKpHRw7Q&s
"Delhi Cantonment, New Delhi","3 BHK Independent House for sale in Delhi Cantonment, New Delhi",,New Delhi,15.0 L,"Delhi Cantonment, New Delhi",150,10000,"3 BHK Independent House for sale in Delhi Cantonment, Delhi with modern-day amenities. This is an owner listed property and thus there is no brokerage involved. The Independent House is in Delhi Cantonment which is a promising investment destination in Delhi. This might be your chance to grab the best 3 BHK property for sale in Delhi Cantonment. This 3 BHK Independent House is available at a reasonable price of Rs 15.0 L. Residents also need to pay maintenance charges of Rs 100. It is a very spacious property, spread over 150 Square feet. The built-up area is 150 Square feet. This property has...",3.0,28.5888565,77.132399,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHt04SBAFAUclp76AURqPMi4uixUx8zGVDNA&s
"Palam Village, Palam,New Delhi","3 BHK Independent House for sale in Palam, New Delhi",,New Delhi,3.0 Cr,"Palam Village, Palam,New Delhi",2000,15000,"Check out this 3 BHK Independent House for sale in Palam, Delhi. This property is posted by owner and thus there is no need to pay any broker amount. This 3 BHK Independent House is perfect for a modern-day lifestyle. Palam is a promising location in Delhi and this is one of the finest properties in the area. Buy this Independent House for sale now. The property's price is Rs 3.0 Cr. Residents in this property pay Rs 0 towards maintenance. This property is a modern-day abode, with 2000 Square feet built-up area. The unit has 3 bedrooms and 3 bathroom. Educational institutions are closeby with ...",3.0,28.595604,77.0808688,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0WQqK3erZrT8CVJGb0GYtcdsFtswqB00eYw&s
"Model Town, New Delhi","3 BHK Independent House for sale in Model Town, New Delhi",,New Delhi,1.25 Cr,"Model Town, New Delhi",800,15630,"3 BHK Independent House for sale in Delhi. This property is in Model Town, which is a coveted investment location. This tastefully designed 3 BHK unit is among Delhi's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. The price of the Independent House is Rs 1.25 Cr. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 800 Square feet. Some of the very well-known and reputed speciality hospitals like Shanti Kumud H...",3.0,28.7057279,77.213725,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8gUmK06a7D4CltqnIhXcRZS6bVn6ercPGJg&s
CGHS Gayatri Apartments,"3 BHK Flat for sale in Sector 9 Rohini, New Delhi",,New Delhi,1.35 Cr,"Sector 9 Rohini, New Delhi",2000,6750,"3 BHK Apartment for sale in Delhi. This property is in Rohini, which is a coveted investment location. This tastefully designed 3 BHK unit is among Delhi's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Delhi is on floor 3. The total number of floors in this Apartment is 3. The price of the Apartment is Rs 1.35 Cr. Monthly maintenance charges come to Rs 2000. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 2000 Square feet. The car...",3.0,28.713012,77.1264429,https://plus.unsplash.com/premium_photo-1661964475795-f0cb85767a88?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NjF8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
"Sector 38 Rohini, New Delhi","3 BHK Flat for sale in Sector 38 Rohini, New Delhi",,New Delhi,35.0 L,"Sector 38 Rohini, New Delhi",1782,1960,"3 BHK Apartment for sale in Delhi. This property is in Rohini, which is a coveted investment location. This tastefully designed 3 BHK unit is among Delhi's best properties. No brokerage to be paid for this property. This 3 BHK property is posted directly by Owner. Contact now for more details. This property in Delhi is on floor 1. The total number of floors in this Apartment is 4. The price of the Apartment is Rs 35.0 L. Monthly maintenance charges come to Rs 15. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 1782 Square feet. It has 2 b...",3.0,28.713012,77.1264429,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNKpNBASdiLZdhZBo7TnqnUHUXaIm6xFNTkwaZZVGwMXfDdsZbQX9XxgQ&s
Golf View Apartments,"1 BHK Flat for sale in Sector 23B Dwarka, New Delhi",,New Delhi,32.0 L,"Sector 23B Dwarka, New Delhi",365,8770,"Property for sale in Sector 23B Dwarka, Delhi. This 1 BHK Apartment is located in Delhi's most promising location. This property is posted by owner and there is no brokerage involved. It is on floor 3. The total number of floors in this building is 4. This Apartment's price is Rs 32.0 L. Homebuyers will also need to pay Rs 0 towards maintenance. The built-up area is 365 Square feet. This Apartment is strategically located within close distance of famous healthcare centres such as PRIDE DENTAL CARE, Sri Vaidya Ayurveda Kerla Panchkarma Hospital-Best Ayurvedic Treatment & Doctors Dwarka Delhi, a...",1.0,28.5592725,77.0666248,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHt04SBAFAUclp76AURqPMi4uixUx8zGVDNA&s
DDA LIG FLATS,"1 BHK Flat for sale in Sector 25 Rohini, New Delhi",,New Delhi,50.0 L,"Sector 25 Rohini, New Delhi",645,7750,"Looking for a good 1 BHK Apartment in Rohini, Delhi? This property is in one of Delhi's most popular locations. This is a no brokerage property. The property is on floor 2. Total number of floors is 4. Maintenance charges of this property is Rs 0. This Apartment is available for Rs 50.0 L. This modern unit has a built-up area of 645 Square feet. It is very close to some of city's best hospitals, such as, Canliv Superspeciality Clinic, ADARSH HOSPITAL, Maternity n Child Health Care Centre, and Shrivastava Nursing Home. Established schools, such as Titiksha Public School, Indraprastha Public Sch...",1.0,28.713012,77.1264429,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdDoIhV4akHKqv3GcuUwlcvO2L1aZ7BnXi4Q&s
"Sant Nagar, New Delhi","3 BHK Independent House for sale in Sant Nagar, New Delhi",,New Delhi,1.1 Cr,"Sant Nagar, New Delhi",3000,3670,"3 BHK Independent House for sale in Sant Nagar, Delhi. This 3 BHK unit is available in Sant Nagar and offers a premium lifestyle at the best price. This property is posted by owner and there is no brokerage involved. Contact now, for details. It is a desired purchase for any homebuyer in Sant Nagar. The price of this Independent House is Rs 1.1 Cr. Residents in this project also pay monthly maintenance charges of Rs 0. The built-up area is 3000 Square feet. This property is at a walking distance from Fortis C-Doc Hospital, Apollo Spectra Hospitals, and Apollo Cradle Maternity & Children's Hosp...",3.0,28.554761,77.2481202,https://images.unsplash.com/photo-1554995207-c18c203602cb?w=1600&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTl8fGhvdXNlfGVufDB8fDB8fHww
Ganesh Nagar,"1 BHK Flat for sale in Pandav Nagar, New Delhi",,New Delhi,21.0 L,"Pandav Nagar, New Delhi",405,5180,"1 BHK Apartment for sale in Delhi. This property is in Pandav Nagar, which is a coveted investment location. This tastefully designed 1 BHK unit is among Delhi's best properties. No brokerage to be paid for this property. This 1 BHK property is posted directly by Owner. Contact now for more details. This property in Delhi is on floor 3. The total number of floors in this Apartment is 5. The price of the Apartment is Rs 21.0 L. Monthly maintenance charges come to Rs 0. It is best suited for all kinds of families. Because this property is spacious, with a built-up area of 405 Square feet. The ca...",1.0,28.6500237,77.1536755,https://images.pexels.com/photos/2030037/pexels-photo-2030037.jpeg?auto=compress&cs=tinysrgb&w=800
"Nangal Raya, Janakpuri,New Delhi","1 RK Independent House for sale in Janakpuri, New Delhi",,New Delhi,50.0 L,"Nangal Raya, Janakpuri,New Delhi",285,17540,"32 gajj, property from the root included (ground+3 floors) each contains 1Rkb.
 More About This Property Best 1 RK Independent House for modern-day lifestyle is now available for sale. No brokerage involved, Posted by Owner. Grab this 1 RK property for sale in one of Delhi's top location, Janakpuri. The property price of this unit is Rs 50.0 L. Monthly maintenance costs Rs 0. The built-up area is 285 Square feet. There are 1 bedroom and 1 bathroom. This property enjoys a good view and is West-facing. It is an ideal location for young families with kids, as this property is close to Army Public...",,28.6112876,77.1081196,https://images.unsplash.com/photo-1611444143036-6678f7f94652?w=900&auto=format&fit=crop&q=60&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxzZWFyY2h8NDN8fG1vZGVybiUyMGhvdXNlfGVufDB8fDB8fHww
DDA E2 Vasant Kunj,"2 BHK Flat for sale in Vasant Kunj, New Delhi",,New Delhi,1.2 Cr,"Sector D, Vasant Kunj,New Delhi",1100,10910,"E2 Vasant Kunj has an excellent combination of comfort and convenience to suit every requirement as well as need.

Our flat number 459 in E2  Vasant Kunj Delhi South is up for sale. It is a gated DDA  community. 

It is a green society which is covered with trees. The society is under CTV privilege. Well maintained society. There are many parks in the society. It is a pet friendly society.  
Everything is available near the society .

Highlights of the property
 *Our flat has proper light and ventilation. 
Spacious Playground
Shops within Society
Multiple Parks
 *Proposed metro station will be...",2.0,28.5343676,77.142188,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQdhMXLoV9rJzMhY4e9PTGZtKF5pj5nLgNfVg&s
Sunrise Apartment,"1 RK Flat for sale in Sector 1 Dwarka, New Delhi",,New Delhi,14.0 L,"Sector 1 Dwarka, New Delhi",243,5760,"A 1 RK Apartment for sale in Sector 1 Dwarka, Delhi. Posted by Owner, No brokerage involved. This beautifully designed 1 RK unit with all the modern-day comforts is one of Sector 1 Dwarka's most desired properties. Contact now for more information. This 1 RK unit is on floor 3. There are 3 floors in this property. The price of this Apartment is Rs 14.0 L. Maintenance charges come to Rs 0. Each unit has a built-up area of 243 Square feet. There are 1 bedroom. This residential property is near R D Rajpal public school, MBS International School, and M.L. Khanna DAV Public School, Dwarka. It is al...",,28.5608412,77.0629923,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdDoIhV4akHKqv3GcuUwlcvO2L1aZ7BnXi4Q&s
"Janakpuri, New Delhi","6 BHK Independent House for sale in Janakpuri, New Delhi",,New Delhi,7.6 Cr,"Janakpuri, New Delhi",1359,55920,"Property for sale in Janakpuri, Delhi. This 6 BHK Independent House is located in Delhi's most promising location. This property is posted by owner and there is no brokerage involved. This Independent House's price is Rs 7.6 Cr. The built-up area is 1359 Square feet. The property has 6 bedrooms and 6 bathroom. This Independent House is strategically located within close distance of famous healthcare centres such as Eye7 Chaudhary Eye Centre, Deen Dayal Upadhyay Hospital, and World Brain Center Hospital. Schools like EngMates | Top English Speaking & Best Public Speaking Institute In Delhi, Ind...",6.0,28.6116644,77.1051654,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoJQyruZfVTsuufG6zvBhIhg0odTp83yaduA&s
